"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields","Product Id on Ebay"
Product,"Advanced Motion Control DC Brush Analog PWM Amplifier,model number AMC A12A100",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,457.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/aa4AAOSw0kJmhLxg/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395509829289|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395509829289|0
Product,"Copley Control BEL-CK",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,181.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/QVoAAOSwe5hmogLz/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395553323723|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395553323723|0
Product,"Advanced Motion Control DC Brush Analog PWM Amplifier,model number AMC A25A100",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,486.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/MD8AAOSwOh5mhMmx/s-l960.jpg," ",,Y,," "," "," ",unique_string,v1|395509869355|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395509869355|0
Product,"DELTA: A2CN150-PIN BREAK OUT TERMINAL BOARD WITH CABLE ASD-BM-50A",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,240.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/kGsAAOSwUO5mqzh3/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395567790214|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395567790214|0
Product,"Applied Motion Products HT23-395，Stepper Motor",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,187.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/V5EAAOSwArBmsw76/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395580777566|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395580777566|0
Product,"LS Mecapion APM-SA01ADN",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,608.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/KJQAAOSwwy1msG5y/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395576317758|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395576317758|0
Product,"Renishaw RA32BVA100B50V GU4Q97",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,2200.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/wFYAAOSwDuBmsX7T/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395578073641|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578073641|0
Product,"MOONS'  SR8-Plus 4695351000503",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,200.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/ENMAAOSwZM5msIoC/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395576496766|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395576496766|0
Product,"LS Mecapion APM-SA01ACN-8",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,696.25,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/5CoAAOSwpH9msG~1/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395576322177|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395576322177|0
Product,"Applied Motion Products STM23Q-2AN，NEMA23 Integrated Motor with Drive Q Pro",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,698.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/4bUAAOSwHh9msxDb/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395580787874|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395580787874|0
Product,"Copley Control XEL-CK,XML-CK,XPM-CK，Copley connector kits",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,167.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/wEEAAOSwIElmsdA9/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395578665167|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578665167|0
Product,"Copley Control ADP-NT",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,117.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/mNcAAOSwOsxmoghK/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395553389202|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395553389202|0
Product,"Copley Control ACJ/XSJ-NK Canopen Network",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,123.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/-tsAAOSwxadmqurn/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395567382372|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395567382372|0
Product,"Copley Control ACJ-CK",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,130.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/INgAAOSwdrxmohJ9/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395553419630|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395553419630|0
Product,"DELTA: INVERTERS-AC MOTOR DRIVES MS300 Series VFD-MS301 VFD7A5MS23ANSA",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,448.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/fY4AAOSwqK1mqzR2/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395567765014|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395567765014|0
Product,"Copley Control XSJ-NK",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,157.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/Q0IAAOSwuc9mogCr/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395553317345|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395553317345|0
Product,"Advanced Motion Control DC Brush/Brushless Analog PWM Amplifier,AMC AB15A100",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,486.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/uoAAAOSwWzJmhMwW/s-l960.jpg," ",,Y,," "," "," ",unique_string,v1|395509880729|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395509880729|0
Product,"LS Mecapion APM-SC08ADK2-52",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1151.19,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/SlcAAOSw0gpmsHCQ/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395576330854|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395576330854|0
