"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"1493D44G02 Cutler Hammer Westinghouse Auxiliary",P,JJL1045," ","Cuteler Hammer "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 1493D44G02</li><li>Brand : Cutler-Hammer</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/LXkAAOSw-8lfBQqY/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/153998718989_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"17471 Merlin Gerin 3 Pole Multi 9 C60N 15 Amp 480 Volt D15A Din Rail Breaker",P,JJL1061," ","Merlin Gerin"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Merlin Gerin</li><li>MPN : 17471</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/0O8AAOSw-xVaHfqC/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/253283755560_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/253283755560_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1A1B Auxiliary Eb, Ehb, Fb Westinghouse",P,JJL1070," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Current Rating : 1 A</li><li>MPN : 1A1B</li><li>Brand : Westinghouse</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/ZLYAAOSw0DNfCMKk/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/154002926749_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1Kes100T Cutler Hammer Westinghouse Eaton Rating Plug 100A",P,JJL1071," ","Cutler Hammer "," ",Right,"<ul><li> Condition : Used  </li><li>Maximum Amperage : 100 A</li><li>MPN : 1KES100T</li><li>Brand : Cutler Hammer Westinghouse Eaton</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/bAsAAOSwUjhizOhp/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/165573552805_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"219-3-1-61-8-9-20-H Airpax Circuit Breaker 3 Pole 20A 480V",P,JJL1099," ","Airpax "," ",Right,"<ul><li> Condition : Used  </li><li>Poles : 3</li><li>Brand : Airpax</li><li>MPN : 219-3-1-61-8-9-20-H</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/s6wAAOSwksVTzYU4/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/182251611812_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/182251611812_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"2Kes250T Cutler Hammer Westinghouse Eaton Rating Plug 250A",P,JJL1151," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Maximum Amperage : 250 A</li><li>MPN : 2KES250T</li><li>Brand : Hammer Westinghouse Eaton</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/IEwAAOSw~LJizOpL/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/165573559276_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"31301-522-50 And 3130152250 Square D Handle And Mechanism",P,JJL1165," ","Westinghouse "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 31301-522-50</li><li>Brand : Square D</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/0pAAAOSwUaViG~wS/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/154873295601_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"4979D06G03 Westinghouse Auxiliary Switch Mcp",P,JJL1204," ",Westinghouse," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 4979D06G03</li><li>Brand : Westinghouse</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/0ZgAAOSwG21en2-h/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/184262729372_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"61-788 Heinemann Circuit Breaker 30A 2 Pole",P,JJL1225," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Heinemann</li><li>MPN : 61-788</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/vYAAAOSwWxNYrOta/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/182463299134_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"8000 Line Ge Mcc Bucket Terminal Strip",P,JJL1242," ",Ge," ",Right,"<ul><li> Condition : Used  </li><li>Brand : GE</li><li>MPN : 8000</li></ul>",285.05,50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Circuit Breakers & Disconnectors",https://i.ebayimg.com/images/g/LnoAAOSw9GhYi8-D/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/162373917880_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
