"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Advanced Illumination Rl4260 Medium Aimed Bright Field Red Led Ring Light, 24Vdc",P,BAA123," ","Advanced Illumination"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Illumination</li><li>MPN : RL4260-660100L</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/ktcAAOSwe81iF6gX/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/403497335899_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/403497335899_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advanced Illumination Rl4260 Red Led Medium Aimed Bright Field Ring Light, 24Vdc",P,BAA124," ","Advanced Illumination"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Illumination</li><li>MPN : RL4260-660100L</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/HX0AAOSwEehbO-W-/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401511694831_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401511694831_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 2755-Dd1A-R1 Ser B Rev F Bar Code Decoder -",P,BAA136," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 2755-DD1A-R1</li><li>Brand : ALLEN BRADLEY</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/ae8AAOSwGllaVXwa/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/263428481442_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/263428481442_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Almo 3~Mot Qs71M6A-40 H Iec 60034",P,BAA157," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Almo</li><li>Model : IEC 60034</li><li>MPN : QS71M6A-40</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/QigAAOSwh1xhmn~P/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/255024921650_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/255024921650_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ccs Inc Ldl2-41X16Rd Led Light Bar, Color: Red, Wavelength: 635Nm, 41Mm X 16Mm",P,BAA208," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : CCS Inc</li><li>MPN : LDL2-41X16RD</li><li>Model : LDL2-41X16RD</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/EIQAAOSwbm9dxGHn/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/312260173759_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/312260173759_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Encoder Products 15S-19M1-2000Nv1Roc-M00 Accu-Coder Incremental Shaft Encoder",P,BAA298," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Encoder Products</li><li>MPN : 15S-19M1-2000NV1ROC-M00</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/bx0AAOSwm1pd7ph4/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401991189033_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401991189033_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Harmo Pcb-201B Relay Control Circuit Board W/ Ha-Cb020C Breakout And Cables",P,BAA403," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Harmo</li><li>MPN : PCB-201B, HA-CB020C</li><li>Model : PCB-201B, HA-CB020C</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/Ag4AAOSwIJNeD-Fe/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401231083415_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401231083415_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hengstler Tico 772 2772 021 Counter, 12-30 Vdc, 150Ma, With Connectors",P,BAA408," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Hengstler</li><li>Model : 772 2772 021</li><li>MPN : 772 2772 021</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/9y8AAOSwXSZd3rb-/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401217458147_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401217458147_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Icp Gw-7472 Ethernet/Ip To Modbus Rtu/Tcp Gateway Adapter Rj45, Rs-485/Rs-422",P,BAA446," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ICP CON DAS</li><li>MPN : GW-7472</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/UrsAAOSwY59iSz2f/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/313943353702_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/313943353702_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Jokab Safety Tina8A Dynlink Connection Block, 8-Connections, 5-Pin M12 Female",P,BAA488," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Jokab Safety</li><li>MPN : TINA 8A, 2TLA020054R0500</li></ul>",490.00,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/WqsAAOSwsopi4r1f/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/403802424794_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/403802424794_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
