"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Linear Absorbance Detector Uvis-205 Model 0205-0000",P,ELAB26," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : UVIS-205</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>California Prop 65 Warning : NA</li><li>MPN : UVIS-205</li><li>Brand : Linear</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",647.50,350,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/wNsAAOSwBClidtVB/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Waters 2489 Uv Vis Detector Optics Bench Assembly & Was081140 Flowcell",P,ELAB32," ",Waters," ",Right,"<ul><li> Condition : Used  </li><li>Model : UV/VIS</li><li>Country/Region of Manufacture : Unknown</li><li>MPN : 700003550</li><li>Brand : Waters</li></ul>",682.39,368.86,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/40sAAOSwdXdgIvNA/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Beckman P/Ace Pace System 5550 Capillary Electrophoresis Uv Absorbance Detector",P,ELAB21," ",Beckman," ",Right,"<ul><li> Condition : Used  </li><li>Type : UV Detector</li><li>Brand : Beckman Coulter</li><li>Model : P/ACE 5550</li><li>MPN : P/ACE 5550</li><li>UPC : Does not apply</li></ul>",738.15,399,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/We8AAOSwImRYLN2V/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Applied Biosystems 785A Programmable Absorbance Detector W/ 112A Oven/ Injector",P,ELAB20," ","Applied Biosystems"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 785A</li><li>Brand : applied biosystems</li></ul>",832.48,449.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/CXoAAOSwhnNfW7db/s-l1200.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Thermo-Scientific / Dionex Ad20 190-800Nm Dual-Beam Absorbance Detector",P,ELAB29," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : AD20</li></ul>",923.15,499,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/Z4cAAOSw2l1hmZHD/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Perspective Biosystems 5-1085-05 Uvis-205 Absorbance Detector",P,ELAB28," ","Perspective Biosystems"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Perspective Biosystems</li><li>MPN : 5-1085-05</li><li>UPC : Does not apply</li></ul>",1109.98,599.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/T1gAAOSwzcpbTTi7/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Dionex Ad25 Absorbance Detector",P,ELAB24," ",Dionex," ",Right,"<ul><li> Condition : Used  </li><li>Model : AD25 Absorbance Detector</li><li>MPN : AD25</li><li>Brand : Dionex</li></ul>",1294.98,699.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/BZ4AAOSwq~Via5iF/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Waters 486 Hplc Tunable Absorbance Detector 120V",P,ELAB34," ",Waters," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Waters</li><li>Custom Bundle : No</li><li>Model : 486</li><li>UPC : Does Not Apply</li><li>MPN : 486</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li><li>California Prop 65 Warning : Always is</li></ul>",1461.50,790,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/uTgAAOSwX6pjK2fC/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Uvis 920 + Kipp & Zonen Flatbed Recorder",P,ELAB25," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : Zonen</li></ul>",1655.75,895,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/H6MAAOSw8A1fXkhu/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bio-Rad Imark Microplate Absorbance Reader With Software",P,ELAB22," ",Bio-Rad," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Bio-Rad</li><li>Custom Bundle : No</li><li>Model : Bio-Rad iMark</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1395.00,900,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/g-MAAOSwCWxjBndy/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
