"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"H&H Jobo Labortechnik 5110 Biolane Hti In-Situ Hybridization Automated System",P,LABZZ580," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : H&H Jobo Labortechnik</li><li>Model : BioLane HTI</li><li>MPN : 5110</li></ul>",566.58,306.26,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/nBsAAOSwridZ953h/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Thermo Scientific Owl A5 Easycast Recirculating Large Gel Electrophoresis System",P,LABZZ684," ","Thermo Scientific "," ",Right,"<ul><li> Condition : Used  </li><li>Model : Owl A5</li><li>MPN : Does Not Apply</li><li>Brand : Thermo</li></ul>",645.65,349,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/jLMAAOSwrHNh~DJ0/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bio Lion Xc-H185 Xc-Hr16 Xc-H Centrifuge 50Ml X6 #6 Fixed Angle Rotor A021-3",P,LABZZ529," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : A021-3</li><li>Brand : Bio Lion</li></ul>",647.50,350,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/gRsAAOSwNaRaxHHS/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Amersham Pharmacia Ph/C-900 Fplc Conductivity Flow Cell Probe Control Module",P,LABZZ572," ",Ge," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 18-1107-76 ,  18110776</li><li>Brand : GE Amersham</li></ul>",712.25,385,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/00MAAOSwmpBdCeB3/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Sorvall Centrifuge Rotor Rth-750 W/ (4) Rotor Buckets 11788",P,LABZZ655," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : RTH-750</li><li>MPN : 11788</li><li>Brand : Sorvall</li></ul>",712.25,385,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/FiEAAOSwBaphIDLr/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Iq Automation Flatman Tft Touch Screen Display 17"" Monitor Fk170A Iq17",P,LABZZ602," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : IQ Automation</li><li>Model : Flatman</li><li>MPN : FK170A4OKD002</li></ul>",721.50,390,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/1OQAAOSw31pdCIA3/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Beckman Coulter Quanta Sc Cytometer Vacuum Pump Cabinet With Bottles N000002454",P,LABZZ527," ","Beckman "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Beckman Coulter</li><li>MPN : N000002454</li></ul>",730.75,395,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/chYAAOSwNlxdbszW/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Waters Micromass Ion Sabre Control Unit With Probe",P,LABZZ704," ",Waters," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Waters</li><li>MPN : 4087001DC1</li></ul>",730.75,395,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/6WYAAOSwi~1dB~9u/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rainin Pipet-Lite Xls 8 Channel Multichannel L20 2-20Ul Pipette Lts Tips",P,LABZZ647," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : Rainin Gilson Eppendorf</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Non-Domestic Product : No</li><li>MPN : Does Not Apply</li><li>Volume : 2-20uL</li><li>Pipette Type : Pipette Tip</li><li>Brand : Rainin Eppendorf Gilson</li></ul>",739.98,399.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/3tQAAOSwu7hi8tar/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Afag Rm-63 Rotary Module / Rotary Air Cylinder Rm63",P,LABZZ508," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Afag</li><li>Model : RM-63</li><li>MPN : 1371</li></ul>",832.50,450,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/mpAAAOSwN3lcy55T/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
