"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"0 ~ 130V Variac Transformer Variable 3000Va Ac Voltage Regulator 30Amp Tdgc-3Kv",P,ATX1219," "," "," ",Right,"<ul><li> Condition : New  </li><li>Feature 1 : Stable characteristic, high reliability</li><li>Features : Long Service Life,Exquisite Appearance,High-quality</li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/NlAAAOSwWJ5g8PoF/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/234624720696_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/234624720696_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"0~130V Variac Transformer Variable 3000Va Ac Voltage Regulator 30Amp Durable",P,ATX1220," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/NlAAAOSwWJ5g8PoF/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/374174448389_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/374174448389_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"0-130V Adjustable Variac Transformer Enclosed Variable Ac Regulator 30Amp Auto",P,ATX1222," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/NlAAAOSwWJ5g8PoF/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/134170396774_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/134170396774_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"110V / 60Hz Variac Transformer Variable 3000Va Ac Voltage Regulator 30Amp 0-130V",P,ATX1243," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/NlAAAOSwWJ5g8PoF/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/155064201851_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/155064201851_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"110V 3000Va 30Amp Transformer Variac Variable Ac Voltage Regulator Metered",P,ATX1247," "," "," ",Right,"<ul><li> Condition : New  </li><li>Features : Creative Design，Durable Material ，Fast shipping</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/iY0AAOSwZO5g6R4A/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/234611427821_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/234611427821_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"110V 3000Va Variac Transformer Variable Copper Coil 0-130V Ac Voltage 30 Amps",P,ATX1249," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/NLoAAOSw0uViKAJa/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/373967546593_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/373967546593_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"110V 3000W 30Amp Auto Transformer Variac Variable Ac Voltage Regulator Metered",P,ATX1250," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Current Rating : 30 A</li><li>Number of Phases : 1</li><li>Voltage Rating : 0-130V</li><li>Transformer Type : Variac</li><li>Nominal Primary Voltage Rating (AC) : 110 V</li><li>Nominal Power Rating : 3 kVA</li><li>Nominal Secondary Voltage Rating (AC) : 110 V</li><li>Current Conversion : AC to AC</li><li>Rate Output Capacity : 3KVA</li><li>Phase Nnumber : 1</li><li>Output Volatage : 0-130V(Adjustable)</li><li>Temperature Rise : <60℃</li><li>Dielectric Strength : 1500V/min</li><li>Frequency : >90%</li><li>Insulation Resisitance : >5MΩ</li><li>Brand : Unbrand</li><li>Type : Variac</li><li>Shipping Notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Color : Red</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/4gcAAOSwnG9jBynv/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/175394294315_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/175394294315_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"110V 30A Variable Ac Transformer Ac Voltage Regulator Metered Variac Transformer",P,ATX1253," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Current Rating : 30 A</li><li>Number of Phases : 1</li><li>Voltage Rating : 0-130V</li><li>Transformer Type : Variac</li><li>Nominal Primary Voltage Rating (AC) : 110 V</li><li>Nominal Power Rating : 3 kVA</li><li>Nominal Secondary Voltage Rating (AC) : 110 V</li><li>Current Conversion : AC to AC</li><li>Rate Output Capacity : 3KVA</li><li>Phase Nnumber : 1</li><li>Output Volatage : 0-130V(Adjustable)</li><li>Temperature Rise : <60℃</li><li>Dielectric Strength : 1500V/min</li><li>Frequency : >90%</li><li>Insulation Resisitance : >5MΩ</li><li>Brand : Unbrand</li><li>Type : Variac</li><li>Shipping Notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Color : Red</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/k80AAOSw1ABjDcjp/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/225139373819_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/225139373819_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"110V 30A Variac Transformer Variable Ac Voltage Regulator Metered 0-130V 3000Va",P,ATX1254," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/lXEAAOSwYJdghY2y/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/255688504580_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/255688504580_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"110V 3Kva 30A Variac Transformer Enclosed Variable Ac Voltage Regulator Metered",P,ATX1255," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Brand : Unbranded</li><li>Type : Variac</li><li>Plug Type : US Plug</li><li>Model : TDGC-3KVA</li><li>Capacity : 3KVA</li><li>Input voltage : AC 110V, 60Hz</li><li>Output voltage : AC 0-130V, 60Hz</li><li>Max output : 30 Amps</li><li>Condition temperature : <60℃</li><li>Humidity : <=5%</li><li>Dielectric strength : 1500 V/min</li><li>Insulated resistance : >5MΩ</li><li>MPN : Does not apply</li></ul>",225.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/FDIAAOSwb15g0~Nl/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/363936725242_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/363936725242_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
