"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"140M-18P-C50S-M Allen Bradley 50 Amp 600V Motor Circuit Protector 140M-I8",P,HAA3000," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen-Bradley</li><li>MPN : 140M-18P-C50S-M</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/BVEAAOSwEqVcO7ke/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/273655503009_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/273655503009_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"460R-280 Square D Current Transformer 208:120 Ratio 150Va Set Of 3",P,HAA3001," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 460r-208</li><li>Brand : Square D</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/O58AAOSwbBVct5ly/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/273811351528_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/273811351528_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"6043Pmu Commonwealth Sprague Eccol Unipak Power Capacitor 60 Kvar 3 Phase 480V",P,HAA3002," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 6043PMU</li><li>Brand : sprague</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/WH0AAOSwpsBcnkbT/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/254181581311_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/254181581311_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb Oesa 630R04 Disconnect Switch 630 Amp 690V 12Kv",P,HAA3003," ",Abb," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ABB</li><li>Model : 630R04</li><li>MPN : OESA 630R04</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/k1EAAOSwcQ1gkGTB/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/265146849898_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/265146849898_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Acme Transformer T2531141S 5 Kva 1 Phase 600V To 120/240V Style Sr 3R Outdoor",P,HAA3004," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Number of Phases : 1</li><li>MPN : T2531141S</li><li>Brand : Acme</li><li>Nominal Power Rating : 5 kVA</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/LoUAAOSw2WhdoM21/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/254386353320_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/254386353320_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advanced Energy 2302012 Pe Main Display Pcb Board Rf Generator Power Supply",P,HAA3005," ","Advanced Energy"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Energy</li><li>MPN : 2302012 , AE2091C, 1302091G</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/Z3cAAOSwTspdLLYn/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/333268145201_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/333268145201_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advanced Illumination Bl0202-880 Machine Vision Infrared Led Backlight, 2"" X 2""",P,HAA3006," ","Advanced Illumination"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Illumination</li><li>MPN : BL0202-880 24</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/SXMAAOSwlddg3dln/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/402961644568_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/402961644568_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advanced Illumination Bl1520-880 Machine Vision Infrared Led Backlight 50 X 50Mm",P,HAA3007," ","Advanced Illumination"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Illumination</li><li>MPN : IR</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/-1UAAOSw615g3eOL/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/313587945494_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/313587945494_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 100S-C43Dj14C Guardmaster Safety Contactor 600Vac 75A, 24Vdc Coil",P,HAA3008," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen-Bradley</li><li>MPN : 100-C43D*00</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/uMgAAOSwxUpi~lsP/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/314112472266_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/314112472266_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 1785-Lt2 A Plc 5/25 Processor Module Firmware Rev J Series A",P,HAA3009," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : 1785-LT2</li></ul>",567.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/JLoAAOSw3Z9awmAZ/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/253536282889_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/253536282889_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
