"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Hubbell Wiring Device-Kellems - S1Ptal Poke Through Steel And Aluminum 2-Gang",P,BV1747," ",Hubbell," ",Right,"<ul><li> Condition : New  </li><li>Model : S1PTAL</li><li>MPN : S1PTAL</li><li>Brand : HUBBELL WIRING DEVICE-KELLEMS</li><li>LOCATION : H-1</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/cd0AAOSwq-BisM5e/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/234596104535_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/234596104535_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ink Jet Print Sequencer 62.11 Pcb Board Sid970030",P,BV1809," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : SID970030</li><li>Brand : JET PRINT</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/I60AAOSwd4tT-NTk/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/252433333625_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/252433333625_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Legrand 8At2Pgy 8In Prewired Poke-Thru Assembly W/ Flush Gray Cover",P,BV1841," ",Legrand," ",Right,"<ul><li> Condition : New  </li><li>Model : 8AT2P</li><li>Country/Region of Manufacture : United States</li><li>Color : Gray</li><li>MPN : 8AT2PGY</li><li>Brand : Legrand</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/1uMAAOSw76NiYx9O/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/284780755484_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/284780755484_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Murray Ds4, 1200 Amp 240 Volt Modular Extensions Box-- Mb60",P,BV1897," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : Murray</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/8CoAAOSwuqRdLTIG/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/282071110017_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/282071110017_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Qo116M100Prb Qo, 1 Phase, 16 Spaces, 24 Circuits, 100A Convertible Main Breaker",P,BV1943," "," "," ",Right,"<ul><li> Condition : New  </li><li>Current Rating : 91-100 A</li><li>Model : QO</li><li>Maximum Amperage : 100 A</li><li>Current Type : AC/DC</li><li>Number of Poles : 1</li><li>Number of Gangs : 16</li><li>Type : Main Breaker</li><li>Features : Waterproof</li><li>Color : Gray</li><li>MPN : QO116M100PRB</li><li>Brand : Square D</li><li>Suitable For : Exterior</li><li>Voltage : 201-250 V</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/wg8AAOSwdElhaHan/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/234236206998_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/234236206998_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Remanufactured Ink Jet Printer Display Pcb Board 22.11 Sid970030",P,BV1971," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : SID970030</li><li>Brand : INK JET</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/l8kAAOSw-jhT-NaK/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/264409837676_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/264409837676_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Saginaw Control & Engineering Sce-10086Eljss6 10""X8""X6"" Msrp $417.00",P,BV2001," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Saginaw Controls & Engineering</li><li>Type : Enclosure</li><li>Model : SCE-10086ELJSS6</li><li>Material : Stainless Steel</li><li>Box Shape : Rectangular</li><li>Application : Control Equipment Panels</li><li>Finish : Stainless Steel</li><li>Suitable For : Wall</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/A-oAAOSwdJNigp9M/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/403662319854_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/403662319854_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens P2 Bus Finger Kit Breaker Strap Kit For Qr 2P",P,BV2040," ","Siemens "," ",Right,"<ul><li> Condition : New  </li><li>Mounting Style : Panel</li><li>Material : Metal</li><li>Brand : Siemens</li><li>Application : Electrical Wiring</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/V-oAAOSwI-9iSw8N/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens W411101 Replacement Line Shield Terminal Cover, 400/600 Amp,",P,BV2053," ","Siemens "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : Siemens</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/LRIAAOSw4xRfIIk1/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/283970579161_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Hom30M200C, 200A Mb,120/240V, 1P3W, 30 Circuit Load Center-E2119--B",P,BV2102," ","Square D "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : Square D</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/l3AAAOSw74JfLUk0/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/264822093434_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/264822093434_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
