"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Allen Bradley 1762-Ir4 1762-1R4 Micrologix 1200 Rtd Resistance Input Module #4",P,GX2026," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : 1762-IR4/A 1762-1R4 1762-IRA 1762-1RA</li><li>UNSPSC : 32151601</li><li>OEM Lifecycle Status : ACTIVE MATURE</li><li>Controller Platform : MicroLogix1200</li><li>Price is for Each : Price is for ONE Item Only.</li><li>Type : PLC Input Module</li><li>OEM Product Description : MICROLOGIX 4 POINT MODULE</li><li>Parent Company : Rockwell Automation AB A-B</li><li>Catalog Number : 1762IR4</li><li>MPN : 1762-IR4_IILLC-005183</li><li>Brand : Allen-Bradley</li></ul>",598.4,272,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/4WUAAOSwhtFiC8ZY/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/275430584041_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/275430584041_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Schneider Electric 140Dai55300 Module *",P,GX6165," ","Schneider Electric"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 140DAI55300</li><li>Brand : Schneider Electric</li></ul>",598.4,272,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/lkEAAOSwgwdfPVmh/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/274464724758_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/274464724758_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Aeg Arei2-Rs232 Pc Programming Link Cable 70213 W/ Gasket (Pack Of 3)",P,GX1740," ",Aeg," ",Right,"<ul><li> Condition : Used  </li><li>Brand : AEG</li><li>MPN : AREi2-RS232</li></ul>",598.71,272.14,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/Xg4AAOSwpOFhJ~Zo/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/353644671654_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/353644671654_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Crane Tc-984-01Cr-0-Usa Tmac Opta Controller Module",P,GX3371," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : CRANE</li><li>Model : TC-984-01CR-0-USA</li><li>MPN : TC-984-01CR-0-USA</li><li>Product Brand : CRANE</li><li>Product Condition : Used</li><li>Model Number : TC-984-01CR-0-USA</li><li>Model Line : TMAC OPTA</li></ul>",599.28,272.4,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/HRUAAOSwYThgypOp/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/293915289935_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/293915289935_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Toshiba Rd45A-A Power Supply Assembly",P,GX6994," ",Toshiba," ",Right,"<ul><li> Condition : Used  </li><li>Brand : TOSHIBA</li><li>Model : RD45A-A</li><li>MPN : RD45A-A</li><li>Product Brand : TOSHIBA</li><li>Product Condition : Used</li><li>Model Number : RD45A-A</li></ul>",599.28,272.4,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/QfQAAOSw6eNiV2pZ/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/382933285627_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/382933285627_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 1333-Yab Series D Adjustable Frequency Ac Motor Drive 3Ph",P,GX2517," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : 1333-YAB</li><li>Brand : Allen-Bradley</li><li>MPN : 1333YAB</li><li>MPN : 1333YAB</li></ul>",599.61,272.55,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/zGcAAOSwKvdgnYLb/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/173020972427_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/173020972427_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 160-Aa04Nfs1P1 Ser C Analog S.F. Speed Control 0.75Kw / 1Hp",P,GX2531," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : 160-AA04NFS1P1</li><li>Brand : Allen-Bradley</li><li>MPN : 160-AA04NFS1P1</li></ul>",599.7,272.59,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/5GkAAOSwTwtgnYLH/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/311759378549_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/311759378549_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 1754-L28Bbb Ser.B Rev.B01 Guardplc 1200 F/W Rev. V2.04 24Vdc 8A",P,GX2575," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : 1754-L28BBB</li><li>Brand : Allen-Bradley</li><li>MPN : 1754-L28BBB</li></ul>",599.7,272.59,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/dLoAAOSwLtZgrW3o/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/174259772200_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/174259772200_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 2711P-Rp Panelview Plus Logic Module Ser A Rev B 24Vdc 70W",P,GX2694," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : 2711P-RP</li><li>MPN : 2711P-RP</li><li>Brand : Allen-Bradley</li><li>MPN : 2711PRP</li></ul>",599.7,272.59,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/mYsAAOSwG~1grW3T/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/174168168240_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/174168168240_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Yaskawa Zy1C-Ss3152 Idec Motoman Control Panel W/ Keys",P,GX7695," ","Yaskawa "," ",Right,"<ul><li> Condition : Used  </li><li>Model : ZY1C-SS3152</li><li>Brand : Yaskawa</li><li>MPN : ZY1C-SS3152</li></ul>",599.7,272.59,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/KYIAAOSwahhgnYLH/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/311764233225_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/311764233225_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
