"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Varian Prostar 210 Hplc Solvent Module Pump Liquid Chromatography",P,LABXX68," ","Varian "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 230</li><li>Chromatography Technique : High Performance Liquid Chromatography (HPLC)</li><li>MPN : 210</li><li>Brand : Varian</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1007.50,650,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/12IAAOSwxpxikUtf/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Est Lc-241 Plus Hplc Sampling System",P,LABXX703," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : EST</li><li>Custom Bundle : No</li><li>Model : LC-241</li><li>MPN : LC-241</li><li>Country/Region of Manufacture : Unknown</li><li>Modified Item : No</li></ul>",1053.98,679.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/l-EAAOSwR91i~WHt/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bio Rad Biologic Biofrac 496 Br Fraction Collector",P,LABXX140," ","Bio Rad"," ",Right,"<ul><li> Condition : Used  </li><li>Model : BioLogic BioFrac</li><li>Country/Region of Manufacture : United States</li><li>California Prop 65 Warning : N/A</li><li>WL : C6-TOP</li><li>MPN : 496 BR</li><li>Brand : BIO RAD</li></ul>",1061.46,684.81,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/vdkAAOSw9ftiC~9T/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Waters 474 Scanning Fluorescence Detector Hplc Chromatography 120V",P,LABXX336," ","Waters "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Waters</li><li>MPN : 474</li></ul>",1069.50,690,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/xPsAAOSwTeVjK1za/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Shimadzu Dgu-20A3 Degasser",P,LABXX207," ",Shimadzu," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Shimadzu</li><li>MPN : Does not apply</li></ul>",1077.25,695,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/ZoUAAOSwIHRjN4Kb/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Shimadzu Liquid Chromatograph Lc-10Ad Vp",P,LABXX632," ",Shimadzu," ",Right,"<ul><li> Condition : Used  </li><li>BB p/n: : 020064</li><li>MPN : LC-10AD VP</li><li>Brand : Shimadzu</li></ul>",1077.25,695,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/7kIAAOSwSWZeZo3V/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Sievers 280 Nitric Oxide Analyzer Noa",P,LABXX364," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 280</li><li>Chromatography Technique : High Performance Liquid Chromatography (HPLC)</li><li>MPN : 280</li><li>Brand : Sievers</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1077.25,695,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/cMwAAOSwS-di0pDz/s-l1200.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent G1969-60002 Tof Ion Optics Pca For 62Xx Series Pcb Board Tof Mass Spec",P,LABXX585," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>Model : Ion Optics PCA</li><li>Country/Region of Manufacture : United States</li><li>Chromatography Technique : Mass Spectrometer</li><li>UPC : Does Not Apply</li><li>MPN : G1969-60002</li><li>Brand : Agilent</li></ul>",1083.45,699,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/XCAAAOSwYcZf-06Y/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bio Rad Biologic System Uv Unit 7318324",P,LABXX232," ","Bio Rad"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Bio Rad</li><li>Custom Bundle : No</li><li>MPN : UV Unit</li><li>Modified Item : No</li></ul>",1083.92,699.3,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/6GIAAOSwURdi2LLv/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Waters 515 Hplc Pump Wat20700",P,LABXX276," ","Waters "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Waters</li><li>Model : 515</li><li>MPN : WAT20700</li></ul>",1084.98,699.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/FwoAAOSwkqJiswOw/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Waters 2790/2795 Hplc System Board 056370",P,LABXX476," ","Waters "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 056370</li><li>Chromatography Technique : High Performance Liquid Chromatography (HPLC)</li><li>MPN : 056370</li><li>Brand : Waters</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1088.08,701.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/FHQAAOSw~KpcdFM~/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Dionex Uci-100 Universal Chromatography Interface",P,LABXX182," ",Dionex," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Dionex</li></ul>",1154.75,745,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/COcAAOSwf5NjIrjt/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Perkin Elmer Series 200 Hplc Autosampler Peltier + Control, 5-Ch Degasser",P,LABXX405," ",Perkinelmer," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Perkin Elmer</li><li>MPN : N2930100</li></ul>",1162.42,749.95,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/SZ8AAOSwyt5iyNN8/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Varian Prepstar Model Sd-1 Solvent Module V2.2 Hplc System Pump",P,LABXX377," ","Varian "," ",Right,"<ul><li> Condition : Used  </li><li>Model : SD-1</li><li>Country/Region of Manufacture : United States</li><li>Chromatography Technique : Liquid Chromatography (LC)</li><li>MPN : SD-1</li><li>Brand : Varian</li></ul>",1162.48,749.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/L54AAOSwxy9iDA9I/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Shimadzu Lc-10Ad Vp Hplc Lc Pump Liquid Chromatography",P,LABXX730," ",Shimadzu," ",Right,"<ul><li> Condition : Used  </li><li>Brand : SHIMADZU</li><li>Chromatography Technique : Liquid Chromatography (LC)</li><li>MPN : LC-10AD-VP</li><li>sku : B33</li></ul>",1162.50,750,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/LMQAAOSwm-hjESZ~/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Waters 515 Hplc Pump Completes The Diagnostic Test",P,LABXX104," ","Waters "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 515</li><li>MPN : 515 HPLC</li><li>Brand : WATERS</li></ul>",1162.50,750,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/V98AAOSwey5ig8Mx/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Gilson 819 Injection Valve Actuator",P,LABXX696," ",Gilson," ",Right,"<ul><li> Condition : Used  </li><li>Model : 819</li><li>Modified Item : No</li><li>Chromatography Technique : High Performance Liquid Chromatography (HPLC)</li><li>Brand : Gilson</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1167.15,753,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/gC4AAOSwxFVeDC6g/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Healthcare 18102935 Lamphouse Uv Lamp Housing Assembly",P,LABXX190," ","Ge Healthcare"," ",Right,"<ul><li> Condition : Used  </li><li>Model : LAMPHOUSE 18102935</li><li>Country/Region of Manufacture : Sweden</li><li>MPN : 18102935</li><li>Brand : GE Healthcare</li><li>WAREHOUSE LOCATION : WR 1-1(LRGBLUEBIN)</li></ul>",1176.16,758.81,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/jw8AAOSwQPxiVeN6/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hp Agilent G1947A Apci Atmospheric Pressure Chemical Ionization Source",P,LABXX44," ","Hp Agilent "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : HP</li><li>MPN : C1947A</li></ul>",1182.63,762.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/GqgAAOSwRnFihpmr/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent G3170-65006 Ac Printed Circuit Board 5973 / 5973N Msd // G2589A",P,LABXX337," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>Model : 510160</li><li>Country/Region of Manufacture : China</li><li>Chromatography Technique : Gas Chromatography (GC)</li><li>MPN : G3170-65006</li><li>Brand : Agilent</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1193.50,770,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/dCUAAOSwk91jJNFb/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent G1946-60098 Es Neb. Assembly",P,LABXX693," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Agilent</li><li>MPN : G1948-60098</li></ul>",1222.95,789,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/XHUAAOSwe89hyf3M/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bas Liquid Chromatography System Uv 116 Uv Vis Detector, Pm 80 Solvent",P,LABXX33," "," "," ",Right,<ul></ul>,1232.25,795,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/F4EAAOSwEthjRyCp/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Shimadzu Dgu-20A5 Degasser",P,LABXX117," ",Shimadzu," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Shimadzu</li><li>MPN : Does not apply</li></ul>",1232.25,795,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/Ur8AAOSwhOdjN3ie/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Shimadzu Dgu-20A5R Degasser",P,LABXX228," ",Shimadzu," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Shimadzu</li><li>MPN : Does Not Apply</li></ul>",1232.25,795,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/S-kAAOSwFqNjN4H1/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Shimadzu Gas Chromatograph Gc-8A",P,LABXX494," ",Shimadzu," ",Right,"<ul><li> Condition : Used  </li><li>Brand : SHIMADZU</li><li>Model : GC-8A</li><li>MPN : Does Not Apply</li></ul>",1232.41,795.1,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/e3oAAOSw-iFgGcGc/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Shimadzu Lc-8A Preparative Liquid Chromatograph 800Va 120Va 60Hz",P,LABXX307," ",Shimadzu," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Shimadzu</li><li>Custom Bundle : No</li><li>Model : LC-8A</li><li>MPN : LC-8A</li><li>Chromatography Technique : High Performance Liquid Chromatography (HPLC)</li><li>Country/Region of Manufacture : Japan</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1238.45,799,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/5MUAAOSwRjFjO1~J/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent 1100 Series Lc/Msd G1946-60251 Octopole Board",P,LABXX486," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>WL : S2</li><li>MPN : G1946-60251</li><li>Brand : Agilent</li></ul>",1239.98,799.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/FoYAAOSwpwBfZ605/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent G4212-60011 Infinitylab Max-Light Cartridge Test Cell 1260 1290",P,LABXX165," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>Model : g4214-60011</li><li>Chromatography Technique : High Performance Liquid Chromatography (HPLC)</li><li>MPN : g4212-60011</li><li>Brand : Agilent</li><li>Intended Use/Discipline : Agilent Technologies</li></ul>",1239.98,799.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/uWsAAOSw5V5i-~Ut/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
