"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Siemens Brushless Servo Motor 1Ft6064-6Ac71-3Ea1",P,KKU7669," ",Siemens," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 1FT6064-6AC71-3EA1</li><li>Brand : SIEMENS</li></ul>",4110.00,3000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/MMsAAOSwvqhdxw0y/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/254416147683_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/254416147683_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Sunsource High Torque Vane Motor Splined Shaft M037-A2-1S-026-31-B1-Tbb-000",P,KKU7948," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : M037-A2-1S-026-31-B1-TBB-000</li><li>Shaft Diameter : 1 3/4 IN</li><li>Rated Load (HP) : 1 1/2</li><li>Special Motor Construction : HIGH TORQUE</li><li>Brand : SUNSOURCE</li><li>Shaft Type : Splined</li></ul>",4110.00,3000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/5k8AAOSw1XpgBflK/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/274652050441_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/274652050441_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Us A.C. Squirrel Cage Motor, Frame 286Jm, 460/230V, 30Kw, 3520Rpm,",P,KKU8174," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 286JM</li><li>Brand : US</li></ul>",4110.00,3000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/4YMAAOSwCZRfMyBs/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/184398015025_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Us Motor Vertical W./N.R.R. Hollow Shaft.",P,KKU8194," ","Us Motors "," ",Right,"<ul><li> Condition : Used  </li><li>Actual Rated Input Voltage : 230volts</li><li>Full Load Amps : 22.5 pa</li><li>Rated Load (HP) : 5</li><li>AC Frequency Rating : 60 Hz</li><li>Enclosure Type : ODP (Open Drip-Proof)</li><li>Base RPM : 1800rp</li><li>AC Motor Type : SCUC</li><li>Insulation Class : F (Max 311°F)</li><li>Mounting Type : vertical mount</li><li>Brand : US MOTOR</li><li>Current Type : AC</li><li>Model : Motor</li><li>Nominal Rated Input Voltage : 230 V</li><li>NEMA Frame Suffix : 284</li><li>Country/Region of Manufacture : United States</li></ul>",4110.00,3000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/SlMAAOSwJ~dies13/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/255530261812_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/255530261812_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Yaskawa Ded-13-Yr31 Ac Servo Motor 1300W, 9.9A, 2000 R/Min, Ded13Yr31",P,KKU8562," ",Yaskawa," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Yaskawa Electric</li><li>MPN : USADED-13-YR31</li></ul>",4110.00,3000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/49sAAOSwd0BV3NE8/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/191534744041_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/191534744041_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hd Systems Rh-11D-3001-E100Al Dc Servo Actuator Rex Z-Axis Nikon Nsr-S307E",P,KKU4607," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Country/Region of Manufacture : Japan</li><li>MPN : RH-11D-3001-E100AL</li><li>Brand : HD Systems</li><li>Category : Automation Motion Control and Robotics</li><li>System/Tool : Nikon NSR-S307E 300mm DUV Scanning System</li><li>Inventory # : RAZ-9683</li><li>UPC : Does not apply</li></ul>",4114.22,3003.08,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/dkwAAOSw3ntZiyow/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/142406660339_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/142406660339_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Baldor Cp4107T",P,KKU2015," ",Baldor," ",Right,"<ul><li> Condition : Used  </li><li>Model : Baldor CP4107T</li><li>MPN : Does Not Apply</li><li>Rated Load (HP) : 25</li><li>Brand : Baldor</li><li>Nominal Rated Input Voltage : 230 V</li></ul>",4144.25,3025,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/B4MAAOSwxlFhCYi3/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/154563374779_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/154563374779_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fanuc A06B-1420-B900 Servo Motor",P,KKU3579," ","Fanuc "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : FANUC</li><li>MPN : A06B-1420-B900</li></ul>",4234.66,3090.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/aosAAOSwax5Yqoe8/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/201826033948_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/201826033948_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley N-3412-2-H00Aa Series B | N-Series Ac Servo Motor",P,KKU1598," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : N-3412-2-H00AA</li><li>Type : AC Servo Motor</li><li>MPN : N-3412-2-H00AA</li><li>Controller Platform : Servo</li><li>Make : Allen Bradley</li><li>Brand : Allen Bradley</li></ul>",4240.15,3095,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/8hsAAOSwDgBiTlpj/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/384821020696_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/384821020696_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Indramat Drive Diax03, #Dk02.1-W300N-Be12-01Fw, ,",P,KKU4700," ","Indramat "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Indramat</li><li>MPN : DK02.1-W300N-BE12-01FW</li></ul>",4241.07,3095.67,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Electric Motors",https://i.ebayimg.com/images/g/n-0AAOSwx2dYGlC8/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/182340791077_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/182340791077_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
