"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"cosmo atpg-45 motion control pcb card",P,MQY2758," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Cosmo</li><li>Shelf : File Cabinet 3</li><li>Part Number : ATPG-45</li><li>Manufacturer : Cosmo</li><li>Type : Motion Control PCB</li><li>MPN : ATPG-45</li><li>Model : ATPG-45</li><li>Country/Region of Manufacture : Japan</li><li>PCB Type : Single-Sided PCB</li></ul>",525.00,210,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/w7MAAOSw4xZhzdCy/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"nitto seiko fm502h feeder controller circuit board",P,MQY2760," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Nitto Seiko</li><li>Shelf : File Cabinet 1</li><li>Part Number : FM502H</li><li>Manufacturer : Nitto Seiko</li><li>Type : Feeder Controller Circuit Board</li><li>MPN : FM502H</li><li>Model : FM502H</li></ul>",525.00,210,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/QVMAAOSwlDtisLua/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"ziatech zpm11-2 rev. b svga pci flat panel control board",P,MQY2757," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Ziatech</li><li>Shelf : File Cabinet 3</li><li>Part Number : ZPM11-2</li><li>Manufacturer : Ziatech</li><li>Type : PCB Control Board</li><li>MPN : ZPM11-2</li><li>Model : ZPM11-2</li><li>Country/Region of Manufacture : United States</li><li>PCB Type : Single-Sided PCB</li></ul>",525.00,210,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/fE8AAOSwGHFhVFxC/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"asco jb67a218a miniature pressure switch",P,MQY2752," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ASCO</li><li>Shelf : J-50</li><li>Part Number : JB67A218A</li><li>Manufacturer : ASCO</li><li>Type : Pressure Switch</li><li>MPN : JB67A218A</li><li>Model : JB67A218A</li><li>Country/Region of Manufacture : United States</li><li>Current Type : AC/DC</li></ul>",451.50,215,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/AAsAAOSwgq1hRQ9r/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"hoffman nvent a202406lp industrial control panel enclosure hinge with clamps",P,MQY2686," ",hoffman," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Hoffman NVent</li><li>Shelf : Freight</li><li>Part Number : A202406LP</li><li>Manufacturer : Hoffman</li><li>Color : Gray</li><li>Material : Mild Steel</li><li>Type : Enclosure</li><li>MPN : A202406LP</li><li>Model : A202406LP</li><li>IP Rating : IP65</li></ul>",493.50,235,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/XnQAAOSwHU9ivdXA/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"yaskawa electric yplt31001-1c pc drive board",P,MQY2761," ",yaskawa," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Yaskawa Electric</li><li>Shelf : File Cabinet 1</li><li>Part Number : YPLT31001-1C</li><li>Manufacturer : Yaskawa Electric</li><li>Type : PC Drive Board</li><li>MPN : YPLT31001-1C</li><li>Model : YPLT31001-1C</li><li>Country/Region of Manufacture : Japan</li><li>PCB Type : Single-Sided PCB</li></ul>",493.50,235,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/AokAAOSwaiJhKQmQ/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"haug gmbh en sl lc static line power supply, 230v w/ radial elimination bar",P,MQY2765," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Haug GMBH</li><li>Shelf : F-20</li><li>Part Number : EN SL LC</li><li>Manufacturer : Haug GMBH</li><li>Type : Static Line Power Supply</li><li>MPN : EN SL LC</li><li>Model : EN SL LC</li><li>Country/Region of Manufacture : Germany</li></ul>",514.50,245,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/h~oAAOSwbntgyNkT/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"fanuc a20b-2900-0380 pcb daughter servo circuit board a20b-2900-0380/03b",P,MQY2764," ",fanuc," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Fanuc</li><li>Shelf : File Cabinet 2</li><li>Part Number : A20B-2900-0380</li><li>Manufacturer : Fanuc</li><li>Type : Daughter Circuit Board</li><li>MPN : A20B-2900-0380</li><li>Model : A20B-2900-0380</li><li>Country/Region of Manufacture : Japan</li></ul>",525.00,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/ODYAAOSwrNdgsRFm/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"festo lfr-m2-g3/8-c1 pressure regulator",P,MQY2785," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Festo</li><li>Shelf : A-20</li><li>Manufacturer : Festo</li><li>Type : Regulator</li><li>MPN : LFR-M2-G3/8-C1</li><li>Model : LFR-M2-G3/8-C1</li><li>Country/Region of Manufacture : Germany</li></ul>",525.00,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/Wq8AAOSwt5FgsREu/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"hakko manufacturing co. 12139 transformer 1.5kva",P,MQY2692," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Hakko Manufacturing Co.</li><li>Shelf : I-18</li><li>KVA : 1.5</li><li>Input Voltage : 208-200V</li><li>Output Voltage : 100V</li><li>Manufacturer : Hakko Manufacturing Co.</li><li>Type : Transformer</li><li>MPN : 12139</li><li>Model : 12139</li><li>Country/Region of Manufacture : Japan</li><li>Secondary Voltage Rating (AC) : 100V</li><li>Primary Voltage Rating (AC) : 208-200V</li></ul>",525.00,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/g~AAAOSwVbph8WgY/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
