"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Wiegmann N4242006 Nema 4, 12, 13 24.0 In H X 20.0 In W X 6.0 In D Wall Mount",P,BV2471," ",Wiegmann," ",Right,"<ul><li> Condition : New  </li><li>Brand : WIEGMANN</li><li>Type : Electrical Boxes & Enclosures > Electrical Enclosures</li><li>Material : Carbon Steel</li><li>Features : Enclosure NEMA Rating 12</li><li>MPN : N4242006</li><li>Model : N4242006</li><li>Voltage : N/A</li><li>Color : Gray</li><li>Item Width : 20.500</li><li>Item Length : 27.000</li><li>Item Height : 8.000</li><li>Country/Region of Manufacture : US</li><li>Custom Bundle : No</li><li>California Prop 65 Warning : N</li><li>Bundle Description : No</li><li>Weight : 43.0000</li><li>Length : 27.000</li><li>Width : 20.500</li><li>Depth : 20.500</li><li>Power Source : N/A</li><li>Number of Batteries : N/A</li><li>Battery Size : N/A</li><li>Battery Included : No</li><li>Motor Type : N/A</li><li>Battery Capacity : N/A</li><li>Battery Life : N/A</li><li>Cable Length : N/A</li></ul>",1227.98,883.44,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/2gAAAOSwx5FirQQ4/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Quazite Pg1730Z80109 Underground Enclosure,8000 Lb.,15-1/2""W",P,BV1958," ","Quazite "," ",Right,"<ul><li> Condition : New  </li><li>Brand : QUAZITE</li><li>Type : Electrical Boxes & Enclosures > Underground Enclosures</li><li>Features : Underground Enclosure Assembly</li><li>MPN : PG1730Z80109</li><li>Model : PG1730Z80109</li><li>Voltage : N/A</li><li>Color : Gray</li><li>Item Width : 19.000</li><li>Item Length : 32.000</li><li>Item Height : 12.000</li><li>Country/Region of Manufacture : US</li><li>Custom Bundle : No</li><li>California Prop 65 Warning : N</li><li>Bundle Description : No</li><li>Weight : 141.0000</li><li>Length : 32.000</li><li>Width : 19.000</li><li>Depth : 19.000</li><li>Power Source : N/A</li><li>Number of Batteries : N/A</li><li>Battery Size : N/A</li><li>Battery Included : No</li><li>Motor Type : N/A</li><li>Battery Capacity : N/A</li><li>Battery Life : N/A</li><li>Cable Length : N/A</li></ul>",1228.40,883.74,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/7fwAAOSwhZhirh8f/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Wiegmann Ssn4161606 Nema 3R, 4, 4X, 12 16.0 In H X 16.0 In W X 6.0 In D Wall",P,BV2538," ",Wiegmann," ",Right,"<ul><li> Condition : New  </li><li>Brand : WIEGMANN</li><li>Type : Electrical Boxes & Enclosures > Electrical Enclosures</li><li>Material : 304 STAINLESS STEEL</li><li>Features : Enclosure NEMA Rating 12</li><li>MPN : SSN4161606</li><li>Model : SSN4161606</li><li>Voltage : N/A</li><li>Color : Stainless Steel</li><li>Item Width : 22.500</li><li>Item Length : 22.600</li><li>Item Height : 8.300</li><li>Country/Region of Manufacture : US</li><li>Custom Bundle : No</li><li>California Prop 65 Warning : N</li><li>Bundle Description : No</li><li>Weight : 26.1000</li><li>Length : 22.600</li><li>Width : 22.500</li><li>Depth : 22.500</li><li>Power Source : N/A</li><li>Number of Batteries : N/A</li><li>Battery Size : N/A</li><li>Battery Included : No</li><li>Motor Type : N/A</li><li>Battery Capacity : N/A</li><li>Battery Life : N/A</li><li>Cable Length : N/A</li></ul>",1229.76,884.72,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/sL8AAOSwH5Fix3Hs/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Wiegmann N412202010Wc Nema 3R, 4, 12, 13 20.0 In H X 20.0 In W X 10.0 In D Wall",P,BV2411," ",Wiegmann," ",Right,"<ul><li> Condition : New  </li><li>Brand : WIEGMANN</li><li>Material : Carbon Steel</li><li>Features : Enclosure NEMA Rating 12</li><li>MPN : N412202010WC</li><li>Color : Gray</li><li>Item Length : 22.500</li><li>Item Height : 11.750</li><li>Width : 20.060</li><li>Weight : 39.0000</li><li>ItemPackageQuantity : 1</li><li>Length : 22.500</li></ul>",1230.07,884.94,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/Zj4AAOSwwnlgS593/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D 9422Atef102 Switch A2 Handle+Mech Fuse 100A 600Vac",P,BV2079," ","Square D"," ",Right,"<ul><li> Condition : New  </li><li>Brand : Square D</li></ul>",1230.15,885,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/BJEAAOSwlf1dWo5J/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Wiegmann Bn4141206Chqtssa Nema 4X/Ip 66 12.00"" W X 6.00"" D Enclosure",P,BV2289," ",Wiegmann," ",Right,"<ul><li> Condition : New  </li><li>Brand : WIEGMANN</li><li>Type : Enclosure</li><li>Material : 316 stainless steel</li><li>Features : JIC Continuous Hinge</li><li>MPN : BN4141206CHQTSSA</li><li>Item Length : 6.130</li><li>Item Height : 15.750</li><li>NumberOfItems : 1</li><li>Width : 13.000</li><li>Weight : 18.0000</li><li>Restricted States : []</li><li>ItemPackageQuantity : 1</li><li>Item : Enclosure</li><li>Length : 6.130</li><li>Restricted Sale Item Code : NULL</li></ul>",1234.70,888.27,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/wSkAAOSwxepgSLrh/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Wiegmann N12302412 Nema 12, 13 30.0 In H X 24.0 In W X 12.0 In D Wall Mount",P,BV2336," ",Wiegmann," ",Right,"<ul><li> Condition : New  </li><li>Brand : WIEGMANN</li><li>Material : Carbon Steel</li><li>Features : Enclosure NEMA Rating 12</li><li>Finish : ANSI 61 Polyester Powder</li><li>MPN : N12302412</li><li>Color : Gray</li><li>Item Length : 32.500</li><li>Item Height : 14.200</li><li>NumberOfItems : 1</li><li>Width : 24.200</li><li>Weight : 67.3000</li><li>Restricted States : []</li><li>ItemPackageQuantity : 1</li><li>Length : 32.500</li></ul>",1242.87,894.15,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/EqgAAOSwv~Ng8TFp/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hubbell Wiring Device-Kellems S1Pt4X4Bl Poke Through,Steel And Aluminum,1-Gang",P,BV1780," ",Hubbell," ",Right,"<ul><li> Condition : New  </li><li>Brand : HUBBELL WIRING DEVICE-KELLEMS</li><li>MPN : S1PT4X4BL</li><li>Model : S1PT4X4BL</li></ul>",1242.94,894.2,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/TEkAAOSwN3xi9FrI/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/314104412864_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Von Duprin Ps914 Power Supply,Hardwired,Steel,Output,4A",P,BV2202," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : VON DUPRIN</li><li>Type : Electromagnetic Lock Power Supplies</li><li>MPN : PS914</li><li>Model : PS914</li></ul>",1244.75,895.5,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/VzUAAOSwa~di5yu4/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/314091550786_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Schneider Electric Mh38Wp / Mh38Wp",P,BV2018," ","Schneider "," ",Right,"<ul><li> Condition : New  </li><li>Brand : SQUARE D</li><li>MPN : MH38WP</li></ul>",1249.61,899,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Parts",https://i.ebayimg.com/images/g/X~AAAOSw7VRgUm5Y/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/373502579889_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/373502579889_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
