"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Bbc Brown Boveri Inc Power Shield Ss4G 609904-T704 Solid State Trip Unit Type Ss",P,HAA4398," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 609904-T704</li><li>Brand : BBC</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/ZlMAAOSwOjZcol~4/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/254185293037_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/254185293037_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Eaton Surge Protective Device Spd Spd250480D2J 480 Volt 200Ka",P,HAA4399," ",Eaton," ",Right,"<ul><li> Condition : Used  </li><li>MPN : SPD250480D2J</li><li>Brand : Eaton</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/-r0AAOSwVT9i3gAd/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/275399688639_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/275399688639_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Akr30C3F0804 Microversatrip Plus Trip Unit Programmer",P,HAA4400," ","General Electric"," ",Right,"<ul><li> Condition : Used  </li><li>Custom Bundle : No</li><li>MPN : AKR30C3F0804</li><li>Brand : GE</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/VDEAAOSw6pxh0zxZ/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/275094168478_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/275094168478_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Skha36At1200 Skha 3P 600V 1200 Amp Circuit Breaker -",P,HAA4401," ","General Electric"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : GE</li><li>MPN : SKHA36AT1200</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/LB4AAOSwJtJcJotu/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/273630138829_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/273630138829_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mal366001386 Mal36600 Square D 600A 600V 30Ka@480V 3P Lug To Lug Circuit Breaker",P,HAA4402," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Current Rating : 600 A</li><li>MPN : mal366001386</li><li>Brand : Square D</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/sM8AAOSweaReZWiX/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/274300474915_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/274300474915_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rittal Pc 4603.703 Sealed Computer Enclosure, Window, 650 X 600 X 1600Mm",P,HAA4403," ",Rittal," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Rittal</li><li>Model : PC 4603.703</li><li>Material : Steel</li><li>MPN : PC 4603.703, PC 4603 703, PC4603703</li><li>Features : Transparent Window</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/VpMAAOSwvppexDoi/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401703825132_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401703825132_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens Hlxd63B500 Hlxd 3 Pole 500 Amp 65Ka @ 480 Volt Sentron Breaker",P,HAA4404," ","Siemens "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : HLXD63B500</li><li>Brand : Siemens</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/45UAAOSwolRg9zwC/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/265237233839_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/265237233839_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Ilb34300 3P200K @ 480V 300 Amp Bolt On I Line Circuit Breaker -",P,HAA4405," ","Square D"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : SQUARE D</li><li>MPN : ILB34300</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/C~IAAOSwHhRa-aY3/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/253622573472_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/253622573472_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Model 4 Mcc Motor Control 30"" 400 Amp Lal Main Breaker Bucket With Door",P,HAA4406," ","Square D"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : lal36400</li><li>Brand : Square D</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/cH8AAOSwkpthy2Ze/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/265473932389_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/265473932389_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Well Guard Control Class 8940 Type Xd4S2 480 V Soft Start Pump Panel",P,HAA4407," ","Square D"," ",Right,"<ul><li> Condition : Used  </li><li>Model : 8940 XD4S2</li><li>MPN : 8940 XD4S2</li><li>Brand : Square D</li></ul>",1620.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/If4AAOSwdU1W~FHl/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/252338294163_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/252338294163_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
