"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Alcon Accurus Xenon Illuminator | Light Source | 8065750290",P,LABKK109," ",Alcon," ",Right,"<ul><li> Condition : Used  </li><li>Model : 8065750290</li><li>MPN : 8065750290</li><li>Light Type : Xenon</li><li>Brand : Alcon</li></ul>",573.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/py8AAOSwId1jBLSA/s-l1200.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bfw, Inc. Maxenon Xi 300 Light Source",P,LABKK114," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : BFW, Inc.</li><li>Model : Maxenon Xi 300</li><li>MPN : Does Not Apply</li><li>Serial Number : 30-2832</li></ul>",573.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/NXoAAOSwKZdihe4o/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fibersource Cmy150 Optical Illuminator",P,LABKK143," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : MARTIN HARMON</li><li>MPN : cmy150</li></ul>",573.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/2q4AAOSwFl9e3nGU/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Linvatec Lis8430 Xenon Light Source",P,LABKK182," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 286414-15</li><li>Light Type : Xenon</li><li>Brand : LINVATEC</li></ul>",573.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/3~AAAOSw9aRi2AJt/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Schott A25070 Iq Series Machine Vision Mini-Ringlight Red, 32Mm I.D.",P,LABKK225," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : SCHOTT</li><li>MPN : A25070, IQ421, A25272, 20.08.01, A25</li></ul>",573.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/R98AAOSwONBithv9/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Storz 300 Watt Xenon Light Source 20133020",P,LABKK233," ","Storz "," ",Right,"<ul><li> Condition : Used  </li><li>Light Type : Xenon</li><li>Model : 20133020</li><li>Brand : Storz</li><li>UPC : Does not apply</li><li>MPN : Does Not Apply</li></ul>",573.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/DOcAAOSwfI1dXCLE/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Illumination Technologies 27955-01 Lamp Replaces Olympus U-Lh100L-3, Watt 150",P,LABKK155," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Illumination Technologies LampHous</li><li>MPN : 3900-Rols 3900Rols</li></ul>",582.55,305,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/bHwAAOSwuC1go8MI/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Schott Fostec A08910 Fiber Optic Lightline, 10""L X 0.02""W Line, 30"" Length",P,LABKK227," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : SCHOTT FOSTEC</li><li>MPN : A08910, Light, Line</li></ul>",582.55,305,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/PWUAAOSwgPdithwI/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hayashi Luminar Ace La-180Me Halide Light Source B-1Ps Lamp",P,LABKK149," ","Hayashi "," ",Right,"<ul><li> Condition : Used  </li><li>Model : LA-180ME</li><li>MPN : Does Not Apply</li><li>Brand : HAYASHI</li></ul>",596.32,312.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/YGoAAOSwv41i0Btu/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Lyon Light Source Hi Pwr",P,LABKK190," "," "," ",Right,"<ul><li> Condition : Used  </li><li>BB p/n: : 069021</li><li>MPN : HI PWR</li><li>Brand : Lyon</li></ul>",601.65,315,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/6y4AAOSwNQZdeTrZ/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
