"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"fanuc devicenet i/f board a16b-2203-0190/06b ",P,SEL595," ",Fanuc," ",Right,"<ul><li> Condition : Used  </li><li>Brand : FANUC</li><li>MPN : A16B-2203-0190/06B</li><li>Model : A16B-2203-0190/06B</li><li>Country/Region of Manufacture : Japan</li></ul>",206.6025,105.95,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/EkkAAOSwVWpa5er2/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/332981875672_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/332981875672_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"fanuc devicenet i/f board a16b-2203-0190/07b",P,SEL596," ",Fanuc," ",Right,"<ul><li> Condition : Used  </li><li>Brand : FANUC</li><li>MPN : A16B-2203-0190/07B</li><li>Model : A16B-2203-0190/07B</li><li>Country/Region of Manufacture : Japan</li></ul>",206.6025,105.95,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/nzgAAOSwhI1a5el1/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/332981875659_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/332981875659_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"bosch valve 0 811 104 102",P,SEL555," ",Bosch," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Bosch</li><li>MPN : 0 811 104 102</li></ul>",206.7,106,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/3S4AAOSw1iVbyKaM/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/332844785727_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/332844785727_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"challenger ced3225 / ced 65k  3 pole, 225a, 240v circuit breaker",P,SEL558," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Challenger</li><li>Maximum Amperage : 225 A</li></ul>",208.65,107,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/oZQAAOSwsHxjwvcC/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/334703250844_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/334703250844_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"fireye 60-2204-2 chassis and dust cover",P,SEL618," ",Fireye," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 60-2204-2</li><li>Brand : FIREYE</li></ul>",208.65,107,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/bFIAAOSwybpboVI8/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/332811350064_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/332811350064_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"omron cs1w-bc103 + c200hw-pa204 plc base unit + power supply ",P,SEL676," ",Omron," ",Right,"<ul><li> Condition : Used  </li><li>Model : C200HW-PA204</li><li>MPN : CS1W-BC103</li><li>Brand : OMRON</li></ul>",208.65,107,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/~DAAAOSwR-9d0Ilk/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/333401003917_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/333401003917_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"rexroth ikg4020 3m servo cable wire with connector",P,SEL698," ",Rexroth," ",Right,"<ul><li> Condition : Used  </li><li>Model : IKG4020</li><li>MPN : IKG4020</li><li>Brand : REXROTH</li></ul>",208.65,107,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/2U4AAOSwN3lcmBNd/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/333130159490_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/333130159490_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"fanuc a03b-0819-c161#d output module 16pt 30vdc/250vac relay ou, a03b-0819-c161",P,SEL584," ",Fanuc," ",Right,"<ul><li> Condition : Used  </li><li>MPN : A03B-0819-C161#D</li><li>Brand : FANUC</li></ul>",224.094,114.92,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/o0oAAOSw~4djj32m/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/334655689380_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/334655689380_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"festo muh-zp-d-3-24g / muhzpd324g",P,SEL615," ",Festo," ",Right,"<ul><li> Condition : Used  </li><li>MPN : MUH-ZP-D-3-24G</li><li>Brand : Festo</li><li>Model : MUH-ZP-D-3-24G</li></ul>",226.2,116,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/rC4AAOSwV0VcM9yA/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/333058910192_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/333058910192_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"honeywell spyder pvb6438ns vav controller 20-30 vac",P,SEL633," ",Honeywell," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Honeywell</li><li>Type : VAV Control</li><li>Model : PVB6438NS</li></ul>",226.2,116,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/WN4AAOSwQ2djlQDX/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/334661039820_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"rexroth ikg4009 cable, 15 meters ",P,SEL697," ",Rexroth," ",Right,"<ul><li> Condition : Used  </li><li>MPN : IKG4009</li><li>Brand : Rexroth</li></ul>",226.2,116,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/p30AAOSwXDVcmBOx/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/333130161977_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
