"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Wohler 8931 Pipe Inspection System,20"" L,17"" W",P,HAM617," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : WOHLER</li><li>MPN : 8931</li></ul>",10260.39,8208.31,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/VW4AAOSwTLBjBs1S/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Dji Zenmuse Xt 640X512, 30Hz, 13Mm, Radiometric",P,HAM201," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : FLIR</li></ul>",11125,8900,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/7~sAAOSwxjxdsdRK/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Flir E95 Advanced Thermal Imaging Camera, Msx Technology 24� Lens",P,HAM101," "," "," ",Right,<ul></ul>,12499.94,9999.95,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/vIwAAOSw59hemdwd/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fluke Pti120 Compact Pocket Thermal Camera",P,HAM281," ",Fluke," ",Right,"<ul><li> Condition : New  </li><li>Brand : Fluke</li><li>MPN : PTi120</li></ul>",12499.99,9999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/ewIAAOSwhE5iSwj-/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fluke Ti401-Pro 60Hz 60 Hz, 640X480, 0.93 Mrad Infrared Thermal Camera",P,HAM285," ",Fluke," ",Right,"<ul><li> Condition : New  </li><li>Model : TI401-PRO 60HZ</li><li>MPN : TI480PRO</li><li>Brand : Fluke</li><li>MPN : TI480PRO</li></ul>",12499.99,9999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/KrMAAOSw6-Vi4Dh-/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fluke Ti401-Pro Thermal Imager, 60Hz, 640 X 480, -4 To 1202F",P,HAM287," ",Fluke," ",Right,"<ul><li> Condition : New  </li><li>Brand : Fluke</li><li>MPN : 5085041</li></ul>",12499.99,9999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/fLEAAOSw4YtjSDze/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Cognex Is5603-10 In-Sight Machine Vision Camera 1/1.8""Ccd 1600X1200 C-Mount 24V",P,HAM183," ",Cognex," ",Right,"<ul><li> Condition : New  </li><li>MPN : IS5603-10, IS560310, IS5603, 5603, 828-0086-1R, 82800861R, 800-58</li><li>Brand : Cognex</li><li>Video Input Connectivity : Ethernet</li></ul>",12500,10000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/jw4AAOSwqPNhKS~v/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fluke Ti401-Pro Infrared Camera, 640 X 480, 60 Hz",P,HAM286," ",Fluke," ",Right,"<ul><li> Condition : New  </li><li>Brand : Fluke</li><li>MPN : TI401-PRO-60HZ</li></ul>",14711.53,11769.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/pfIAAOSwJaxjO4ay/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Olympus Iplex Rt 6Mm/2M Videoscope - Rvi Borescope Videoprobe Ge Waygate Ndt",P,HAM408," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Olympus</li><li>Length : 2-meter</li><li>Shaft Type : Flexible</li><li>Product : Digital Inspection Camera</li><li>MPN : NX XL VU GO</li><li>Features : Adjustable LED Lights</li><li>Diameter : 6-millimeter</li></ul>",14999.99,11999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/YUkAAOSwGIViWFu9/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fluke Ti480 Pro 60 Hz, 640 X 480 High-Performance Ir Thermal Camera",P,HAM288," ",Fluke," ",Right,"<ul><li> Condition : New  </li><li>Brand : Fluke</li><li>MPN : Ti480 PRO</li></ul>",15499.99,12399.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / parts",https://i.ebayimg.com/images/g/CyIAAOSwkvdaZ5yw/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
