"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Omax 40X-400X Economic Kids Student Biological Microscope Led Light On Battery",P,MICRO1141," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : G619L</li><li>Model : G619L</li><li>Viewer : Monocular</li><li>Magnification Range : 40X-400X</li><li>Microscope Type : Compound Microscope</li></ul>",151.68,81.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/PF4AAOSwCuBcXiJa/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-1000X Kids Student Monocular Biological Microscope Led Light On Battery",P,MICRO578," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : XG619LB</li><li>Model : XG619LB</li><li>Viewer : Monocular</li><li>Magnification Range : 40X-1000X</li><li>Microscope Type : Compound Microscope</li></ul>",164.63,88.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/IRcAAOSwvSNcXoMH/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-1000X Kids Monocular Compound Led Microscope + Slide Preparation Kit",P,MICRO577," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : G619LB-SP14</li><li>Model : G619LB-SP14</li><li>Viewer : Monocular</li><li>Magnification Range : 40X-1000X</li><li>Microscope Type : Compound Microscope</li></ul>",168.33,90.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/TiYAAOSwRF1cEwCy/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 1000X Kids Compound Led Microscope+Blank Slides+Lens Paper+Prepared Slides",P,MICRO285," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : G619LB-SCP100-SAA15</li><li>Model : G619LB-SCP100-SAA15</li><li>Viewer : Monocular</li><li>Magnification Range : 40X-1000X</li><li>Microscope Type : Compound Microscope</li></ul>",210.88,113.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/SmkAAOSwYnhcXiJ1/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 1000X Kids Compound Microscope+Blank &Prepared Slides+Slide Preparation Kit",P,MICRO286," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : G619LB-SCP-PS25-SP14</li><li>Model : G619LB-SCP-PS25-SP14</li><li>Viewer : Monocular</li><li>Magnification Range : 40X-1000X</li><li>Microscope Type : Compound Microscope</li></ul>",216.43,116.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/v50AAOSwF7dcXiKT/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-1000X Kids Compound Led Microscope+Slides+Slide Preparation Kit+Book",P,MICRO576," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : G619LB-SCP-PS25-SP14-WM</li><li>Model : G619LB-SCP-PS25-SP14-WM</li><li>Viewer : Monocular</li><li>Magnification Range : 40X-1000X</li><li>Microscope Type : Compound Microscope</li></ul>",240.48,129.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/ADAAAOSwpYpcXiKw/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Student Binocular Stereo Microscope 30X With Dual Lights",P,MICRO1201," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>Model : G222</li><li>MPN : G222</li><li>Country/Region of Manufacture : China</li></ul>",281.18,151.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/T6wAAOSw27lcSL6X/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 20X-40X Dual Lights Binocular Stereo Microscope For Students",P,MICRO415," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>Model : G223A</li><li>MPN : G223A</li><li>Country/Region of Manufacture : China</li></ul>",305.23,164.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/hHMAAOSwnWpcSL6y/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Binocular Stereo Microscope 10X-30X With Dual Halogen Lights",P,MICRO252," ",," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>Model : G223B</li><li>MPN : G223B</li><li>Country/Region of Manufacture : China</li></ul>",314.48,169.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/8rcAAOSwa3lcSMiD/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"10X-30X Binocular Stereo Microscope With Dual Led Lights",P,MICRO15," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>Model : G223C</li><li>MPN : G223C</li><li>Country/Region of Manufacture : China</li></ul>",323.73,174.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/P6QAAOSwPWtcSNGb/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product," Student Binocular Stereo Microscope 10X-20X-30X-60X",P,MICRO279," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>Model : XG225BWF20</li><li>MPN : XG225BWF20</li><li>Country/Region of Manufacture : China</li></ul>",323.73,174.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/EwMAAOSwlLdcZHUF/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product," Student Binocular Stereo Microscope 10X-30X For Hobbies",P,MICRO280," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>Model : G225B</li><li>MPN : G225B</li><li>Country/Region of Manufacture : China</li></ul>",332.98,179.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/Bt8AAOSwHQxcZILB/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
