"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"47528 Brad Harrison Mini Change Cordset 12P Female 10M Home Run Top Cable -",P,MEX562," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 47528</li><li>Brand : Brad Harrison</li><li>Type : Cable</li></ul>",224.40,100.18,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/zB0AAOxyg6pRGNaP/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Em3500-Enc Allen Bradley 8Din Enclosure Acc, S4 -",P,MEX525," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : EM3500-ENC</li><li>Brand : Allen Bradley</li></ul>",224.43,100.19,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/8lQAAOSwqxddb90Y/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Surge Suppression Incorporated Salo403Y2",P,MEX482," "," "," ",Right,"<ul><li> Condition : New  </li><li>Modified Item : No</li><li>MPN : SALO403Y2</li><li>Custom Bundle : No</li><li>Brand : Surge Suppression Inc</li><li>Non-Domestic Product : No</li></ul>",224.45,100.2,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/J6sAAMXQQUpRB7m8/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"135777 Allen Bradley 460V 3/15Hp Bridge Rectifier -",P,MEX545," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Allen-Bradley</li><li>Custom Bundle : No</li><li>Model : NA</li><li>Modified Item : No</li><li>Forward Current : NA</li><li>Maximum Repetitive Peak Reverse Voltage : 460 V</li><li>Country/Region of Manufacture : United States</li><li>Number of Phases : NA</li><li>MPN : 135777</li></ul>",224.47,100.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/IucAAOSw~exehjaM/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Tcu00000 Red Lion Controls Temperature Controller -",P,MEX556," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : TCU</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>Analog/Digital : Digital</li><li>Sensor Type : NA</li><li>Controller Platform : TCU</li><li>MPN : TCU00000</li><li>DIN Size : NA</li><li>Brand : Red Lion Controls</li></ul>",224.47,100.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/5HsAAOSwme5eifpv/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"As2Saavt Electro Corporation Ultrasonic Proximity Sensor",P,MEX559," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Electro Corp</li><li>Custom Bundle : No</li><li>Modified Item : No</li><li>Current Type : AC</li><li>Sensor Type : Ultrasonic</li><li>MPN : AS2SAAVT</li></ul>",224.47,100.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/lEoAAOSwSixfkI-K/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mps251C Prosense 2A 30Vdc 60Psi Pressure Switch 72"" Cable -",P,MEX551," "," "," ",Right,"<ul><li> Condition : New  </li><li>Compatible Mounting Type : Through Hole</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>Current Type : DC</li><li>Sensor Type : Pressure Sensor</li><li>Shield : NA</li><li>Pressure Type : Switch</li><li>Output Type : NA</li><li>Sensing Technology : Pressure</li><li>MPN : Prosense</li><li>Contact Form : NA</li><li>Brand : MPS25-1C</li><li>Termination Type : Cable</li></ul>",235.67,105.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/-QsAAOSwhI9efMJe/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"5357-A00050 Fisher Porter 120V Ac Temperature Controller",P,MEX557," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Fisher Porter</li><li>DIN Size : NA</li><li>Sensor Type : NA</li><li>Custom Bundle : No</li><li>Analog/Digital : Analog</li><li>Model : 5357-A00050</li><li>MPN : 5357-A00050</li><li>Controller Platform : NA</li><li>Modified Item : No</li></ul>",235.72,105.23,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/yXcAAMXQBg5RpiPL/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"6-35-2 Cutler Hammer Size 3 3 Pole Series B1 Replacement Contact Kit 6352",P,MEX458," "," "," ",Right,"<ul><li> Condition : New  </li><li>Custom Bundle : No</li><li>Number of Poles : 3-Pole</li><li>MPN : CH723CK</li><li>Resistive Full Load : NA</li><li>Full Load Amperage Rating : NA</li><li>Modified Item : No</li><li>Brand : Cutler Hammer</li><li>Coil Volts : NA</li><li>Inductive Full Load : NA</li></ul>",244.65,109.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/XI4AAMXQVT9S1ETQ/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"K130000340105 Cutler Hammer 14A 460V Emi Filter -",P,MEX521," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Cutler Hammer</li><li>MPN : K13-000034-0105</li><li>Current Rating : 14</li><li>Voltage Rating : 460</li><li>Bypass : No Bypass</li><li>Unit Quantity : 1</li><li>Unit Type : Unit</li></ul>",251.40,112.23,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/-NsAAOSwc~dd1E9P/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"39109236 Westinghouse Ir Sz 5 1 Pole Air Compressor Replacement Contact Kit",P,MEX471," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : IR285CK</li><li>Brand : Westinghouse</li><li>Coil Volts : NA</li><li>Custom Bundle : No</li><li>Resistive Full Load : NA</li><li>Full Load Amperage Rating : NA</li><li>Inductive Full Load : NA</li><li>Number of Poles : 1-Pole</li><li>Modified Item : No</li></ul>",267.05,119.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/n4gAAOSwuV9c1b6n/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"503994-1/B Amp Optimate Fiber Optic Cable 48/Ct-",P,MEX540," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : Unbranded/Generic</li><li>Type : Cable</li></ul>",269.20,120.18,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/8cMAAMXQU6tRAOU7/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Cutler Hammer E51Kf7A3 Series A1 Glass Fiber; Steel; Duplex-",P,MEX558," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Cutler-Hammer</li><li>Model : E51KF7A3</li><li>MPN : Does Not Apply</li></ul>",269.20,120.18,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/BdcAAOxyQ45Q~82h/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"55153677G002 General Electric Size 3 3 Pole Replacement Contact Kit",P,MEX552," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : General Electric</li><li>MPN : GE405CK</li><li>Coil Volts : NA</li><li>Custom Bundle : No</li><li>Resistive Full Load : NA</li><li>Full Load Amperage Rating : NA</li><li>Inductive Full Load : NA</li><li>Number of Poles : 3-Pole</li><li>Modified Item : No</li></ul>",271.53,121.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 24 Hours",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/s6EAAOxycmBS1ayX/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
