"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Heavy Duty 6"" Stroke Linear Actuator With Bracket 225 Pound Max Lift 12V Dc",P,SER1230," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Max Motosports</li><li>Warranty : Yes</li><li>MPN : 456223</li><li>Stroke Length : 150mm (6 in)</li><li>Type : Linear Actuator with Bracket</li><li>Model : 12V Linear Actuator 6 inch</li><li>Max Lift : 225 pounds (lbs) 102.3kg</li><li>Diameter of mounting holes : 6mm</li><li>Diameter of Shaft : 20mm</li><li>Speed : 12mm / second</li><li>Voltage : 12V</li></ul>",984,531.89,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/o-sAAOSwr85al2ID/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Linear Actuator 12"" Stroke 225Lb 12V 14Mm/S Heavy Duty Motor For Auto Car",P,SER1400," "," "," ",Right,"<ul><li> Condition : New  </li><li>Custom Bundle : No</li><li>MPN : 567991</li><li>Voltage : 12V</li><li>Modified Item : No</li><li>Non-Domestic Product : No</li><li>Stroke Length : 300mm (12 in)</li><li>Brand : Max Motosports</li><li>Warranty : Yes</li><li>Type : Linear Actuator</li></ul>",984.2,532,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/1HQAAOSwQHBdQpf~/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Heavy Duty 12"" Linear Actuator Stroke 225 Pound Max Lift 12V Dc",P,SER1226," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Max Motosports</li><li>Warranty : Yes</li><li>MPN : 456223</li><li>Stroke Length : 300mm (12 in)</li><li>Type : Linear Actuator</li><li>Model : 12V Linear Actuator 12 inch</li><li>Max Lift : 225 pounds (lbs) 102.3kg</li><li>Diameter of mounting holes : 6mm</li><li>Diameter of Shaft : 20mm</li><li>Speed : 12mm / second</li><li>Voltage : 12V</li></ul>",984.22,532.01,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/ye0AAOSw7Vhavvre/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Heavy Duty Linear Actuator With Bracket 2"" Stroke 225Lb Max Lift Dc 12V 12Mm",P,SER1241," "," "," ",Right,"<ul><li> Condition : New  </li><li>Warranty : Yes</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Non-Domestic Product : No</li><li>Type : Linear Actuator with Bracket</li><li>MPN : 998059</li><li>Stroke Length : 50mm (2 in)</li><li>Brand : Max Motosports</li><li>Voltage : 12V</li></ul>",987.96,534.03,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/49AAAOSwq7xal2EN/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Smith Bearing Pyr-6 Track Roller,Yoke,Bore Dia. 2-1/4 In",P,SER1636," ","Smith Bearing "," ",Right,"<ul><li> Condition : New  </li><li>Brand : SMITH BEARING</li><li>MPN : PYR-6</li><li>Type : Bearings, V-belts & Power Transmission Equipment > Linear Bearing</li><li>Model : PYR-6</li><li>Custom Bundle : No</li><li>Bundle Description : No</li><li>Modified Item : No</li><li>Modification Description : N/A</li><li>California Prop 65 Warning : N</li><li>Country/Region of Manufacture : ZZ</li><li>Color : N/A</li><li>Weight : 19.6500</li><li>Length : 6.000</li><li>Width : 6.000</li><li>Depth : 6.000</li><li>Voltage : N/A</li><li>Features : Track Roller, Roller Style Yoke, Bore Dia. 2.25 in, Roller Shape</li><li>Power Source : N/A</li><li>Number of Batteries : N/A</li><li>Battery Size : N/A</li><li>Battery Included : No</li><li>Motor Type : N/A</li><li>Battery Capacity : N/A</li><li>Battery Life : N/A</li><li>Cable Length : N/A</li></ul>",988.31,534.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/aDgAAOSwjzZh7cnI/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Heavy Duty 8"" Stroke Linear Actuator With Bracket 225 Pound Max Lift 12V Dc",P,SER1231," "," "," ",Right,"<ul><li> Condition : New  </li><li>Warranty : Yes</li><li>Max Lift : 225 pounds (lbs) 102.3kg</li><li>Diameter of mounting holes : 6mm</li><li>Diameter of Shaft : 20mm</li><li>Model : 12V Linear Actuator 8 inch</li><li>Speed : 12mm / second</li><li>Type : Linear Actuator with Bracket</li><li>MPN : 456223</li><li>Stroke Length : 200mm (8 in)</li><li>Brand : Max Motosports</li><li>Voltage : 12V</li></ul>",988.64,534.4,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/iAEAAOSwGstal2Ly/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Tsubaki Nakashima Co Ltd 40Lamrb",P,SER1827," ",Tsubaki," ",Right,"<ul><li> Condition : New  </li><li>Brand : Tsubaki Nakashima Co Ltd</li><li>MPN : 40LAMRB</li><li>Type : Surplus</li></ul>",990.21,535.25,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/598AAOSwwbJi--Sm/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Linear Actuator 12"" Stroke 225Lb Max Lift Dc 12V 12Mm With Mounting Bracket",P,SER1401," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 327223</li><li>Voltage : 12V</li><li>Stroke Length : 300mm (12 in)</li><li>Brand : Max Motosports</li><li>Warranty : Yes</li><li>Type : Linear Actuator</li></ul>",991.43,535.91,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/JsUAAOSw~jNZYE36/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Heavy Duty 10"" Stroke Linear Actuator With Bracket 225 Pound Max Lift 12V Dc",P,SER1224," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Max Motosports</li><li>Warranty : Yes</li><li>MPN : 456223</li><li>Stroke Length : 250mm (10 in)</li><li>Type : Linear Actuator with Bracket</li><li>Model : 12V Linear Actuator 10 inch</li><li>Max Lift : 225 pounds (lbs) 102.3kg</li><li>Diameter of mounting holes : 6mm</li><li>Diameter of Shaft : 20mm</li><li>Speed : 12mm / second</li><li>Voltage : 12V</li></ul>",991.6,536,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/iAEAAOSwGstal2Ly/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"12"" Stroke Linear Actuator W/Bracket 225Lb 12V 14Mm/S Heavy Duty For Auto Car",P,SER1007," "," "," ",Right,"<ul><li> Condition : New  </li><li>Warranty : Yes</li><li>Non-Domestic Product : No</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Type : Linear Actuator with bracket</li><li>MPN : 567991</li><li>Stroke Length : 300mm (12 in)</li><li>Brand : Max Motosports</li><li>Voltage : 12V</li></ul>",992.91,536.71,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Rotary & Linear Motion",https://i.ebayimg.com/images/g/hJsAAOSwGvlal2~v/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
