"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"5105B B, Pr Electronics Hazardous Location Isolated Driver, Signal Conditioning",P,QW1282," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : PR electronics</li><li>Type : Isolator</li><li>Model : 5105BB</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/Pl8AAOSwzrtirMDp/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/275352954431_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/275352954431_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Cognex Industrial Mainboard 801-8128-01 Vpm-8120S-5010",P,QW1898," ",Cognex," ",Right,"<ul><li> Condition : New  </li><li>Model : 801-8128-01</li><li>MPN : 801-8128-01</li><li>Brand : Cognex</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/7mEAAOSwAtFevo~L/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/293581316312_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/293581316312_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Euchner Tz1Le024Bha-C1903 Safety Switch Interlock 082095 Lot Of 2",P,QW1089," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Euchner</li><li>Model : TZ1LE024BHA-C1903</li><li>MPN : TZ1LE024BHA-C1903</li><li>Country/Region of Manufacture : Germany</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/o6EAAOSw7FhiPdjE/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/175354088311_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/175354088311_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fanuc Robotics A02B-0236-C211 Fssb I/O Module Basic Unit In Pkg",P,QW1716," ",Fanuc," ",Right,"<ul><li> Condition : New  </li><li>Brand : FANUC ROBOTICS</li><li>Bundle Listing : No</li><li>Model : A02B-0236-C211</li><li>MPN : A02B-0236-C211</li><li>Country/Region of Manufacture : Japan</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/AS0AAOSw1LRa0kX5/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/232734133615_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/232734133615_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Flowserve Worcester L93Swp4R1 Digital Positioner Pulsair Iii L 93 Swp4 R1",P,QW1148," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Flowserve</li><li>Type : Digital Positioner Control</li><li>Custom Bundle : No</li><li>Model : L93 WSP4 R1</li><li>MPN : Does Not Apply</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/xrgAAOSwAXFiO7va/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/144474621476_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/144474621476_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"General Electric Ac Tach Generator, 5Py59Ey16A, 28Vac/1000 Rpm, Base Mount,",P,QW1440," ",Ge," ",Right,"<ul><li> Condition : New  </li><li>Brand : RPM</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/essAAOSwmbVdcmEu/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/143375380131_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hayward Solenoid Valve Sv50050Sv24Ad 1/2"" Pvdf Sol Valve 24Vac/Dc Soc Fpm",P,QW1928," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : HAYWARD</li><li>Model : SOL VALVE</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/z2oAAOSwDtRhxOc~/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/384629390562_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/384629390562_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Intermec T1700 Hand Held Terminal T1700C103397491",P,QW2340," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Intermec</li><li>MPN : T1700</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/Q78AAOSwyf1bMQrg/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Reliance 86466-60V Rectifier Stack 230V Ac",P,QW2374," ",Reliance," ",Right,"<ul><li> Condition : New  </li><li>Brand : RELIANCE</li><li>MPN : 86466-60V</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/wpMAAOSwGhxbmsTm/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Sea Tel 136128-2 Ku-Band Q-Pll Lnb Type R #9",P,QW1312," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : Sea Tel 136128-2</li><li>MPN : 136128-2</li><li>Brand : Sea Tel</li></ul>",918.00,600,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/~BUAAOSwsOZiSJua/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/304424881888_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/304424881888_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
