"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Headspace Analyzer | Oxygen 0-30% | Usa Nist Calibration Source",P,AAQ605," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Undisclosed</li><li>MPN : Does not apply</li></ul>",1152.75,795,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/B2EAAOSwxPBh2Vqj/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siglent Cp4070A - Current Clamp (300 Khz Bw, 70 Arms Max. Continuous Current, 20",P,AAQ606," ",Siglent," ",Right,"<ul><li> Condition : New  </li><li>Brand : Siglent</li><li>MPN : CP4070A</li><li>Model : CP4070A</li><li>Type : Tool</li></ul>",1152.75,795,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/2T8AAOSwJvVi-u9b/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Tektronix Rmd3000 Dpo3000 Oscilloscopes Rackmount Kit",P,AAQ607," ",Tektronix," ",Right,"<ul><li> Condition : New  </li><li>Brand : Tektronix</li><li>MPN : RMD3000</li></ul>",1153.04,795.2,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/NeUAAOSwZ8ZfMsiX/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Pci-6220 National Instruments M-Series Mutlfunction Daq Card 16-Bit 250 Ks/S",P,AAQ609," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : National Instruments</li><li>Model : PCI-6220</li><li>Type : PLC</li><li>MPN : Does Not Apply</li></ul>",1158.492,798.96,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/fusAAOSwbqpT0d~c/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advantech Adam-4550-B Rev. B1 Radio Modem Module 4550 Rs-232/485 Interface",P,AAQ610," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Advantech</li><li>Model : ADAM-4550-B</li><li>MPN : ADAM4550B</li></ul>",1158.55,799,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/OuYAAOSwTM5Y7nbk/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"2014 Honeywell 30756141-003 Dr4500 Input Kit(51309352-002 Analog Input Card)",P,AAQ615," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Honeywell</li><li>MPN : 51309352002</li></ul>",1160,800,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/oEcAAOSwn7BjPNnd/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Huber Suhner Low Pim Test Kit 85032131",P,AAQ616," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : Huber Suhner 85032131</li><li>MPN : 85032131</li><li>Brand : Huber-Suhner</li></ul>",1160,800,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/qToAAOSws4phhEUw/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Yokogawa 3882723 External Alarm Unit",P,AAQ620," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : YOKOGAWA</li><li>Model : 3882723</li><li>MPN : 3882723</li><li>Product Brand : YOKOGAWA</li><li>Product Condition : New with Factory Packaging</li><li>Model Number : 3882723</li></ul>",1180.358,814.04,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/xXcAAOSw94Vg-Lli/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Lecroy Pp026 500 Mhz Passive Probes ** (Set Of 4) **",P,AAQ621," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : LeCroy</li><li>Type : Passive</li><li>Number of Channels : 4</li><li>Model : LeCroy PP026</li><li>MPN : PP026</li><li>Maximum Bandwidth : 500 MHz</li></ul>",1196.25,825,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/G4wAAOSwJMpjMwe1/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"60Mhz Digital Oscilloscope 4 Ch Channel Touch Screen 1Gs/S 8 Bits Lan Usb Port",P,AAQ622," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Oscilloscope Type : Digital Oscilloscope</li><li>Maximum Bandwidth : 60 MHz</li><li>Number of Channels : 4</li><li>Features : With USB</li><li>Digital Oscilloscope Resolution : 8-bit</li></ul>",1201.4555,828.59,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/usEAAOSwtsZi2X~F/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
