"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Carlisle 24-Xt-1936 Silver Plated Copper 24 Awg Wire Cable 300V White (3000 Ft)",P,WH1482," "," "," ",Right,"<ul><li> Condition : New  </li><li>Wire Gauge : 24 AWG</li><li>Sheath Color : White</li><li>MPN : 1229129</li><li>Item Length : 3000 ft</li><li>Conductor Material : Silver-Plated Copper</li><li>Brand : Carlisle Interconnect Technologies</li><li>Application : Appliance</li><li>Wire Style : Stranded 19/36</li><li>Insulation Material : Polytetrafluoroethylene (PTFE)</li><li>Voltage : 300 V</li><li>Model : 24-XT-1936</li></ul>",824.98,499.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/gRkAAOSwATdiLzdx/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/284702103347_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/284702103347_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Eaton Cutler-Hammer 9/18A 250/125Vac Toggle Switch",P,WH1611," ",Eaton," ",Right,"<ul><li> Condition : New  </li><li>Type : Toggle Switch</li><li>Model : 852K2</li><li>Brand : Eaton Cutler-Hammer</li><li>MPN : 852K2</li></ul>",824.98,499.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/jTkAAOSwJPtg6KTr/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/154524904488_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Stelvio Kontek 4750334103400-1 Pin Strip Box Of 1000",P,WH2414," "," "," ",Right,"<ul><li> Condition : New  </li><li>Type : Pin Strip</li><li>Model : 4750334103400-1</li><li>Brand : Stelvio Kontek</li><li>MPN : 4750334103400-1</li></ul>",824.98,499.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/SAAAAOSw0Cpg6KTp/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/154524904497_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/154524904497_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"170M6499 Bussman/Eaton Fuse 1100A 1250V 3Bkn/90 Ar",P,WH1007," "," "," ",Right,"<ul><li> Condition : New  </li><li>Country/Region of Manufacture : Denmark</li><li>Brand : BUSSMANN-EATON</li></ul>",825.00,500,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/7j8AAOSwmthgtlCp/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/144060463624_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Eaton Qbgfep1020W2 1 P 20 Amp Ground Fault Equip. Protection W. Aux Switch -",P,WH1642," ",Eaton," ",Right,"<ul><li> Condition : New  </li><li>MPN : QBGFEP1020W2</li><li>Brand : Eaton</li></ul>",825.00,500,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/c~QAAOSw8L9Z4Uga/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/263261927133_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/263261927133_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Invensys Eurotherm Ea12-80 Actuator 120V 60Hz 2 Position Spring Return",P,WH1887," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Eurotherm</li><li>Model : EA12-80</li><li>MPN : EA12-80</li></ul>",825.00,500,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/sBkAAOSwn5BhO6OE/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/264579149055_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/264579149055_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Schneider Electric Contactor Lc1D80008G7",P,WH2170," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Schneider Electric</li><li>MPN : 3389110265613</li></ul>",825.00,500,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/jVwAAOSwnDRghwVF/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Fcl340301121 3 Pole 30 Amp 480 Volt Feed Thru 120V Uvr",P,WH2318," ","Square D"," ",Right,"<ul><li> Condition : New  </li><li>MPN : FCL340301121</li><li>Brand : Square D</li></ul>",825.00,500,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/CxoAAOSw89Rhis~x/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/275021518680_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Me8Ct2 Micrologic Neutral Current Transformer -",P,WH2366," ","Square D"," ",Right,"<ul><li> Condition : New  </li><li>MPN : ME8CT2</li><li>Brand : Square D</li></ul>",825.00,500,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/eFkAAOSwKQ9Z64a-/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/263274293105_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/263274293105_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Westinghouse 3486C98H20 Current Transformer",P,WH2534," ",Westinghouse," ",Right,"<ul><li> Condition : New  </li><li>Brand : WESTINGHOUSE</li><li>Model : 3486C98H20</li><li>MPN : 3486C98H20</li><li>Product Brand : WESTINGHOUSE</li><li>Product Condition : New with Factory Packaging</li><li>Model Number : 3486C98H20</li></ul>",826.95,501.18,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/zhgAAOSwMZdhoQsq/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/384536282518_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/384536282518_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
