"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"allen bradley 837-a2x221 temperature controller range -60-50°",P,HRDU128," ","allen bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : 837-A2X221</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/~0AAAOSwNSxVNp~L/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"allen bradley yuy702670/1ba bucket size 1 fvnr 7.5/7.5hp 480v 3 ph 60hz",P,HRDU139," ","allen bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : YUY702670/1BA</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/LCsAAOSwxYxUrY9T/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"allen bradley yuy702670/1bc size 1 fvnr bucket 5hp/7.5hp 480v 3ph 60hz",P,HRDU140," ","allen bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : YUY702670/1BC</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/-C0AAOSwg3FUrB1g/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"eurotherm 808/t1/n0/n0/qls 1ajgf200 temperature control",P,HRDU331," ","eurotherm "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 808/T1/N0/N0/QLS</li><li>Brand : EUROTHERM</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/BMcAAOSw7MZfqt0J/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"ge/general electric 5k215an9 ac motor 15hp 3520rpm 330/460v 50/60hz 3ph",P,HRDU404," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : GE/GENERAL ELECTRIC</li><li>MPN : 5K215AN9</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/IeUAAOSwMmBViEzq/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"halmar robicon 1pci-48120-cl/0c-d-8 heat resisting control panel 480v 120a",P,HRDU443," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : HALMAR ROBICON</li><li>MPN : 1PCI-48120-CL/0C-D-8</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/c5wAAOSwv0tVEHOZ/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"halmar robicon 1pci-4860-cl/0c-d-8 heat resisting control panel 480v 60a",P,HRDU444," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : HALMAR ROBICON</li><li>MPN : 1PCI-4860-CL/0C-D-8</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/~YEAAOSwrklVFDDJ/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"rosemount analytical 2700-01-08 interface panel 95-240vac 50/60hz 8w",P,HRDU760," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ROSEMOUNT ANALYTICAL</li><li>MPN : 2700-01-08</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/60QAAOSw0e9UwR-G/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"sew-eurodrive dft71c4/k37dt71c4 .33hp 208/360v motor w/gearbox 39 rpm 44:1 ratio",P,HRDU785," ",sew-eurodrive," ",Right,"<ul><li> Condition : Used  </li><li>Brand : SEW-EURODRIVE</li><li>MPN : DFT71C4/K37DT71C4</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/i9sAAOSw1x1UPqd5/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"us electric motors c519a motor 5hp type d1 w/crane 4221 15709201 pump",P,HRDU974," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : US ELECTRIC MOTORS</li><li>MPN : C519A</li></ul>",576.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment/parts ",https://i.ebayimg.com/images/g/kA8AAOSw1vlUuUOX/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
