"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Honeywell Dr4311-20E0-G0100-0000-0000-00-000-E0 ",P,AAQU1164," ",Honeywell," ",Right,"<ul><li> Condition : Used  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : knox08009245-DR4311-20E0-G0100-0000</li></ul>",1030.95,711,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Devar 8100 4Ttav Smart Chart 4Ttav 8Ch Digital Data Recorder",P,AAQU818," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : DEVAR</li><li>Model : 8100 4TTAV</li><li>MPN : 8100 4TTAV</li><li>Product Brand : DEVAR</li><li>Product Condition : Used</li><li>Model Number : 8100 4TTAV</li><li>Model Line : SMART CHART</li></ul>",1031.07,711.08,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/RukAAOSwnCdg64pa/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"National Instruments Cfp-Tc-120 Compact Fieldpoint Thermocouple Input Module",P,AAQU1811," ","National Instruments "," ",Right,"<ul><li> Condition : Used  </li><li>Number of Channels : 8</li><li>DAQ Module Type : Thermocouple Input</li><li>Model : cFP-TC-120</li><li>MPN : 184522B-02</li><li>Brand : National Instruments</li></ul>",1032.04,711.75,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/EMMAAOSwRS9eGjLq/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Global Water Wl15-250 Water Level Logger Usb/Rs232C Comm Cables Manual Included",P,AAQU1073," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : WL15-250</li><li>MPN : WL15-250</li><li>Brand : Global Water</li></ul>",1033.13,712.5,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/RRUAAOSwisVZqGJ0/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hp Agilent / 54622D / (W/N2757A Gpib Interface / Mixed Signal Oscilloscope",P,AAQU1313," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>~Line : 100-240 V</li><li>Max Current : 1.2A</li><li>Custom Bundle : No</li><li>Maximum Real-Time Sampling Rate : 200 MSa/s</li><li>MPN : 54622D</li><li>Maximum Bandwidth : 100 MHz</li><li>Modified Item : No</li><li>Oscilloscope Type : Mixed Signal Oscilloscope (MSO)</li><li>Brand : Agilent</li><li>Number of Channels : 18</li><li>Model : N2757A</li><li>MODULE-GPIB INTERFACE : N2757A</li><li>Features : Handheld/ Portable</li><li>Country/Region of Manufacture : Malaysia</li></ul>",1033.13,712.5,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/4X8AAOSwKZlifbWv/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fanuc Ic697Ch5790G",P,AAQU930," ",Fanuc," ",Right,"<ul><li> Condition : Used  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : knox08006596-IC697CH5790G</li></ul>",1035.30,714,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Tektronix Wm490E 60-90 Ghz Rf Microwave Waveguide Mixer With",P,AAQU2740," ",Tektronix," ",Right,"<ul><li> Condition : Used  </li><li>MPN : WM490E</li><li>Brand : Tektronix</li></ul>",1042.84,719.2,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/1h0AAOSwOidiYzQk/s-l1200.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hp 54610B - 20 Msa/S 500 Mhz 2 Channel Oscilloscope /W 54650A Module, Rack Mount",P,AAQU1267," ",Hp," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 54610B</li><li>Brand : HP</li></ul>",1043.99,719.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/XZ0AAOSwkzJe~1Kk/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"National Instruments Ni Pxie-8384 Pxie, X8, Mxi-Express Daisy-Chain Interface",P,AAQU1970," ","National Instruments "," ",Right,"<ul><li> Condition : Used  </li><li>Model : PXIe-8384, PXIe8384, PXIe 8384</li><li>MPN : PXIe-8384, PXIe8384, PXIe 8384</li><li>Brand : National Instruments</li></ul>",1043.99,719.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/N-sAAOSwgO9dMjJm/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Reliance Electric Memory Module 57413-3F **",P,AAQU2176," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : 57413-3F</li></ul>",1044.00,720,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
