"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"General Electric 9158K2873 Core Coil Transformer 1 Phase Type Ip",P,ATX2418," ","General Electric "," ",Right,"<ul><li> Condition : New  </li><li>Brand : General Electric</li><li>MPN : 9158K2873</li><li>Model : 9158K2873</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/ndMAAOSwPPheWJic/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/362875922371_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/362875922371_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"General Electric Ge Transformer Model # 9T58B51 Kva.750",P,ATX2431," ","General Electric "," ",Right,"<ul><li> Condition : New  </li><li>Brand : General Electric</li><li>MPN : 9T58B51</li><li>Series : 9T58B51</li><li>Type : Power Transformer</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/7XoAAOSwLV9hJCQ1/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/165033569578_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hammond Mh100Cj Industrial Control Transformer 100 Va�Pack Of 2",P,ATX2467," ",Hammond," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : Hammond</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/vIgAAOSwUOReUBHb/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/274281569454_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/274281569454_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hammond Single Phase Transformer Mh500Cj 500Va",P,ATX2488," ",Hammond," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : Hammond</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/JwcAAOSwCXVeUC5F/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/283791229795_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Instrument Transformers Inc. Cat. 600-401 Current Transformer - 400:5",P,ATX2544," ","Instrument Transformers"," ",Right,"<ul><li> Condition : New  </li><li>Turns Ratio : 400:5</li><li>Type : Current Transformer</li><li>MPN : CAT. 600-401</li><li>Brand : Instrument Transformers Inc.</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/E-QAAOSw3gFglXoz/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/184821702663_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/184821702663_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Kappa Srl 1 Phase Control Transformers 1500Va 75Am Free Fast Ship",P,ATX2569," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Kappa</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/cBQAAOSwJ4ZftEAZ/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/303772412932_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/303772412932_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Kele Multi-Tap Control Transformer W/ Breaker 694-M3A Output: 24Vac 180Va [17-F]",P,ATX2570," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Kele</li><li>Model : 694</li><li>MPN : 694-M3A</li><li>Nominal Power Rating : 180 VA</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/e~0AAOSw7t5aqUSH/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Magnetek/Triad F-41X Filament Transformer 120V/25.2Vct 2 Amp Case Of 15 Pcs",P,ATX2611," ",Magnetek," ",Right,"<ul><li> Condition : New  </li><li>Current Rating : 2 A</li><li>Country/Region of Manufacture : United States</li><li>MPN : F-41X</li><li>Brand : Magnetek/Triad</li><li>Voltage Rating : 25.2 vct</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/vMEAAOSw8D1arGKi/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/293620057828_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/293620057828_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"May & Christe Gmbh Transformer - Z 10 100E",P,ATX2625," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : May & Christe</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/58QAAOSwmDFh8KZL/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/393899717488_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/393899717488_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Noratel Aa-51642-B Ring Core Transformer, Primary: 230V 50Hz, Sec. 26V 3.15A",P,ATX2667," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Noratel</li><li>MPN : AA51642B</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/eMsAAOSwTntfOtJ0/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/313186761214_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/313186761214_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Pdi 8-77783-01-T20-17-Ss-0110 Control Transformer Free Fast Ship",P,ATX2696," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : PDI</li><li>MPN : 8-77783-01-T20-17-SS-0110</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/e1cAAOSw~8xfSuYq/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/303669136419_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/303669136419_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Pro Parts 40Va 24Vac Transformers Lot Of 6",P,ATX2723," "," "," ",Right,"<ul><li> Condition : New  </li><li>Power Rating : 40 VA</li><li>Brand : PRO PARTS</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/pfYAAOSwQwNhItIN/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/224582402880_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Robertson Transformer. Ss2525K. For A G25T5L. Lp. 220V. 50Hz. 450A . Lot Of 10",P,ATX2758," "," "," ",Right,"<ul><li> Condition : New  </li><li>Country/Region of Manufacture : Canada</li><li>MPN : SS2525K</li><li>Brand : Allanson</li><li>Voltage Rating : 220 V</li><li>Model : SS2525K</li><li>Nominal Current Rating : 35 mA</li><li>Current Rating : 450 A</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/9IYAAOSwkVRe~cS7/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/303612249885_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/303612249885_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rwnc-3Y-480-Bn Power And Energy Meter",P,ATX2761," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : CCS</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/kwEAAOSwZlhe3lYu/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Scientific Columbus Watt Transducer Xl5C5112A2",P,ATX2779," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 509-aod</li><li>Brand : allen bradley</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/ZSkAAOxyhlJRcva4/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/120312138812_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/120312138812_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens A1-Trc-Qoc-287 Industrial Control Transformer",P,ATX2823," ","Siemens "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Siemens</li><li>MPN : A1-TRC-QOC-287</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/S18AAOSwyKhbYOAZ/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/372387281434_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/372387281434_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Signal Transformer Mpi-200-230 Xfrmr Laminated 200Va Chas Mount",P,ATX2840," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Signal</li><li>Power Rating : 200 VA</li><li>Nominal Power Rating : 200 VA</li><li>MPN : MPI-200-230</li><li>Country/Region of Manufacture : Dominican Republic</li><li>Turns Ratio : 2:00</li><li>California Prop 65 Warning : ? Warning: Cancer and Reproductive Harm - www.P65Warnings.ca.gov
This product may contain chemical(s) that are known to the state California to cause cancer, birth defects or other reproductive harm.</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/vvUAAOSwA5FhcMsT/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/393640636259_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Sola Hd Hs1F1Bs Transformer",P,ATX2872," ",Sola," ",Right,"<ul><li> Condition : New  </li><li>Brand : H&S</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/aS8AAOSwVGdg7NZ-/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/194238671424_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/194238671424_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D 9070Tf75D1 Industrial Control Transformer -",P,ATX2978," ","Square D"," ",Right,"<ul><li> Condition : New  </li><li>Brand : SQUARE D</li><li>MPN : 9070TF75D1</li></ul>",229.00,100,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Industrial Transformers",https://i.ebayimg.com/images/g/4MIAAOSwOdldCQth/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/275322725624_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/275322725624_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
