"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Medical Beauty Prp Centrifuge Lab Blood Low Speed Centrifuge 8*15Ml 110V",P,LAB500," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/XTMAAOSwFw5hd3N5/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Beauty Prp Centrifuge Td4C Lab Blood Brushless Motor Centrifuge 8*15 Ml",P,LAB501," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Feature 1 : Easy installation,Convenient Use,Easy Operation</li><li>Rotor Type : Fixed-Angle Rotor</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Maximum speed : 4000 r/min</li><li>Size : 38*32*30 cm</li><li>Speed Type : Low Speed Centrifuge</li><li>MPN : Does Not Apply</li><li>Weight : 5 KG</li><li>Brand : Unbranded</li><li>Structure type : Desktop</li><li>Layout : Fixed Angle</li><li>Capacity : 8*15 ml</li><li>Maximum relative centrifugal force : 1880 xg</li><li>Voltage : 110 V / 60HZ</li><li>Model : TD4C</li><li>Features : Digital Display</li><li>Country/Region of Manufacture : China</li></ul>",0,274,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/1bMAAOSwoP1gK0qw/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Beauty Prp Lab Blood Centrifuge Machine 8*15Ml Low Speed Centrifuge Td4C",P,LAB502," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Feature 1 : Easy installation,Convenient Use,Easy Operation</li><li>Rotor Type : Fixed-Angle Rotor</li><li>Note: : Do not send to Brazil</li><li>Bundle Description: : No</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Item location: : CA /NJ /Austell</li><li>Transportation does not include: : canarias</li><li>Country/Region of Manufacture : China</li><li>Model : TD4C</li><li>MPN : Does Not Apply</li><li>Speed Type : Low Speed Centrifuge</li><li>Brand : Unbranded</li><li>Features : Digital Display</li><li>Structure type : Desktop</li><li>Layout : Horizontal</li><li>Size : 38*32*30 cm</li><li>Weight : 5 KG</li><li>Voltage : 110 V / 60HZ</li><li>Maximum speed : 4000 r/min</li><li>Maximum relative centrifugal force : 1880 xg</li><li>Capacity : 8*15 ml</li></ul>",0,274,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/qxcAAOSw1O9gK0q9/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Beauty Prp Lab Blood Centrifuge Machine Low Speed Centrifuge 8*15Ml",P,LAB503," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li><li>Features : N/A</li></ul>",0,250.01,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/8OYAAOSw55ZgG2Br/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Beauty Prp Lab Blood Centrifuge Machine Low Speed Centrifuge 8*15Ml",P,LAB504," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250.02,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/WgoAAOSwtSRc~yLX/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Beauty Td4C Prp Lab Blood Centrifuge Machine Low Speed Centrifuge",P,LAB505," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li><li>Custom Bundle : Yes</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/NssAAOSwMpxc~yLJ/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Centrifuge Laboratory Prp Blood Serum Fat Separator Low Speed 4000R/Min",P,LAB506," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Centrifugal force : 2150XG</li><li>Speed Type : 0-4000R/min</li></ul>",0,250.02,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/8OYAAOSw55ZgG2Br/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Centrifuge Prp Blood Low Speed Centrifuge Machine Serum Fat Separator",P,LAB507," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250.07,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/0AkAAOSw5-lgHDar/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Centrifuge Prp Blood Low Speed Centrifuge Machine Serum Fat Separator Us",P,LAB508," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Feature 1 : Easy installation,Convenient Use,Easy Operation</li><li>Item location : CA /NJ /Austell</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/JcwAAOSwoa1gC4au/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Lab Beauty Low Speed Centrifuge Lab Blood Centrifuge 4000R/Min Device",P,LAB509," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>MPN : Does Not Apply</li><li>Model : 170081</li><li>Country/Region of Manufacture : China</li></ul>",0,259,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/biwAAOSwvP1ilXuc/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Lab Centrifuge Machine Desktop Low-Speed 0-4000Rpm Electric Centrifuge",P,LAB510," "," "," ",Right,"<ul><li> Condition : New  </li><li>* Feature * : Creative Design，Durable Material，Beautiful Appearance</li><li>Feature 1 : Easy installation,Convenient Use,Easy Operation</li><li>Rotor Type : Fixed-Angle Rotor</li><li>Note: : Do not send to Brazil</li><li>Bundle Description: : No</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Item location: : CA /NJ /Austell</li><li>Transportation does not include: : canarias</li><li>Country/Region of Manufacture : China</li><li>Model : TD4C</li><li>MPN : Does Not Apply</li><li>Speed Type : Low Speed Centrifuge</li><li>Brand : Unbranded</li><li>Features : Digital Display</li><li>Structure type : Desktop</li><li>Layout : Horizontal</li><li>Size : 38*32*30 cm</li><li>Weight : 5 KG</li><li>Voltage : 110 V / 60HZ</li><li>Maximum speed : 4000 r/min</li><li>Maximum relative centrifugal force : 1880 xg</li><li>Capacity : 8*15 ml</li><li>Intended Use/Discipline : Medical Laboratory</li></ul>",0,274,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/8qMAAOSwvuhgK0q5/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Lab Prp Centrifuge Electric Low Speed Blood Centrifuge Machine 8*15Ml",P,LAB511," "," "," ",Right,"<ul><li> Condition : New  </li><li>Shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li><li>Shipment : Fast Shipping from US Warehouse</li><li>Item location : CA /NJ /Austell</li></ul>",0,250.09,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/OcQAAOSw~5VgC4at/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Low Speed Centrifuge Lab Blood Centrifuge For Hospital And Blood Bank",P,LAB512," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>MPN : Does Not Apply</li><li>Model : 170081</li><li>Country/Region of Manufacture : China</li></ul>",0,259,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/GKMAAOSw5YlilXua/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Prp Blood Centrifuge Low Speed Centrifuge Serum Fat Separator 8*15Ml",P,LAB513," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>Shipping notice : Can not ship to Puerto Rico/Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li><li>Features : Digital Display</li><li>Speed Type : Low Speed Centrifuge</li><li>Intended Use/Discipline : Medical Laboratory</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/OcQAAOSw~5VgC4at/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Prp Blood Centrifuge Machine Serum Fat Separator Research Centrifuge",P,LAB514," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/tx0AAOSw2bpgG2Bl/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Prp Centrifuge Beauty Lab Electric Centrifuge Low Speed Blood 8*15Ml",P,LAB515," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>shipping notice : Can't not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/0AkAAOSw5-lgHDar/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Prp Centrifuge Beauty Lab Electric Centrifuge Low Speed Lab Blood 8*15Ml",P,LAB516," "," "," ",Right,"<ul><li> Condition : New  </li><li>Shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li><li>Shipment : Fast Shipping from US Warehouse</li><li>Item location : CA /NJ /Austell</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/gicAAOSwmd1c~yLy/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Prp Centrifuge Lab Electric Centrifuge Low Speed Lab Blood 8*15Ml",P,LAB517," "," "," ",Right,"<ul><li> Condition : New  </li><li>Item location : CA /NJ /Austell</li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/WgoAAOSwtSRc~yLX/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Medical Prp Desktop Electric Centrifuge Machine Low Speed Laboratory 0-4000R/Min",P,LAB518," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power supply : 110V</li><li>Noise : less than 60dba</li><li>Rotor capacity : 8*15Ml</li><li>Speed : 0-4000R/min</li><li>Centrifugal force : 2150XG</li></ul>",0,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/tx0AAOSw2bpgG2Bl/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Microhematocrit Centrifuge Electric High Speed Blood Centrifuge 1500-12000Rpm",P,LAB519," "," "," ",Right,"<ul><li> Condition : New  </li><li>Shipping notice : Can not ship to Puerto Rico/Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power : 110V / 60HZ</li><li>Complete power : 100W</li><li>Centrifugal speed : 1500 ~ 12000 rpm (adjustable)</li><li>Maximum relative centrifugal force : 15300g</li><li>Centrifugal capacity : 24 C 1.5mmX75 mm (glass capillary)</li><li>Timing range : 0 ^ 60min</li><li>Turntable form : Horizontal</li><li>Startup time : 1min</li><li>Brake time : 2min</li><li>Type : Centrifuge</li><li>Speed Type : High Speed Centrifuge</li><li>Features : Digital Display</li><li>Intended Use/Discipline : Microbiological Laboratory</li></ul>",0,285,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/J-0AAOSw-ktf6tju/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Microhematocrit Centrifuge Lab Instrument Horizontal Turntable 1500 - 12000 Rpm",P,LAB520," "," "," ",Right,"<ul><li> Condition : New  </li><li>shipping notice : Can not ship to Puerto Rico,Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power : 110V / 60HZ</li><li>Complete power : 100W</li><li>Centrifugal speed : 1500 ~ 12000 rpm (adjustable)</li><li>Maximum relative centrifugal force : 15300g</li><li>Centrifugal capacity : 24 C 1.5mmX75 mm (glass capillary)</li><li>Timing range : 0 ^ 60min</li><li>Turntable form : Horizontal</li><li>Startup time : 1min</li><li>Brake time : 2min</li><li>Type : Centrifuge</li><li>Speed Type : High Speed Centrifuge</li></ul>",0,285,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/J-0AAOSw-ktf6tju/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Microhematocrit Electric High Speed Blood Lab Centrifuge Machine 1500-12000Rpm",P,LAB521," "," "," ",Right,"<ul><li> Condition : New  </li><li>Shipping notice : Can not ship to Puerto Rico/Alaska/Hawaii</li><li>Brand : Unbranded</li><li>MPN : Does Not Apply</li><li>Power : 110V / 60HZ</li><li>Complete power : 100W</li><li>Centrifugal speed : 1500 ~ 12000 rpm (adjustable)</li><li>Maximum relative centrifugal force : 15300g</li><li>Centrifugal capacity : 24 C 1.5mmX75 mm (glass capillary)</li><li>Timing range : 0 ^ 60min</li><li>Turntable form : Horizontal</li><li>Startup time : 1min</li><li>Brake time : 2min</li><li>Type : Centrifuge</li><li>Speed Type : High Speed Centrifuge</li><li>Features : Digital Display</li><li>Intended Use/Discipline : Microbiological Laboratory</li></ul>",0,285,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Centrifuges",https://i.ebayimg.com/images/g/tzkAAOSwOmBf6tjs/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
