"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Pennsylvania Scale Company 59352-2, Plated Steel Base Anchors For Bases, 4 Piece",P,MEL6274," ","Pennsylvania Scale Company "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Pennsylvania Scale Company</li><li>MPN : 59352-2</li></ul>",177.10,101.2,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/07MAAOSws3xh5Xcq/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 102503 Platinum Indicator Keypad",P,MEL6479," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 102503</li><li>Brand : Rice Lake</li></ul>",179.66,102.66,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/87oAAOSwR7xgfZGD/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 109015 170 X 142Mm (6.6 X 5.5In), Rectangle Pan Support",P,MEL6503," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 109015</li><li>Brand : Rice Lake</li></ul>",182.95,104.54,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/7qYAAOSwlXFgZFak/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 109018 Pan Rectangle Support For Tp-3200, Tp-8200 And Tp-12Kg",P,MEL6504," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 109018</li><li>Brand : Rice Lake</li></ul>",182.95,104.54,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/nCQAAOSwL~RgZFal/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 164242 150 Indicator Back Panel Kit",P,MEL6550," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 164242</li><li>Brand : Rice Lake</li></ul>",183.26,104.72,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/e9UAAOSwRqZgfZGD/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 164311 150 Physician Waist Display Cover",P,MEL6559," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 164311</li><li>Brand : Rice Lake</li></ul>",183.26,104.72,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/n7UAAOSwd1tgeDEs/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 107445 Physician Scale Carrying Case",P,MEL6496," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 107445</li><li>Brand : Rice Lake</li></ul>",185.96,106.26,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/6lAAAOSwaC5gbwVa/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 102521 Physician Scale Replacement Height Rod",P,MEL6482," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 102521</li><li>Brand : Rice Lake</li></ul>",186.13,106.36,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/KeEAAOSwO-dgeDEr/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 164243 150 Indicator Table Kit",P,MEL6551," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 164243</li><li>Brand : Rice Lake</li></ul>",186.38,106.5,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/Zp8AAOSwHTlggBUz/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rice Lake 164299 150 Physician 4 Adjustable Leg Feet Rubber Base",P,MEL6552," ","Rice Lake"," ",Right,"<ul><li> Condition : New  </li><li>MPN : 164299</li><li>Brand : Rice Lake</li></ul>",191.70,109.54,0,0,0,Y,"Six Month Replacement Warranty - Warranty Policy ",7,0,0,0,Y,Y,"Ships in 3-4 Business Days",none,0,0,"Laboratory Equipment/ Lab1",https://i.ebayimg.com/images/g/aBcAAOSw7klgfZGD/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
