"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Teledyne And Lecroy Ws3054 Oscilloscope 4 Channels, 500 Mhz + Td Options Install",P,AAQU2747," ",Teledyne," ",Right,"<ul><li> Condition : Used  </li><li>Brand : LeCroy</li><li>Oscilloscope Type : Mixed Signal Oscilloscope (MSO)</li><li>Number of Channels : 4</li><li>Model : Lecroy WS3054</li><li>MPN : WS3054</li><li>Maximum Real-Time Sampling Rate : 4 GSa/s</li><li>Maximum Bandwidth : 500 MHz</li></ul>",6125.00,4900,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/XR0AAOSwy8pi4UTD/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Yokogawa Dlm2034 Mixed Signal Digital Oscilloscope 350Mhz 2.5Gs/S 4Ch W/ Probes",P,AAQU2936," ",Yokohama," ",Right,"<ul><li> Condition : Used  </li><li>Number of Channels : 4</li><li>Model : DLM2034</li><li>Oscilloscope Type : Mixed Signal Oscilloscope (MSO)</li><li>MPN : 710120</li><li>Brand : YOKOGAWA</li><li>Maximum Bandwidth : 350 MHz</li></ul>",6187.50,4950,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/00wAAOSwL2hhxtO-/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"National Instruments Ni Pcie-5155 High-Speed Averaging Oscilloscope/Digitizer",P,AAQU1935," ","National Instruments "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : National Instruments</li><li>Custom Bundle : No</li><li>Model : PCIe-5155</li><li>MPN : 151896C-01L</li><li>Country/Region of Manufacture : Hungary</li><li>Modified Item : No</li></ul>",6218.75,4975,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/bZcAAOSwT6BjPRSe/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Tektronix H500 Handheld Spectrum Analyzer 10 Khz - 6.2 Ghz",P,AAQU2524," ",Tektronix," ",Right,"<ul><li> Condition : Used  </li><li>Model : H500</li><li>Product : Spectrum Analyzer</li><li>Displayed Average Noise Level : -95dBc/Hz @ 10kHz offsets</li><li>MPN : H500</li><li>Unit Type : Complete Systems & Mainframes</li><li>Brand : Tektronix</li><li>Frequency Range : 10 kHz - 6.2 GHz</li></ul>",6237.50,4990,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/St8AAOSwlJlfdOCz/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Keysight Agilent Dso6014A 4-Channel, 100 Mhz Oscilloscope",P,AAQU1577," ",Agilent," ",Right,<ul></ul>,6243.75,4995,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/TDQAAOSwWkFjPE10/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Pac Petrospec Gas Fuel Analyzer Gs1000",P,AAQU2109," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Country/Region of Manufacture : United States</li><li>MPN : DT100C</li><li>Brand : Petrospec</li></ul>",6243.75,4995,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/mEoAAOSwYR1h6W8w/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rohde & Schwarz Fseb20 Spectrum Analyzer 9Khz - 7Ghz W/ Opts B10, B4",P,AAQU2212," ","Rohde Schwarz"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : FSEB20</li><li>Brand : Rohde & Schwarz</li><li>Analyzer Type : Spectrum Analyzers</li></ul>",6243.75,4995,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/2-sAAOSwleNbV4fb/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rohde & Schwarz Ts-Pr18 Pre-Amplifier 1Ghz-18Ghz",P,AAQU2236," ","Rohde Schwarz"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : TS-PR18</li><li>Brand : Rohde & Schwarz</li></ul>",6243.75,4995,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/52cAAOSwnelfclg~/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hp 8546A Emi Receiver 9Khz-6.5Ghz Complete ",P,AAQU1287," ",Hp," ",Right,"<ul><li> Condition : Used  </li><li>Model : 8546A</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Product : EMI Receiver</li><li>MPN : 8546A</li><li>Brand : Agilent</li><li>Frequency Range : 9 kHz to 6.5 GHz</li></ul>",6248.75,4999,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/EucAAOSwAqRiXkJ4/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hameg Hm303-6 Analog Oscilloscope 2-Channel 35Mhz ",P,AAQU1097," ",Hameg," ",Right,"<ul><li> Condition : Used  </li><li>Oscilloscope Type : Analog Oscilloscope</li><li>Brand : HAMEG</li><li>Number of Channels : 2</li><li>Model : HAMEG HM303-6</li><li>MPN : HM303-6</li><li>Country/Region of Manufacture : Germany</li><li>Maximum Bandwidth : 35 MHz</li></ul>",6249.94,4999.95,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment / Analyzers",https://i.ebayimg.com/images/g/pygAAOSwrZlimF-7/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
