"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"14101A6513 Cutler-Hammer Comet Series Sensor",P,QWZJ1085," ","Cutler Hammer"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Cutler-Hammer</li><li>MPN : 14101A6513</li></ul>",153.00,60,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/HwQAAOSwmQNeowq5/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1771-Ia-B Allen Bradley 120Vac 8Pt Input Plc-5",P,QWZJ1477," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen Bradley</li><li>MPN : 1771-IA-B</li><li>Voltage Rating : 120</li><li>Unit Quantity : 1</li><li>Model : PLC-5</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Unit Type : Unit</li><li>Analog/Digital : NA</li><li>Controller Platform : PLC-5</li><li>Type : PLC Input Module</li></ul>",153.54,60.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/7pQAAOSwVRxb5Kuj/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1492Aifm83-A Allen-Bradley 8Pt Feed-Thru W/ 3 Terminals",P,QWZJ1091," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen-Bradley</li><li>MPN : 1492-AIFM8-3-A</li><li>Number of Poles : 12V_01</li><li>Cable Color : NA</li><li>Custom Bundle : No</li><li>Controller Platform : 1492 Series</li><li>Cable Length : NA</li><li>Type : Communication Module</li><li>Model : 1492 Series</li><li>Modified Item : No</li></ul>",158.61,62.2,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/K-0AAOSwj61fMZif/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/154041041366_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"13104As3005 Cutler-Hammer Comet Series Proximity Sensor",P,QWZJ955," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Cutler-Hammer</li><li>MPN : 13104AS3005</li></ul>",165.75,65,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/PFoAAOSwjFpeowwW/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"13104As3005-A2 Cutler Hammer 2In Proximity Sensor",P,QWZJ956," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Compatible Mounting Type : Through Hole</li><li>Brand : Cutler-Hammer</li><li>Custom Bundle : No</li><li>Current Type : DC</li><li>Body Style : Barrel</li><li>Type : Proximity Sensor</li><li>MPN : 13104AS3005</li><li>Termination Type : Cable with Connector</li></ul>",166.26,65.2,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/mA8AAOSwtbpeZRAF/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/202926529150_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"14101A6513-A2 Cutler Hammer 15Ft Pol Reflex Sensor",P,QWZJ1086," ","Cutler Hammer"," ",Right,"<ul><li> Condition : Used  </li><li>Compatible Mounting Type : Through Hole</li><li>Brand : Cutler-Hammer</li><li>Custom Bundle : No</li><li>Modified Item : No</li><li>MPN : 14101A6513</li></ul>",166.26,65.2,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/vFUAAOSwm8teZR9K/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/202926617533_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1771Ogc-A Allen Bradley Ttl Output Plc-5",P,QWZJ1553," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen Bradley</li><li>MPN : 1771-OGC-A</li><li>Unit Quantity : 1</li><li>Model : PLC-5</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Unit Type : Unit</li><li>Analog/Digital : TTL</li><li>Controller Platform : PLC-5</li><li>Type : PLC Output Module</li></ul>",166.29,65.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/0tEAAOSw07lbm-EJ/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1747M1-A Allen Bradley 1K Ram Eprom Memory Slc500",P,QWZJ1311," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 1747-M1-A</li><li>Brand : Allen Bradley</li><li>Unit Quantity : 1</li><li>Model : SLC500</li><li>Unit Type : Unit</li><li>Controller Platform : SLC500</li><li>Type : EPROM Memory</li></ul>",166.31,65.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/eO8AAOSwJRZacId1/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1336Sen-A Allen Bradley English Language Module",P,QWZJ1027," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 1336S-EN-A</li><li>Brand : Allen Bradley</li></ul>",176.49,69.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/tMAAAOSw20Zdd7uj/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1734Ia2-B Allen-Bradley 120Vac 2Pt Digital Input Point I/O",P,QWZJ1188," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen-Bradley</li><li>MPN : 1734-IA2-B</li><li>Country/Region of Manufacture : 120</li><li>Communication Standard : NA</li><li>Model : Point I/O</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Controller Platform : Point I/O</li><li>Analog/Digital : Digital</li><li>Type : PLC Input Module</li></ul>",176.51,69.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/fngAAOSwIUJig-Z0/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/154998488166_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1734Ob4-C Allen Bradley 4Pt Digital Output Point I/O",P,QWZJ1195," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen Bradley</li><li>Unit Quantity : 1</li><li>Model : Point I/O</li><li>Modified Item : No</li><li>MPN : 1734-OB4-C</li><li>Custom Bundle : No</li><li>Unit Type : Unit</li><li>Analog/Digital : Digital</li><li>Controller Platform : Point I/O</li><li>Type : PLC Output Module</li></ul>",176.51,69.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/KcYAAOSw2c9eYAnq/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/153853780754_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1771-Cd Allen Bradley Power Supply Cable For Remote Mount Plc-5",P,QWZJ1467," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 1771-CD</li><li>Modified Item : No</li><li>MPN : 1771-CD</li><li>Custom Bundle : No</li><li>Brand : Allen-Bradley</li><li>Type : Cable</li><li>Controller Platform : PLC-5</li></ul>",179.04,70.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/4ScAAOxyrrpTjhUN/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1734Ia2-C Allen-Bradley 120Vac 2Pt Digital Input Point I/O",P,QWZJ1189," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen-Bradley</li><li>MPN : 1734-IA2-C</li><li>Country/Region of Manufacture : 120</li><li>Communication Standard : NA</li><li>Model : Point I/O</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Controller Platform : Point I/O</li><li>Analog/Digital : Digital</li><li>Type : PLC Input Module</li></ul>",179.06,70.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/NNQAAOSwcMFig-gF/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/203957455902_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1410-F01-A Allen Bradley Bulletin 1410 230/240V 50/60Hz Motor Winding Heater",P,QWZJ1088," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : Bulletin 1410</li><li>Modified Item : No</li><li>MPN : 1410-F01</li><li>Custom Bundle : No</li><li>Brand : Allen Bradley</li><li>Type : Motor Winding Heater</li></ul>",191.79,75.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/4cAAAOSw7YZgyPBb/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/154494533783_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1771-Ia-C Allen Bradley 120Vac 8Pt Input Plc-5",P,QWZJ1478," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen Bradley</li><li>MPN : 1771-IA-C</li><li>Voltage Rating : 120</li><li>Unit Quantity : 1</li><li>Model : PLC-5</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Unit Type : Unit</li><li>Analog/Digital : NA</li><li>Controller Platform : PLC-5</li><li>Type : PLC Input Module</li></ul>",191.79,75.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/ccgAAOSwxn1bkrtl/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1771-Ib-A Allen Bradley 12-24Vdc 8Pt Input Plc-5",P,QWZJ1483," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen Bradley</li><li>MPN : 1771-IB-A</li><li>Voltage Rating : 24</li><li>Unit Quantity : 1</li><li>Model : PLC-5</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>Unit Type : Unit</li><li>Analog/Digital : NA</li><li>Controller Platform : PLC-5</li><li>Type : PLC Input Module</li></ul>",191.79,75.21,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/u3oAAOSwzyBbkrtm/s-l640.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"1746Ib8-A Allen Bradley 8Pt 10-30V Dc-Sink Digital Input Slc500",P,QWZJ1232," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen Bradley</li><li>MPN : 1746-IB8-A</li><li>Voltage Rating : 10-30V</li><li>Unit Quantity : 1</li><li>Model : SLC500</li><li>Unit Type : Unit</li><li>Analog/Digital : Digital</li><li>Controller Platform : SLC500</li><li>Type : PLC Input Module</li></ul>",217.31,85.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/Jb8AAOSwa3BaOXdA/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/202152980741_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
