"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Precision Quincy Xpn12209/Fr2 44""X20""X7"" Power Distribution Panel, See Details",P,BAA649," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Precision Quincy</li><li>MPN : XPN12209/FR2</li><li>Model : XPN12209/FR2</li><li>UPC : Does Not Apply</li></ul>",1667.50,1150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/2iMAAOSwR8pd3eoc/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/400709390767_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/400709390767_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Directed Energy 005200 Digilase Controller Rev C1",P,BAA265," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 005200</li><li>Brand : Directed Energy</li><li>MPN : 005200</li></ul>",1698.23,1171.19,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/eh0AAOSwqvlgnYLB/s-l640.jpg," ",https://galleryplus.ebayimg.com/ws/web/311644754393_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/311644754393_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ab 525 3811098902 Circuit Board",P,BAA103," ",Abb," ",Right,"<ul><li> Condition : Used  </li><li>Brand : xyz</li><li>MPN : Does Not Apply</li><li>UPC : does not apply</li></ul>",1738.55,1199,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/oNEAAOSw46ZgH4uT/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Eaton Dg1-34038Fb-C21C Variable Freq Drive,25 Hp,38A,380-500Vac,E S",P,BAA286," ",Eaton-," ",Right,"<ul><li> Condition : Used  </li><li>Brand : xyz</li><li>MPN : Does Not Apply</li><li>UPC : does not apply</li></ul>",1738.55,1199,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/xrMAAOSw66lhsZMT/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/183785564136_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/183785564136_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fanuc A20B-2002-0960/01A",P,BAA316," ",Fanuc," ",Right,"<ul><li> Condition : Used  </li><li>Brand : xyz</li><li>MPN : Does Not Apply</li><li>UPC : does not apply</li></ul>",1738.55,1199,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/24sAAOSwzuNhsViM/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/183717929110_2_0_1/225x225.jpg,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mitsubishi Sb-Sa1 Board Bd625A174H02 Bd625A174Ho2",P,BAA578," ","Mitsubishi "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : XYZ</li><li>MPN : Does Not Apply</li></ul>",1738.55,1199,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/W2MAAOSwp4ZgFgQp/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/172124795775_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/172124795775_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Aalborg Dfc46 Thermal Mass Flow Controller Argon Ar 0-100 L/Min Rs485 316 Ss",P,BAA102," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : AALBORG</li><li>MPN : DFC46S-VDN5-E5</li></ul>",1740.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/50kAAOSw7VFhEZ2H/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/313632743965_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/313632743965_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Dynapar Rimt06-512 512 Ppr, 2.125 Ts",P,BAA282," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : NORTHSTAR TECHNOLOGIES</li><li>Model : RIMT06512</li><li>MPN : RIMT06512</li></ul>",1740.00,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/gIQAAOSw1PNiAomC/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/265540063296_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/265540063296_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Trio Motion Mc464 64-Axis Motion Coordinator W/ (X2) Flexaxis 8 Expansion Module",P,BAA798," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : MC464</li><li>Brand : Trio Motion</li><li>MPN : MC464</li></ul>",1812.49,1249.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/UcEAAOSweOtgnYLp/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/153080472026_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/153080472026_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Loctite 98378 Posi-Link Actuator 5-25 W/ Handheld Dispensing Head 90-260Vac",P,BAA526," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 5-25</li><li>Brand : Henkel Loc Tite Industrial Volumetric System</li><li>MPN : 98378</li></ul>",1812.50,1250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ Industrial Automation Parts ",https://i.ebayimg.com/images/g/5NEAAOSww5lfhafx/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/332379374649_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/332379374649_3_0_1/225x225.jpg," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
