"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Uvp Chromato-Vue Tm-15 Transilluminator With 3 Different Camera Hoods",P,BUQ500," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : Chromato-Vue</li><li>MPN : TM-15</li><li>Brand : UVP</li></ul>",465.28,251.5,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/QRoAAOSw1V5dUQiq/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Savant Gel Pump Gp100 Model Gp100 115",P,BUQ501," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : SAVANT</li><li>MPN : GP-100</li><li>Pump Type : Vacuum Pump</li><li>Model : GP 100 115</li></ul>",466.61,252.22,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/MW4AAOSwPMpfrz5I/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Benchmark Scientific H2200-H Mytemp Mini Digital Incubator, With Heating Only",P,BUQ502," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : H2200-H</li><li>MPN : H2200-H</li><li>Brand : Benchmark Scientific</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",481.56,260.3,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/hY4AAOSwC~VjE~WJ/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Chemglass Life Sciences Optimag St Digital Magnetic Stirrer W/ Timer 1500 Rpm",P,BUQ503," ",Chemglass," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Chemglass</li><li>Magnetic Stirrer Type : Magnetic Hotplate Stirrer</li><li>MPN : CG-1993-T-10</li></ul>",483.31,261.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/aGMAAOSwLbZi8t~L/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Biosciences Pharmacia Amersham Akta M-925 Mixer Valve W/ 0.6Ml Mixing Chamber",P,BUQ504," ",Ge," ",Right,"<ul><li> Condition : Used  </li><li>Non-Domestic Product : No</li><li>Expiration Date : n/a</li><li>Bundle Description : Lot</li><li>Custom Bundle : Yes</li><li>Color : Grey</li><li>Country of Manufacture : Sweden</li><li>Material : Multi</li><li>MPN : M-925</li><li>Bundle Listing : Yes</li><li>Applicable Regions : n/a</li><li>Modified Item : No</li><li>California Prop 65 Warning : n/a</li><li>Intended Use/Discipline : Biological Laboratory</li><li>Brand : Amersham Biosciences</li><li>Type : Mixer Valve</li><li>Model : M-925</li><li>Country/Region of Manufacture : Sweden</li></ul>",500.89,270.75,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/dssAAOSw3Jhhkx6j/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"5L Buchi B-480 Waterbath For Rotary Evaporator To 100 Degrees Celcius",P,BUQ505," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : B-480</li><li>Product : Water Bath</li><li>Temperature Control : Heated</li><li>MPN : B-480</li><li>Brand : Buchi</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/6MIAAOSwzpxibd~x/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"600 Rpm Masterflex L/S 07557-04 Controller For 7557-02 Pump Drive",P,BUQ506," ",Masterflex," ",Right,"<ul><li> Condition : Used  </li><li>Model : Masterflex L / S 07557-04</li><li>MPN : 07557-04</li><li>Brand : Cole Parmer</li><li>Pump Type : Peristaltic Pump</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/tKwAAOSwZlxjF7u4/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Barnstead Thermolyne Pmc 6 Place Magnetic Stirrer Model 505P",P,BUQ507," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 505P</li><li>Magnetic Stirrer Type : Magnetic Stirrer</li><li>MPN : 505P</li><li>Brand : Barnstead Thermolyne PMC</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/Mh0AAOSwFGZiCygP/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Brookfield Model Lvt Synchro-Lectric Viscometer",P,BUQ508," ","Brookfield "," ",Right,"<ul><li> Condition : Used  </li><li>Model : SYNCHRO-LECTRIC</li><li>Type : Rotational Viscometer</li><li>MPN : LVT</li><li>Brand : BROOKFIELD</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/~h4AAOSwOhdjA-ZG/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Chemglass Life Sciences Optichem Rct S21 Classic Hotplate Magnetic Stirrer",P,BUQ509," ",Chemglass," ",Right,"<ul><li> Condition : Used  </li><li>Magnetic Stirrer Type : Magnetic Hotplate Stirrer</li><li>MPN : RCT Classic S21</li><li>Brand : Chemglass</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/gBcAAOSwo~ti8uJN/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Cole Parmer 7637-01 Roto-Torque Heavy Duty Lab Rotator With Clamps",P,BUQ510," ","Cole Parmer"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 7637-01</li><li>Brand : Cole Parmer</li><li>Shaker Type : Rotational Mixer</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/YDsAAOSwpvhjLMDD/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Cole-Parmer Masterflex L/S Precision Drive 7520-25 W/ 2X Easy-Load Heads 7518-12",P,BUQ511," ","Cole Parmer"," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 7520-25 / 7518-12</li><li>Brand : Masterflex</li><li>Pump Type : Peristaltic Pump</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/B9sAAOSwE6BjJM3z/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge / Amersham / Pharmacia Air-925 Cell For Akta Air-900",P,BUQ512," ",Ge," ",Right,"<ul><li> Condition : Used  </li><li>Model : Air-925</li><li>MPN : Air-925</li><li>Brand : GE / Pharmacia / Amersham</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/JSQAAOSwcaVjERxR/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge / Wave Biotech Pump20R Peristaltic Pump With Pump Head And Power Supply",P,BUQ513," ",Ge," ",Right,"<ul><li> Condition : Used  </li><li>Model : Pump20R</li><li>MPN : Pump20R</li><li>Brand : GE / Wave Biotech</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",518.46,280.25,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/7xoAAOSwErliNO1N/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
