"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Parker L6255392153L Valve",P,FR900," ",Parker," ",Right,"<ul><li> Condition : New  </li><li>MPN : L6255392153L</li><li>Brand : PARKER</li></ul>",1161.44,800.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/~XQAAOSwrLZbYejq/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Statotrol Motor Control 6Vfwb1050",P,FR461," ","General Electric "," ",Right,"<ul><li> Condition : New  </li><li>Brand : GE</li><li>Country/Region of Manufacture : Unknown</li><li>Model : 6VFWB1050</li><li>MPN : 6VFWB1050</li></ul>",1161.46,801.01,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/ksgAAOSwPsBa6fiF/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Baldor 2 Hp Motor Ecp83586T-4",P,FR474," ","Baldor "," ",Right,"<ul><li> Condition : New  </li><li>Model : Baldor ECP83586T-4</li><li>MPN : ECP83586T-4</li><li>Rated Load (HP) : 2</li><li>Brand : Baldor</li></ul>",1167.25,805,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/RsEAAOSwcsljdTpr/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Magpowr Mistrp Tension Controller",P,FR238," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : MAGPOWER</li><li>Controller Platform : .</li><li>Type : TENSION CONTROL</li><li>Model : MISTRP</li><li>MPN : MISTRP</li><li>Country/Region of Manufacture : Unknown</li><li>Bundle Listing : No</li></ul>",1167.71,805.32,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/K9QAAOSw5WlbYel6/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge 7610021 Pro100 Rapper Control Interface Sealed",P,FR695," ","General Electric "," ",Right,"<ul><li> Condition : New  </li><li>Type : Rapper Control</li><li>Model : 7610021 PRO100</li><li>Country/Region of Manufacture : Unknown</li><li>Controller Platform : .</li><li>MPN : 7610021 PRO100</li><li>Brand : GE</li></ul>",1173.20,809.1,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/6e0AAOSwVuFbYeeY/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Joslyn Clark Contact Kit Size 3 5M-053",P,FR358," ","Joslyn Clark "," ",Right,"<ul><li> Condition : New  </li><li>Type : Contact Kit</li><li>MPN : 5M-053</li><li>Brand : Joslyn Clark</li></ul>",1173.20,809.1,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/izMAAOSwcqlh0a~K/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hdr 2010389 Control Board",P,FR586," "," "," ",Right,"<ul><li> Condition : New  </li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>MPN : 2010389</li><li>Brand : HDR</li><li>Non-Domestic Product : No</li></ul>",1174.49,809.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/4MAAAOSwceNZSFgf/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Nexen 910080 4/5H35/Tl30 Flexible Coupling",P,FR198," ","Nexen "," ",Right,"<ul><li> Condition : New  </li><li>Model : 4/5H35/TL30</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>Warehouse Location : ROW14-D5-1</li><li>SKU : RS03310</li><li>Type : Flexible Coupling Flange</li><li>MPN : 910080</li><li>Brand : Nexen</li></ul>",1174.49,809.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/lmsAAOSw6KFhZI~L/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Numatics 12Sad400Oa27B30 Solenoid Valve",P,FR654," ",Numatics," ",Right,"<ul><li> Condition : New  </li><li>Warehouse Location : ROW13-E5-1</li><li>Suitable Media : Air</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>SKU : RS00826</li><li>MPN : 12SAD400OA27B30</li><li>Valve Operation : Solenoid</li><li>Brand : Numatics</li></ul>",1174.49,809.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/JOwAAOSwGeFdgSS-/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Process Control Services Pcs124Ps-200 Module",P,FR178," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : PCS124PS-200</li><li>Brand : PROCESS CONTROL SERVICES</li></ul>",1174.49,809.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/yIIAAOSwhXhbYegb/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rosemount Pressure Transmitter 3051S1Cd2A2E12A2Ab4D1L4",P,FR354," ",Rosemount," ",Right,"<ul><li> Condition : New  </li><li>MPN : 3051S1CD2A2E12A2AB4D1L4</li><li>Brand : Rosemount</li></ul>",1174.49,809.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/aoEAAOSwk8ReV8eO/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Westinghouse Pc Board 2840A36 G01",P,FR384," ","Westinghouse "," ",Right,"<ul><li> Condition : New  </li><li>Bundle Listing : No</li><li>Brand : Westinghouse</li><li>Model : 2838A36G01</li><li>Modified Item : No</li><li>MPN : 2840A36 G01</li><li>Custom Bundle : No</li><li>Controller Platform : .</li><li>Type : PCB</li></ul>",1174.49,809.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/jqwAAOSwgq9bhDYY/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb Acs250-03U-10A5-2+B063 Input Drive",P,FR488," ",Abb," ",Right,"<ul><li> Condition : New  </li><li>MPN : ACS250-03U-10A5-2+B063</li><li>Brand : ABB</li></ul>",1174.50,810,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/1YcAAOSwN8hdrZLP/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Stearns Brake Assy-Std 108702100Hbf",P,FR996," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Stearns</li><li>MPN : 108702100HBF</li></ul>",1174.50,810,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/XTEAAOSwJPRefv8e/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Stork Contiweb 3R791661 Pc Board",P,FR1066," ","Stork "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 3R791661</li><li>Brand : Contiweb</li></ul>",1174.50,810,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/2bMAAOSw321eOo6Q/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
