"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Square D Dpa73V09 Contactor",P,FR830," ","Square D "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Square D</li><li>MPN : DPA73V09</li></ul>",552.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/~kMAAOSwCLVbvguu/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ufm Flow Indicator Wb20Gm-8-3Nr",P,FR694," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : UFM</li><li>MPN : WB20GM-8-3NR</li></ul>",552.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/rugAAOSw4UlbtMz8/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Viatran 218-28W15 Pressure Transducer",P,FR827," "," "," ",Right,"<ul><li> Condition : New  </li><li>Country/Region of Manufacture : Unknown</li><li>Model : 218-28W15</li><li>Country of Manufacture : Unknown</li><li>MPN : 218-28W15</li><li>Brand : Viatran</li></ul>",552.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/fuwAAOSw6hViyBrQ/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agastat T012Ac Time Delay Relay",P,FR1049," ",Agastat," ",Right,"<ul><li> Condition : New  </li><li>Brand : Agastat</li><li>MPN : T012AC</li><li>Bundle Listing : No</li></ul>",553.82,300.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/SHsAAOSwoAVbYel9/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Cutler Hammer 10337H278-66Eo Pneumatic Timer",P,FR875," ","Cutler Hammer"," ",Right,"<ul><li> Condition : New  </li><li>Brand : Cutler-Hammer</li><li>MPN : 10337H278-66EO</li></ul>",553.82,300.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/TkIAAOSwZf9bYelA/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Eagle Signal Br15A6 3H76 Timer",P,FR1044," ","Eagle Signal"," ",Right,"<ul><li> Condition : New  </li><li>Brand : Eagle Signal</li><li>Model : BR15A6</li><li>MPN : BR15A6</li></ul>",553.82,300.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/rswAAOSwiKBbYefX/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Raychem Nhvt-3-I-A-23-00 Nuclear High Voltage Termination Kit",P,FR829," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : NHVT-3-I-A-23-00</li><li>Brand : RAYCHEM</li></ul>",553.82,300.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/KxMAAOSwowBbYek0/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Replacement Components 35Bb-900-722 Amplifier Tee",P,FR862," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : REPLACEMENTS COMPONENTS DIVSION</li><li>MPN : 35BB-900-722</li><li>Country/Region of Manufacture : Unknown</li><li>Bundle Listing : No</li></ul>",553.82,300.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/3e8AAOSwbLZa42gB/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Wilkerson Fr1020 Signal Alarm",P,FR1040," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Wilkerson</li><li>MPN : FR1020</li><li>Model : FR1020</li></ul>",553.82,300.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/4SEAAOSwCkZZSFi6/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fairchild 14222 Air Regulator / Bias Relay",P,FR500," ","Fairchild "," ",Right,"<ul><li> Condition : New  </li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>Model : 14222</li><li>Warehouse Location : ROW14-D6-2</li><li>SKU : RS02362</li><li>MPN : 14222</li><li>Port Diameter : 1/4 in</li><li>Maximum Pressure : 250 psi</li><li>Brand : Fairchild</li></ul>",555.90,302.12,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/AhoAAOSwlmJf81Bx/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
