"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"allen bradley 815-eov49 size 4 manual reset overload relay",P,MQY111," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 815-EOV49</li><li>Brand : Allen Bradley</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/KHsAAOSwyvtdRujb/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"allen bradley 815-eov49 size 4 manual reset overload relay",P,MQY112," ","Allen Bradley "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 815-EOV49</li><li>Brand : Allen Bradley</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/KHsAAOSwyvtdRujb/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"fanuc a05b-2452-c260 e stop unit",P,MQY128," ","fanuc "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : A05B-2452-C260</li><li>Brand : Fanuc</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/1y4AAOSwxcJdytCI/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"honeywell measurex 05356500 rev 12 position backplane",P,MQY137," ",honeywell," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 05356500</li><li>Brand : Honeywell</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/YaMAAOSwDlBTwEqR/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"honeywell measurex 200002-86 drive board 4 line synchronous interface",P,MQY140," ",honeywell," ",Right,"<ul><li> Condition : Used  </li><li>Type : Processor/Controller</li><li>MPN : 200002-86</li><li>Brand : Honeywell Measurex</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/AwUAAOSwEK9T1BwO/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"hpm rsc-100 25555 load cell",P,MQY141," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : RSC-200 25555</li><li>Brand : HPM</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/4DEAAOSwRk5fSmqk/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"reliance 0-55333-1 base inverter board",P,MQY169," ",reliance," ",Right,"<ul><li> Condition : Used  </li><li>Non-Domestic Product : No</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>MPN : 0-55333-1</li><li>Brand : Reliance Electric</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/vfkAAOSwa9BbrPDE/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"rochester instrument systems sc-4326-xp2 transmitter",P,MQY172," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : SC-4326-XP2</li><li>Brand : Rochester Instrument Systems</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/jVMAAOSwl9xd-OIk/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"sca schucker kt5x-cb-1uh2-au47n-uk00-b operator display",P,MQY178," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Type : Operator Interface Panel</li><li>MPN : KT5X-CB-1UH2-AU47N-UK00-B</li><li>Brand : SCA Schucker</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/89QAAOSw~y9ZD1AI/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"wenglor bs40v101 vision sensor (18-30 vdc)",P,MQY208," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Non-Domestic Product : No</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>MPN : BS40V101</li><li>Brand : Wenglor</li></ul>",325.05,150,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Other ",https://i.ebayimg.com/images/g/NDwAAOSwSC1dgo-I/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
