"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Allen Bradley 2094-Pr8 Kinetix 6000 Power Rail",P,GLGU7018," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : Kinetix 6000</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>Non-Domestic Product : No</li><li>MPN : 2094-PR8</li><li>Brand : Alln Bradley</li></ul>",470,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/FhkAAOSwmjxflxP9/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Af-60 Lp 6Klp43005X9A1 5.5 Hp 4Kw Micro Drive (Esc1510)",P,GLGU7036," "," "," ",Right,"<ul><li> Condition : Used  </li><li>MPN : 6KLP43005X9A1</li><li>Brand : GE</li></ul>",470,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/SrYAAOSwxixaOBY~/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ge Fanuc Series 90 Micro Plc Ic693Udr005Rp1",P,GLGU7044," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : Series 90 Micro</li><li>MPN : IC693UDR005RP1</li><li>Brand : GE Fanuc</li></ul>",470,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/DToAAOSw5eNeH1e6/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Sumitomo Af30E4-3A7-U . Af-3000 Drive",P,GLGU7047," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : Sumitomo AF30E4-3A7-U AF-3000</li><li>Number Of Phases : 3-Phase</li><li>Power Rating : 3 KW</li><li>MPN : AF30E4-3A7-U</li><li>Brand : SUMITOMO</li></ul>",587.5,250,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/5eYAAOSwbMVhMRkr/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bodine Electric Company 815 Dc Drive",P,GLGU7065," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Model : 815</li><li>MPN : 815</li><li>Brand : Bodine Electric Company</li><li>Power Source : DC</li></ul>",536.25,275,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/TGMAAOSwwStccEDv/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 20Ad5P0A3Aynnnc0 Ser A 3Hp 480V",P,GLGU7003," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Maximum Load : 5 HP</li><li>Country/Region of Manufacture : Mexico</li><li>Listed By : Barb</li><li>Manufacturer Part Number : 20 A  D 8P0 A 0 AYNNNCO</li><li>Manufacturer : Allen Bradley</li><li>Country of Manufacture : Mexico</li><li>Type : 1/P20 and 50C (122F) Ambient_imit</li><li>Input Voltage : 480 V</li><li>MPN : Does Not Apply</li><li>Brand : Allen Bradley</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/tooAAOSwmjZglBUN/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Emerson Pcm-1",P,GLGU7063," ",Emerson," ",Right,"<ul><li> Condition : Used  </li><li>Model : DXA-318</li><li>MPN : DXA-318</li><li>Brand : Emerson</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/~hIAAOSw8QVgv7dC/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Leeson Cm3D22N2-B, Tm0518-102-D 90V Dc 1/4 Hp With Gearbox",P,GLGU7069," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : DC</li><li>MPN : Does Not Apply</li><li>Maximum Load : 1 HP</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/uAUAAOSw7aVf9gbU/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Fusible Seg13 100A",P,GLGU7070," ","Square D"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Square D</li><li>MPN : SEG13 100A</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/8-IAAOSwel5bmowN/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 2094-Bm02 Ser A",P,GLGU7012," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Model : KINETIX 6000</li><li>Country/Region of Manufacture : United States</li><li>Current Type : AC</li><li>Power Rating : 15 AMP</li><li>Type : Servo Amplifier</li><li>Brand : Allen-Bradley</li></ul>",585,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/Drives & Starters",https://i.ebayimg.com/images/g/eIcAAOSwJb1hJoNE/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
