"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Duplomatic Hydraulic Solenoid Valve Ds3-S3-11N-D24K1",P,DBX669," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : DS3-S3-11N-D24K1</li><li>Brand : Duplomatic</li></ul>",602.25,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/hPoAAOSw87lb-GVu/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/175113967050_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"K40-14 Win-Key Air Cylinder Size: 4014",P,DBX476," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Win-Key</li><li>Type : Pneumatic</li><li>Model : K40-14</li><li>MPN : K40-14</li></ul>",602.25,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/6WkAAOSwRq5kGIx2/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/175658294779_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/175658294779_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mindman Air Cylinder Tool Magazine Mcqv2-11-63-112M",P,DBX806," ",Mindman," ",Right,"<ul><li> Condition : New  </li><li>Model : MCQV2-11-63-112M</li><li>MPN : MCQV2-11-63-112M</li><li>Brand : Mindman</li><li>Type : Pneumatic</li></ul>",602.25,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/lUsAAOSwSk5kFgC~/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/174811615088_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/174811615088_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ecu Monitor Fit Volvo Ec140B Ec210B Ec240B Ec290B Ec360B Ec700 14636301 14390065",P,DBX299," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 14390065, 14636301, 14900065, 14636301</li><li>Brand : UP-parts</li><li>Compatible Equipment Type : Binding Machine</li><li>Surface Finish : Aftermarket Part</li><li>Fitment Type : Direct Replacement</li><li>Position : Front</li><li>Part Type : Monitor</li><li>Interchange Part Number : 14636301, 14390065</li></ul>",610.48,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/mTMAAOSwZ3hjhHto/s-l1200.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/275559393739_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/275559393739_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Salzer M225-Se0737 Rotary Cam Switch,",P,DBX334," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Salzer</li><li>MPN : M225-SE0737, M225 SE0737, M225SE0737</li></ul>",610.48,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/UjEAAOSw8c9kClrA/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/234926886863_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/234926886863_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens Touch Panel 6Av6545-0Ba15-2Ax0 6Av6 545-0Ba15-2Ax0",P,DBX218," ",Siemens," ",Right,"<ul><li> Condition : New  </li><li>Brand : UP-parts</li><li>MPN : 6AV6545-0BA15-2AX0</li><li>Number of Items : 1</li><li>Model : 6AV6545-0BA15-2AX0</li><li>Other Part Number : 6AV6545-0BA15-2AX0</li><li>Type : Touch Panel</li><li>Interchange Part Number : 6AV6545-0BA15-2AX0</li><li>Features : Touchscreen</li></ul>",610.48,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/XIIAAOSwpdNjt-Vk/s-l1200.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/275736830678_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/275736830678_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Va1-15Fa2 Kompass Hydraulic Variable Vane Pump Max. Pressure 30Kg Va1-15F-A2",P,DBX288," "," "," ",Right,"<ul><li> Condition : New  </li><li>Hydraulic Pump Type : Vane Pump</li><li>MPN : VA1-15FA2</li><li>Brand : Kompass</li></ul>",618.75,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/FR8AAOSwLSVhBxPQ/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/174800901849_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/174800901849_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley Plc Controllogix 1756-Pa72/C Ac Power Supply Module",P,DBX100," ","Allen Bradley"," ",Right,"<ul><li> Condition : New  </li><li>Brand : UP-parts</li><li>Model : 1756-PA72</li><li>MPN : 1756-PA72</li><li>Type : Power Supply Module</li><li>Controller Platform : ControlLogix</li></ul>",620.38,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/fJYAAOSwD6xjQ8qz/s-l1200.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/275490636658_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/275490636658_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Miller 273232 Flex Head Kit Xr Pistol-Pro",P,DBX347," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Miller</li><li>MPN : 273232</li></ul>",626.98,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/bAkAAOSwfnNkB~4o/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/234924628570_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/234924628570_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mks 253B-28450 Motorized Exhaust Throttle Valve Iso80 / 3""",P,DBX523," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : MKS</li><li>MPN : 253B-28450</li></ul>",631.11,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, Contact us for overnight requests ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/59kAAOSwxStj7Rud/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/185778587220_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/185778587220_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
