"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Adc Multikuf Pediatric Multicuff Blood Pressure Monitor Kit With 3 Cuff 705Pmk",P,LTT211," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Multikuf Pediatric</li><li>Cuff Size : Pediatric</li><li>MPN : 705PMK</li><li>Brand : ADC</li></ul>",306.29,157.07,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/D4YAAOSwqEBioaO3/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Foot Switch For Conmed Hyfrecator 2000 # 7-900-4",P,LTT271," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : 7-900-4</li><li>MPN : 7-900-4</li><li>Brand : Conmed</li></ul>",329.55,169,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/zLwAAOSwPKNgSNsd/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc 732 Multicuff Sphygmomanometer Blood Pressure Monitor Kit With 4 Cuff",P,LTT200," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Multikuf 732</li><li>Mounting : Portable</li><li>Cuff Size : Adult</li><li>MPN : 732</li><li>Brand : ADC</li></ul>",330.62,169.55,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/TrYAAOSwyMViob0V/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Multikuf General Practice Blood Pressure Monitor Kit With 3 Cuff 705Gpk",P,LTT210," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Multikuf</li><li>Cuff Size : Adult</li><li>MPN : 705GPK</li><li>Brand : ADC</li></ul>",337.66,173.16,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/BVAAAOSwoDBioZlz/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Conmed Foot Switch For Hyfrecator 2000 , 7-900-4",P,LTT331," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Conmed</li><li>Model : 7-900-4</li><li>MPN : 7-900-4</li></ul>",341.25,175,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/iWAAAOSwdjdaDGsV/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Conmed Hyfrecator 2000 Pushbutton Pencil Handpiece 7-900-5 Reusable",P,LTT269," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : 7-900-5</li><li>MPN : 7-900-5</li><li>Brand : Conmed</li></ul>",349.05,179,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/~VwAAOSwl9BWHWE1/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Conmed Patient Plate For Hyfrecator 2000 7-900-7",P,LTT270," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Conmed</li><li>Model : 7-900-7</li><li>MPN : 7-900-7</li></ul>",349.05,179,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/O5sAAOSwA4dWIUTC/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mir Spirobank Smart F/V Personal Spirometer 911105",P,LTT443," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 911105</li><li>Brand : MIR</li></ul>",349.05,179,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/c04AAOSw6DRithCN/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Branson Model B200 Ultrasonic Cleaner 120V 100-951-010",P,LTT281," ",Branson," ",Right,"<ul><li> Condition : New  </li><li>Brand : BRANSON</li><li>Model : b200</li><li>MPN : 100-951-010</li></ul>",388.05,199,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/cSEAAOSw4itjNKGH/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Chattanooga I-Bresis Charging Station Iontophoresis",P,LTT303," ",Chattanooga," ",Right,"<ul><li> Condition : New  </li><li>MPN : 1360</li><li>Brand : Chattanooga</li></ul>",388.05,199,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/k3wAAOSwnQxfMuoI/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc 740 System 5 Portable Sphygmomanometer Blood Pressure Monitor Kit W/ 5 Cuff",P,LTT201," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : System 5 740</li><li>Mounting : Portable</li><li>Cuff Size : Adult</li><li>MPN : 740</li><li>Brand : ADC</li></ul>",400.78,205.53,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/XrgAAOSwrOpiocCy/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Proscope Standard 2.5V Otoscope Ophthalmoscope Diagnostic Set 5210",P,LTT213," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Proscope 5210</li><li>MPN : 5210</li><li>Brand : ADC</li></ul>",415.35,213,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/kycAAOSwG01iobfR/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Diagnostix 2.5V Otoscope Opthalmoscope Pocket Diagnostic Set 5110E",P,LTT204," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : ADC Diagnostix 5110E</li><li>Type : Pocket Diagnostic Set</li><li>MPN : 5110EG/5110EGR/5110ERB/5110EV</li><li>Brand : ADC</li></ul>",430.48,220.76,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/IssAAOSwlOJioDke/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bionet Toco Probe For Fc700 Fetal Monitor, Fc-Tc07",P,LTT256," ",Bionet," ",Right,"<ul><li> Condition : New  </li><li>Model : FC-TC07</li><li>MPN : FC-TC07</li><li>Brand : Bionet</li></ul>",438.75,225,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/hAgAAOSwCU1Y0Dhj/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Edan Data Management Kit (Cd) For Edan M Series Patient Monitors",P,LTT355," ",Edan," ",Right,"<ul><li> Condition : New  </li><li>Model : 02.04.240050</li><li>MPN : 02.04.240050</li><li>Brand : Edan</li></ul>",438.75,225,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/xpwAAOSwiHZbBaxb/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bionet Ultrasound Transducer Probe For Fc700 Fetal Monitor, Fc-Us07",P,LTT257," ",Bionet," ",Right,"<ul><li> Condition : New  </li><li>Model : FC-US07</li><li>MPN : FC-US07</li><li>Brand : Bionet</li></ul>",446.55,229,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/4fYAAOSwol5Y0DkM/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Nonin Onyx Vantage 9590 Fingertip Pulse Oximeter",P,LTT448," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 9590</li><li>Brand : Nonin</li></ul>",462.15,237,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/VKsAAOSwgiJiHoC~/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bovie Smoke Evacuator Filter 18 Hr (For Se01 Model) Sf18",P,LTT264," ",Bovie," ",Right,"<ul><li> Condition : New  </li><li>Model : Bovie ES01R</li><li>MPN : SF18</li><li>Brand : bovie</li></ul>",485.55,249,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/hXsAAOSwTeZi4sDv/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Veinlite Pedi2 Baby Transilluminatoâ€‹R Vein Finder",P,LTT502," ","Veinlite "," ",Right,"<ul><li> Condition : New  </li><li>Model : pedi2</li><li>MPN : pedi2</li><li>Brand : Veinlite</li></ul>",485.55,249,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/10oAAOSwWVNevZUl/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Diagnostix 5110N Otoscope Opthalmoscope Pocket Diagnostic Set W/ Xenon Lamp",P,LTT206," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Diagnostix 5110N</li><li>Type : Pocket Diagnostic Set</li><li>MPN : 5110N</li><li>Brand : ADC</li></ul>",490.00,251.28,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/Y7MAAOSwnWtioGbS/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Proscope 2.5V Otoscope Opthalmoscope Complete Diagnostic Instrument Set 5215",P,LTT212," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Proscope 5215</li><li>Type : Diagnostic Instrument Set</li><li>MPN : 5215</li><li>Brand : ADC</li></ul>",496.22,254.47,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/QFEAAOSwWuBiob2M/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Veinlite R Research Model Vein Finder Transillumination Device For Rats Mice",P,LTT503," ","Veinlite "," ",Right,"<ul><li> Condition : New  </li><li>Model : R</li><li>MPN : R</li><li>Brand : Veinlite</li></ul>",536.25,275,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/7-EAAOSwH69evtB9/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Chattanooga 5 Cm2 Sound Head Applicator For Intelect Transport Ultrasound 27383",P,LTT287," ",Chattanooga," ",Right,"<ul><li> Condition : New  </li><li>Model : Intelect Legend XT</li><li>Type : Head Applicator</li><li>MPN : 27383</li><li>Brand : Chattanooga</li><li>Intended Use/Discipline : Radiology</li></ul>",544.05,279,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/dlAAAOSwP7Nbjhqg/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Veinlite Neo Vein Finder Transilluminator",P,LTT501," ","Veinlite "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Veinlite</li><li>MPN : VNEO</li><li>Featured Refinements : Vein Finder</li></ul>",553.80,284,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/wZ0AAOSwfTlcPjus/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Diagnostix 5110N Otoscope Opthalmoscope Pocket Diagnostic Set With Led Lamp",P,LTT207," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Diagnostix 5110N</li><li>Type : Pocket Diagnostic Set</li><li>MPN : 5110NLSG/5110NLSGR/5110NLS/5110NLSBD/5110NLSRB/511</li><li>Brand : ADC</li></ul>",558.97,286.65,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/kiQAAOSwN4FioGC8/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bovie Electrosurgical Push Button Pencil - Box/50 Esp1",P,LTT261," ",Bovie," ",Right,"<ul><li> Condition : New  </li><li>MPN : ESP1</li><li>Brand : Bovie</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/kAAAAOSwxydi4AcY/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Chattanooga Intelect Transport Battery Pack Model 27478",P,LTT315," ",Chattanooga," ",Right,"<ul><li> Condition : New  </li><li>MPN : 27478</li><li>Brand : Chattanooga</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/pvAAAOSwOnlf~y3C/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Edan H100B Pulse Oximeter W/ Carry Case & Adult Hard-Shell Spo2 Sensor",P,LTT356," ",Edan," ",Right,"<ul><li> Condition : New  </li><li>MPN : h100b</li><li>Brand : edan</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/P8sAAOSwcR9ixY0W/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Edan Ve-H100B Handheld Veterinary Oximeter",P,LTT370," ",Edan," ",Right,"<ul><li> Condition : New  </li><li>MPN : VE-H100B</li><li>Brand : edan</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/P8sAAOSwcR9ixY0W/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ika Topolino Mobil Mobile Magnetic Mini-Stirrer 3381301",P,LTT424," ",Ika," ",Right,"<ul><li> Condition : New  </li><li>MPN : 3381301</li><li>Brand : IKA</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/MVkAAOSwaWpbWfZ9/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Schiller Disposable Spirettes / Mouthpieces For Spiroscout Spirometer Box/200",P,LTT476," ",Schiller," ",Right,"<ul><li> Condition : New  </li><li>Brand : Schiller</li><li>Model : 2.100983200</li><li>MPN : 2.100983200</li></ul>",583.05,299,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/ZqAAAOSwq6Nb7c0D/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Diagnostix 752M Mobile Aneroid Sphygmomanometer Blood Pressure Monitor",P,LTT208," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Diagnostix 752M</li><li>MPN : 752M</li><li>Brand : ADC</li></ul>",583.26,299.11,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/goEAAOSw3f5ioFXj/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adc Diagnostix 752M+ Mobile Aneroid Sphygmomanometer Blood Pressure Monitor",P,LTT209," ",Adc," ",Right,"<ul><li> Condition : New  </li><li>Model : Diagnostix 752M+</li><li>MPN : 752M+</li><li>Brand : ADC</li></ul>",591.55,303.36,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/goEAAOSw3f5ioFXj/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Benchmark Scientific B1000 Bactizapper Research Sterilizer Microsterilizer",P,LTT218," ","Benchmark Scientific"," ",Right,"<ul><li> Condition : New  </li><li>UPC : Does Not Apply</li><li>MPN : B1000</li><li>Brand : Benchmark Scientific</li></ul>",621.56,318.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/6ykAAOSwccFc9XuL/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
