"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Agilent G1330B Hplc Autosampler Thermostat Alstherm, 1100 Series",P,LABS100," ",Agilent," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Agilent</li><li>Custom Bundle : No</li><li>Model : Autosampler Thermostat ALSTherm</li><li>Chromatography Technique : High Performance Liquid Chromatography (HPLC)</li><li>MPN : G1330B</li><li>Country/Region of Manufacture : Germany</li><li>Modified Item : No</li><li>Intended Use/Discipline : Pharmaceutical</li></ul>",665,350,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/25UAAOSw2zdhqX~E/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Turner Biosystems / Designs Picofluor 8000-004 Handheld Fluorometer",P,LABS110," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Turner Biosystems</li><li>Custom Bundle : No</li><li>Model : Picofluor</li><li>MPN : 8000-004</li><li>Country/Region of Manufacture : United States</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",836,440,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/--UAAOSwogdijIGM/s-l1200.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Nikon Eclipse Ts100 Inverted Phase Contrast Microscope (W/ C-W10Xa/22)",P,LABS107," ",Nikon," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Nikon</li><li>Microscope Structure : Inverted</li><li>Microscope Type : Phase Contrast Microscope</li><li>Custom Bundle : No</li><li>Model : TS100</li><li>MPN : TS100 Eclipse</li><li>Viewer : Binocular</li><li>Country/Region of Manufacture : Japan</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1244.5,655,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/OnkAAOSwcrJjQPvq/s-l1200.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Vwr Symphony Horizontal Forced Air Oven 414004-566 70-250c 3.7Ft3 70L",P,LABS112," ","Vwr "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : VWR</li><li>Custom Bundle : No</li><li>Model : Symphony Horizontal Forced Air oven</li><li>MPN : 414004-566</li><li>Country/Region of Manufacture : Korea, Republic of</li><li>Modified Item : No</li><li>Furnace/Oven Type : Forced Air Oven</li></ul>",1641.75,995,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/VjsAAOSw5eVi8yBi/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mettler Toledo Ms204S Semi-Micro Analytical Balance",P,LABS106," ","Mettler Toledo"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Mettler Toledo</li><li>Custom Bundle : No</li><li>Model : MS204S Analytical Balance</li><li>MPN : MS204S</li><li>Country/Region of Manufacture : Switzerland</li><li>Scale/Balance Type : Analytical Balance</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1881,1140,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/NCoAAOSwt0tjBGPf/s-l1200.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mettler Toledo At261 Deltarange Analytical Balance W/ Power Supply",P,LABS105," ","Mettler Toledo"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Mettler Toledo</li><li>Custom Bundle : No</li><li>Model : AT261</li><li>MPN : AT261</li><li>Country/Region of Manufacture : Switzerland</li><li>Scale/Balance Type : Analytical Balance</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",1947,1180,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/zVwAAOSwrH9jBFOk/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Vwr Signature Forced Air Oven 1350Fm, 40-240 c, 3.3Ft3, 90L",P,LABS111," ","Vwr "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : VWR</li><li>Custom Bundle : No</li><li>Model : Signature Forced Air Safety oven</li><li>MPN : 1350FM</li><li>Country/Region of Manufacture : United States</li><li>Modified Item : No</li><li>Furnace/Oven Type : Forced Air Oven</li></ul>",1980,1200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/d6kAAOSwnSFjOlLK/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Detecto 6570 Portable Handrail Wheelchair Scale 1000Lb W/ Seat",P,LABS102," ",Detecto," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Detecto</li><li>Custom Bundle : No</li><li>Model : 6570 Portable Handrail and seat Wheelchair Scale</li><li>MPN : 6570</li><li>Country/Region of Manufacture : United States</li><li>Scale/Balance Type : Platform Scale</li><li>Modified Item : No</li><li>Intended Use/Discipline : Family Medicine</li></ul>",2550,1849,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/04kAAOSwQjFitAJP/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Eppendorf 5417R Refrigerated Centrifuge (W/ F45-30-11 Rotor) Tested",P,LABS103," ","Eppendorf "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Eppendorf</li><li>Rotor Type : Fixed-Angle Rotor</li><li>Custom Bundle : No</li><li>Speed Type : High Speed Centrifuge</li><li>Model : 5417R Refrigerated Centrifuge</li><li>Features : Digital Display</li><li>MPN : 5417R</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",2850,2180,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/TfsAAOSw35FislLi/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Revco Cxf Ultima Ii Ult350-10-A -40C Low Temp. Lab Chest Freezer Thermo Fisher",P,LABS108," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Thermo Scientific / Revco</li><li>Type : Freezer</li><li>Custom Bundle : No</li><li>Model : Ultra Low Lab Chest Freezer</li><li>MPN : ULT350-10-A</li><li>Country/Region of Manufacture : United States</li><li>Modified Item : No</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",4350,3200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 1",https://i.ebayimg.com/images/g/xlsAAOSw24VjK-Cz/s-l960.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
