"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Mettler Toledo Pb1502 Digital Scale",P,LABXX6," ","Mettler Toledo "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : METTLER TOLEDO</li><li>Custom Bundle : No</li><li>Model : METTLER TOLEDO PB1502</li><li>MPN : PB1502</li><li>Country/Region of Manufacture : Switzerland</li><li>Modified Item : No</li><li>California Prop 65 Warning : Warning - California Prop 65</li></ul>",395.98,179.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/AS4AAOSwEYJjJhod/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mettler Toledo Pb3002-S Deltarange Digital Scale Balance Sdr",P,LABXX7," ","Mettler Toledo "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : METTLER TOLEDO</li><li>Custom Bundle : No</li><li>Model : PB3002-S Deltarange</li><li>MPN : PB3002-S</li><li>Country/Region of Manufacture : Switzerland</li><li>Modified Item : No</li><li>California Prop 65 Warning : Warning - California Prop 65</li></ul>",527.98,239.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/w90AAOSwOrBjJh2U/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Alpha Technics 5000 Series Thermometer 91-5450 Abbott 5450 Alphatechnics",P,LABXX2," ","Alpha Technics"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Alpha Technics</li><li>Model : 5450</li><li>MPN : 91-5450</li></ul>",569.98,299.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/Z2wAAOSwJydie-pI/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Grass Sd9 Stimulator Smd9E",P,LABXX3," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Grass Instruments</li><li>Model : Grass SD9</li><li>MPN : SMD9E</li></ul>",759.98,399.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/ncEAAOSwmRxi9UnO/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mettler Toledo Ag204 Deltarange Fact Analytic Balance Ag204Dr",P,LABXX4," ","Mettler Toledo"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : METTLER TOLEDO</li><li>Custom Bundle : No</li><li>Model : AG204 Deltarange</li><li>MPN : AG204DR</li><li>Country/Region of Manufacture : Switzerland</li><li>Modified Item : No</li><li>California Prop 65 Warning : Warning - California Prop 65</li></ul>",850,499.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/rSwAAOSwNnZjPMKa/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Welch Allyn Suresight 140 Series Portable Vision Tester",P,LABXX5," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Welch Allyn</li><li>Bundle Description : Buy2 get 3rd free</li><li>Custom Bundle : No</li><li>Model : SureSight 140 Series</li><li>Product : Vision Screener</li><li>MPN : SureSight 140 Series</li><li>Country/Region of Manufacture : United States</li><li>Modified Item : No</li><li>California Prop 65 Warning : Warning - California Prop 65</li></ul>",1155,779.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/LPAAAOSwXcFjQLJG/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Mettler Toledo Pb503-S Deltarange Fact Sdr Precision Balance",P,LABXX8," ","Mettler Toledo "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : METTLER TOLEDO</li><li>Custom Bundle : No</li><li>Model : PB503-S Deltarange</li><li>MPN : PB503-S</li><li>Country/Region of Manufacture : Switzerland</li><li>Modified Item : No</li><li>California Prop 65 Warning : Warning - California Prop 65</li></ul>",1450,999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/CnQAAOSw3EFjPK5T/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Caron 2050-1 Heated / Refrigerated Circulating Water Bath",P,LABXX9," ",Caron," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Caron</li><li>Temperature Control : Heated</li><li>Model : 2050</li><li>Product : Water Bath</li><li>MPN : 2050-1</li></ul>",1550,999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/ogsAAOSwdCRjLerT/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Smiths Hazmatid 360 System 023-1001-E Ftir Spectroscopy Chemical Identifier",P,LABXX1," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Smiths Detection</li><li>Model : HazMatID 360</li><li>MPN : 023-1001-E</li></ul>",3850,2999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/IKEAAOSwcTdiAtwz/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Barnstead Thermolyne 17600 Dri-Bath DB17615",P,LABXX10," ",Barnstead," ",Right,"<ul><li> Condition : New  </li><li>Brand : Barnstead</li><li>Bundle Description : 3 Pieces in this lot</li><li>Model : Dri-Bath 17600</li><li>MPN : DB17615</li><li>Country/Region of Manufacture : United States</li></ul>",450.00,199.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/IK0AAOSw0l1jOJdX/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent G1544-80600 RP-Split Trap Back Weldment",P,LABXX11," ",Agilent," ",Right,"<ul><li> Condition : New  </li><li>Brand : Agilent</li><li>MPN : G1544-80600</li></ul>",790.00,399.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/MrkAAOSw5KFjI3xC/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent G1544-80590 Split Trap Front Weldment",P,LABXX12," ",Agilent," ",Right,"<ul><li> Condition : New  </li><li>Brand : Agilent</li><li>Chromatography Technique : Gas Chromatography (GC)</li><li>MPN : G1544-80590</li></ul>",560.00,249.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/c1oAAOSwdsZjI4MC/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
