"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"10'' icu ccu vital sign dental patient monitor ecg nibp resp temp spo2 machine",P,FF10," "," "," ",Right,"<ul><li> Condition : New  </li><li>Warranty : 2 years</li><li>Approve : CE, FDA</li><li>Model : RPM-9000C2</li><li>UPC : Does not apply</li><li>EAN : Does not apply</li><li>Function : ICU CCU Vital Sign Dental Cardiac</li><li>MPN : Does not apply</li><li>Monitor Parameters : PR</li><li>Display : 10 inch color TFT display</li><li>Product Type : ICU CCU Vital Sign Dental Patient Monitor</li><li>Standard configuration : ECG, NIBP, SPO2, TEMP, RESP,PR</li><li>Color LCD display : 10 inch color high resolution TFT display</li><li>Alarm : arbitrarily set the alarm limit</li><li>Lead Selection： : I, II, III, avR, avL, avF, V,</li><li>Parameter : Multi-parameter</li><li>Lead Mode : 5 Leads ( R, L, F, N, C or RA, LA, LL, RL,V)</li><li>Waveform : 2CH</li><li>Brand : Denshine</li></ul>",622.05,319,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/gMoAAOSwRRxfBnwy/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"18 x 24 x 0.13 in. non-stick non perforated splint - case of 4",P,FF11," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Made2Medicate</li><li>MPN : MA1788904</li><li>Type : Medical Supplies</li><li>Prop 65 : Yes</li></ul>",601.653,308.54,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/5M8AAOSwwXBio6~a/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy 110v human icu patient monitor multi-parameter ccu for hospital adult",P,FF12," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Model : 800019</li><li>Country/Region of Manufacture : China</li><li>UPC : 0658126628846</li><li>Features : Handheld</li><li>Expiration Date : 3 Years</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : ECG</li><li>Intended Use/Discipline : Cosmetology</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/Q~8AAOSwp0hfDm-I/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy 12'' patient monitor vital signs icu monitor nibp spo2 ecg temp resp pr",P,FF13," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Screen Dimensions : 12</li><li>Model : 800001</li><li>Country/Region of Manufacture : China</li><li>Features : Handheld</li><li>Expiration Date : 3 Years</li><li>Technology : Digital</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : Blood Pressure</li><li>Intended Use/Discipline : Cosmetology</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/TH4AAOSwC2tfn8I-/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy 12'' portable lcd multiparameter vital signs patient monitor nibp spo2",P,FF14," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Screen Dimensions : 12</li><li>Model : 800001</li><li>Country/Region of Manufacture : China</li><li>Features : Handheld</li><li>Expiration Date : 3 Years</li><li>Technology : Digital</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : Blood Pressure</li><li>Intended Use/Discipline : Cosmetology</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/TH4AAOSwC2tfn8I-/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy 5.1'' vital signs patient monitor ecg/nibp/spo2/pr/temp for hospital",P,FF15," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Model : 800019</li><li>Country/Region of Manufacture : China</li><li>Features : Handheld</li><li>Expiration Date : 3 Years</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : ECG</li><li>Intended Use/Discipline : Anesthesiology</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/OmsAAOSwrqdg4s4r/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy 6-parameter 12'' vital signs patient monitor ecg nibp temp spo2 new ce",P,FF16," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Expiration Date : Brand New</li><li>Screen Dimensions : 12inch</li><li>Technology : Digital</li><li>Custom Bundle : No</li><li>Model : RPM-9000C4</li><li>MPN : Does Not Apply</li><li>Country/Region of Manufacture : China</li><li>Modified Item : No</li><li>Monitor Parameters : Blood Pressure - NIBP</li><li>Intended Use/Discipline : Cardiology</li></ul>",622.05,319,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/WjUAAOSwqC9hZP1a/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy icu ccu patient monitor ecg/nibp/spo2/temp/resp pr touch screen us",P,FF17," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Screen Dimensions : 5.1</li><li>Model : 800019</li><li>Country/Region of Manufacture : China</li><li>Features : Touchscreen</li><li>Expiration Date : 3 Years</li><li>Technology : Digital</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : ECG</li><li>Intended Use/Discipline : Cardiology</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/GbUAAOSwQ3ZgeDlp/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy medical icu ccu patient monitor ecg nibp spo2 pr temp rpm-8000b fda",P,FF18," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Model : RPM-8000B</li><li>Modified Item : No</li><li>Country/Region of Manufacture : China</li><li>Custom Bundle : No</li><li>Weight : 650g</li><li>UPC : Does not apply</li><li>Features : Touchscreen</li><li>EAN : Does not apply</li><li>Certification : FDA CE</li><li>Expiration Date : Brand New</li><li>Technology : Digital</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : ECG</li><li>Input : 3- lead ECG cable, standard AAMI cable connector</li><li>Battery : Build-in rechargeable Li-battery</li><li>Feature : Bluetooth</li><li>Lead : I，II，III</li><li>Size: : 209mm×104mm×47.5mm</li><li>Continuous run-time: : 15 hours with full battery capacity.</li><li>Option 1 : Pediatric finger Spo2 sensor</li><li>Option 2 : Neonatal wrap SpO2 sensor</li><li>Option 3 : Bluetooth printer</li><li>Monitor / Display /Screen : Touch screen,5.1 inch color TFT LCD,</li><li>Intended Use/Discipline : Cardiology</li><li>Display ; : color TFT- LCD/touch screen</li></ul>",622.05,319,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/fB8AAOSwtQtg4tYS/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy patient monitor 8 inch vital signs monitor 6 parameters+cable&cuff",P,FF19," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Model : RPM-9000F</li><li>MPN : Does Not Apply</li><li>Country/Region of Manufacture : China</li><li>UPC : Does Not Apply</li><li>EAN : Does not apply</li><li>Warranty : 2 years</li><li>Herstellernummer : Does not Apply</li><li>Marke : Carejoy</li><li>Display : OLED display</li><li>Express shipping : Yes</li><li>Certificate : CE FDA</li><li>Standard configuration : ECG, NIBP, SPO2, TEMP, RESP, PR</li><li>Display /Monitor / Screen : 8 inch-resolution color screen</li><li>Interface : Standard,Trend Screen,oxyCRG Screen,NIBP List,Big front Screen</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/VTMAAOSw3fFi13TO/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy patient monitor ecg/nibp/spo2/temp/resp/pr heart monitor 100% warranty",P,FF20," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Model : RPM-9000F</li><li>MPN : Does Not Apply</li><li>Country/Region of Manufacture : China</li><li>UPC : Does Not Apply</li><li>EAN : Does not apply</li><li>Warranty : 2 years</li><li>Display : OLED display</li><li>Express shipping : Yes</li><li>Certificate : CE FDA</li><li>Standard configuration : ECG, NIBP, SPO2, TEMP, RESP, PR</li><li>Display /Monitor / Screen : 8 inch-resolution color screen</li><li>Interface : Standard,Trend Screen,oxyCRG Screen,NIBP List,Big front Screen</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/qmwAAOSw7klcob3G/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"carejoy portable icu ccu patient monitor ecg/nibp/spo2/temp/resp/pr touch screen",P,FF21," ",carejoy," ",Right,"<ul><li> Condition : New  </li><li>Brand : Carejoy</li><li>Screen Dimensions : 5.1</li><li>Model : 800019</li><li>Country/Region of Manufacture : China</li><li>Features : Touchscreen</li><li>Expiration Date : 3 Years</li><li>Technology : Digital</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : ECG</li><li>Intended Use/Discipline : Cardiology</li></ul>",602.55,309,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/GbUAAOSwQ3ZgeDlp/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"denshine icu ccu dentalpatient monitor vital sign multi parameter ecg monitoring",P,FF22," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Denshine</li><li>Model : RPM-9000C2</li><li>UPC : Does not apply</li><li>EAN : Does not apply</li><li>Warranty : 2 Years</li><li>Function : ICU CCU Vital Sign Dental Cardiac</li><li>MPN : Does Not Apply</li><li>Monitor Parameters : Blood Pressure - NIBP</li><li>Display : 10 inch color TFT display</li><li>Product Type : ICU CCU Vital Sign Dental Patient Monitor</li><li>Standard configuration : ECG, NIBP, SPO2, TEMP, RESP,PR</li><li>Color LCD display : 10 inch color high resolution TFT display</li><li>Alarm : arbitrarily set the alarm limit</li><li>Lead Selection： : I, II, III, avR, avL, avF, V,</li><li>Parameter : Multi-parameter</li><li>Lead Mode : 5 Leads ( R, L, F, N, C or RA, LA, LL, RL,V)</li><li>Waveform : 2CH</li></ul>",622.05,319,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/D9wAAOSwPzZfICF1/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"draeger keyed filler adapter h m30288",P,FF23," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Draeger</li><li>MPN : M30288</li></ul>",586.0725,300.55,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/89sAAOSwFXdhxJ~J/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"drager mk08707 system cable 2.5m (18885)",P,FF24," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : Lifepak</li><li>MPN : MK08707</li><li>Brand : Dräger</li></ul>",585,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/-CAAAOSwmvBhl-qP/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"dryline ii water trap 115-058733-00 for mindray artema single slot adult ped",P,FF25," "," "," ",Right,"<ul><li> Condition : New  </li><li>Number of Channels : single slot</li><li>Screen Dimensions : not applicable</li><li>Model : 120 - 200 ml/min.</li><li>Modified Item : No</li><li>Technology : Dryline II</li><li>MPN : 115-058733-00</li><li>Monitor Parameters : End-Tidal CO2</li><li>Custom Bundle : No</li><li>Brand : Mindray</li><li>Intended Use/Discipline : Anesthesiology</li><li>N Series Compatibility : N1 N12 N15 N17 N19 N22</li><li>Patient Size : Adult Pediatric</li><li>Features : single slot</li><li>Passport Compatibility : 8 12 12m 17m T1</li></ul>",602.823,309.14,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/gV4AAOSwzElgoqAb/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"ge carescape 2067727-001 15'' touchscreen ventilator display",P,FF26," ",Ge," ",Right,"<ul><li> Condition : New  </li><li>Model : GE Carescape 2067727-001</li><li>Brand : GE</li><li>Features : Touchscreen</li><li>MPN : Does Not Apply</li></ul>",622.05,319,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/LKAAAOSwbZhi1y4e/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"ge carescape b650 flex-3s3p lithium ion battery ",P,FF27," ",Ge," ",Right,"<ul><li> Condition : New  </li><li>Brand : GE</li><li>Model : GE Carescape B650 Flex-3s3p</li><li>MPN : Flex-3S3P</li></ul>",585,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/O~UAAOSwGOtiBEYy/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"ge datex ohmeda flow sensor, legacy var orf bcg, service - 2089610-001-s ",P,FF28," ",Ge," ",Right,"<ul><li> Condition : New  </li><li>MPN : 2089610-001-S</li><li>Brand : GE</li><li>Model : Legacy Var ORF BCG</li></ul>",585,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Medical & Lab Equipment/patient monitors",https://i.ebayimg.com/images/g/TdYAAOSwk5hjIcRV/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
