"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"bw/ip oem 1007270",P,RJH1058," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : knox09007985-1007270</li></ul>",75.00,20,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/JQsAAOSw6i9jV~Id/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"browning industrial  1025808 ak17 v-belt pulley 1/2""",P,RJH789," ",browning," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : knox50028347-1025808</li></ul>",93.75,25,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/etEAAOSwUgZjWs7e/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"browning industrial  h 1-1/2""",P,RJH1668," ",browning," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : mros02001774-H1</li></ul>",93.75,25,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/tTIAAOSw1FpjUt8A/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"browning industrial  h 1 7/16"" 1078419",P,RJH457," ",browning," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : knox90057758-H 1 7/16""</li></ul>",97.50,26,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/9nUAAOSwGDhjQDeC/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"browning industrial  vpe-112",P,RJH804," ",browning," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : knox090017119-VPE-112</li></ul>",105.00,28,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/f1IAAOSwyCJi2aYg/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"cat 134-6307",P,RJH1672," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : mros050082-134-6307</li></ul>",105.00,28,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/tUoAAOSwVNBjDgtj/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"compact rkrg253 snap-cap cylinder, accessories repair kit",P,RJH1931," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : mros30050-RKRG253</li></ul>",105.00,28,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/xW8AAOSwZB1iVSxq/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"020-39923 shaft 3/4x2-9/16",P,RJH206," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : mros7002491-020-39923</li></ul>",112.50,30,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/1xgAAOSwCZxi2aK-/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"abb industrial rv5/133 (1sbn050010r1001)surge supperssor , 2 units",P,RJH728," ",Abb," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : RV5/133</li></ul>",112.50,30,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/dO0AAOSwfjJi2aLf/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"buddy products 5202-32 wall pocket",P,RJH1841," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : INDUSTRIAL MRO</li><li>MPN : knox90017026-5202-32</li></ul>",112.50,30,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/WR8AAOSwmeJjY~gP/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
