"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"2 Allen Bradley 500-B0A92 500-Boa92 Series B Ac Contactor Motor Loads",P,CON119," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : ALLEN BRADLEY</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/YZgAAOSwe-FU4l2e/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"4 Siemens 42Cf35Af 3-Pole, Definite Purpose Contactors 60A 60Hz 120Vac Coil",P,CON158," "," "," ",Right,"<ul><li> Condition : New  </li><li>Mounting Style : DIN Rail Mount</li><li>Maximum Amperage : 60 A</li><li>Custom Bundle : No</li><li>Current Rating : 60 A</li><li>Number of Phases : 3</li><li>MPN : 42CF35AF</li><li>Brand : Siemens</li><li>Current Type : AC</li><li>Type : Definite Purpose Contactor</li><li>Contact Configuration : SPDT-NC</li><li>Coil Voltage : 120 V</li><li>Packaging : Box</li><li>Number of Poles : 3-Pole</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/33AAAOSwtD5jcUGU/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"8903Smo4V04Lighting Contactor, 600Vac 30A 277V 60Hz Nema",P,CON195," "," "," ",Right,"<ul><li> Condition : New  </li><li>Lighting Contactor Type : Electrically Held</li><li>Brand : SQUARE D</li><li>Coil Volts : 277 VAC</li><li>Contact Amperage Rating : 30 A</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/FkgAAOSw0Axd4yDQ/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb A145-30-11-55 250A Contactor 600V 60Hz",P,CON240," ","Abb "," ",Right,"<ul><li> Condition : New  </li><li>Current Rating : 600 A</li><li>Maximum Amperage : 30 A</li><li>Coil Voltage : 600 V</li><li>Type : Definite Purpose Contactor</li><li>Brand : ABB</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/cFkAAOSwuBhiQ2w5/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb A30-30-10 110V-50Hz Contactor",P,CON247," ","Abb "," ",Right,"<ul><li> Condition : New  </li><li>Brand : ABB</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/5hQAAOSwwolgorfl/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb Contact Kit Ehdbck520-Nc For Ehdb520 Series Contactors",P,CON301," ","Abb "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Does Not Apply</li><li>Brand : ABB</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/sdwAAOSwkIJc0Cwn/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb Contactor A63-30-00 24Volt",P,CON310," ","Abb "," ",Right,"<ul><li> Condition : New  </li><li>Brand : ABB</li><li>MPN : 3471522088840</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/WEsAAOSwSTZjfAtg/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb Contactor Af65-30-00-13",P,CON323," ","Abb "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 1SBL387001R1300</li><li>Current Type : AC/DC</li><li>Brand : ABB</li><li>MPN : 1SBL387001R1300</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/914AAOSwFkpjtI7j/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb Control Contactor, 3-Pole, 24 Volt Ac Coil, B30, B30C-F, B30-30-22",P,CON333," ","Abb "," ",Right,"<ul><li> Condition : New  </li><li>MPN : B30C-F</li><li>Brand : ABB</li></ul>",452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/gykAAOSw5PRdOqrv/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ac Contactor, Tyco, 400 Hz, Three Phase, 120/208 V",P,CON362," "," "," ",Right,<ul></ul>,452,200,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /Contactors",https://i.ebayimg.com/images/g/5VAAAOSwL-tfcj6R/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
