"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"philips pr 9973/02 amplifier unit",P,HRD451," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : PHILIPS</li><li>MPN : PR 9973/02</li></ul>",199.50,70,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/ajYAAOSwNSxVbhYS/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"skf 6313 2zj single row ball bearing 65mm bore",P,HRD588," ",SKF," ",Right,"<ul><li> Condition : New  </li><li>Brand : SKF</li><li>MPN : 6313 2ZJ</li></ul>",205.20,72,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/CIkAAOSw3mpXNfVC/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"turck bi2-crs476-adz30x2-b3131/s34 proximity switch",P,HRD642," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : TURCK</li><li>MPN : BI2-CRS476-ADZ30X2-B3131/S34</li></ul>",210.87,73.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/EgIAAMXQfRdR5DX2/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"siemens 3th3-040-0bb4/3th30-40-0bb4/3th3040-0bb4/3th30400bb4 relay",P,HRD524," ",SIEMENS," ",Right,"<ul><li> Condition : New  </li><li>Brand : Siemens</li><li>MPN : 3TH30400BB4</li></ul>",210.90,74,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/-cgAAOxyOa9R1HjM/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"stream sm90-in/sm 90-in/5580001021 interface",P,HRD623," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : STREAM</li><li>MPN : SM 90-IN/5580001021</li></ul>",210.90,74,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/8TQAAOxyBLxRGyga/s-l225.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"waldron flexalign 148657 2-1/2"" bore gear coupling finished bore hub",P,HRD657," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : WALDRON FLEXALIGN</li><li>MPN : 148657</li><li>UPC : Does not apply</li></ul>",213.72,74.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/Lt4AAMXQAoNRIpJ4/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"skf km28 roller bearing",P,HRD593," ",SKF," ",Right,"<ul><li> Condition : New  </li><li>Brand : SKF</li><li>MPN : KM28</li></ul>",213.75,75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/DD8AAOSw74FXPNDK/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"siemens 3rg4-602-7ag01/3rg46-02-7ag01/3rg4602-7ag01/3rg46027ag01 switch",P,HRD523," ",SIEMENS," ",Right,"<ul><li> Condition : New  </li><li>Brand : Siemens</li><li>MPN : 3RG46027AG01</li></ul>",225.15,79,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/qfUAAOxy-o5R1w1z/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"waldron flexalign 3w sb slv gear coupling",P,HRD659," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : WALDRON FLEXALIGN</li><li>MPN : 3W SB SLV</li></ul>",225.15,79,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/DakAAMXQlUNRPe-z/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"reliance 0-56313-1/0563131/o-56313-1 isolated process controller",P,HRD467," ","RELIANCE "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Reliance Electric</li><li>MPN : O-56313-1</li></ul>",227.97,79.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/McsAAOxyaTxRNfw3/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"rosemount analytical 11251-05 rev ab sensor assembly w/cable",P,HRD504," ",ROSEMOUNT," ",Right,"<ul><li> Condition : New  </li><li>Brand : Rosemount</li><li>MPN : 11251-05</li></ul>",227.97,79.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/6twAAOSwKIpWDEgL/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"w&t 88205 industry interface isolator",P,HRD656," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 88205</li><li>Brand : W&T</li></ul>",227.97,79.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/10gAAOxyW1NREK9D/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"westinghouse dsl6-40 contactor 500vac 4a coil 240v 30a",P,HRD666," ","WESTINGHOUSE "," ",Right,"<ul><li> Condition : New  </li><li>MPN : DSL6-40</li><li>Brand : WESTINGHOUSE</li></ul>",227.97,79.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/OlMAAOSwzCZdp0HA/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"rexroth r166211410 runner block ball rail",P,HRD499," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : REXROTH</li><li>MPN : R166211410</li></ul>",242.22,84.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/3XgAAOxyUrZS4o2K/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"waldron flexalign 2w shd tk gear coupling",P,HRD658," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : WALDRON FLEXALIGN</li><li>MPN : 2W SHD TK</li></ul>",242.22,84.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/-pIAAOxyQj9ROffM/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"siemens 505-4816 output module",P,HRD525," ",SIEMENS," ",Right,"<ul><li> Condition : New  </li><li>Brand : SIEMENS</li><li>MPN : 505-4816</li></ul>",247.92,86.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/58kAAOSwHMJYPZIk/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"skf 21309 cj spherical roller bearing",P,HRD584," ",SKF," ",Right,"<ul><li> Condition : New  </li><li>Brand : SKF</li><li>MPN : 21309 CJ</li></ul>",251.51,88.25,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/Xj4AAOSwIwhWSh69/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"ratiotrol 106116211 0425-h dc motor control cover",P,HRD459," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : RATIOTROL</li><li>MPN : 106116211</li></ul>",253.65,89,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/8DgAAOxywbNRAOhN/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"rck pf-41a1r-m tempreature controller",P,HRD460," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : RCK</li><li>MPN : PF-41A1R-M</li></ul>",253.65,89,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/ industrial automation parts",https://i.ebayimg.com/images/g/o3wAAMXQaBtRAQg9/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
