"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"agastat tyco t&b etr14d3b004 time delay relay 0.55-15 sec, 125vdc coil etr type",P,GLLN104," ",Agastat," ",Right,"<ul><li> Condition : New  </li><li>Control Voltage : 125VDC</li><li>Coil Voltage Rating : 125VDC</li><li>MPN : ETR14D3B004</li><li>Brand : Agastat</li></ul>",243.75,125,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/6bsAAOSwu0BfSrT-/s-l1200.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/303669039860_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/303669039860_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"abb nkpl01-3 infi 90 plant comm loop cable",P,GLLN101," ",Abb," ",Right,"<ul><li> Condition : New  </li><li>Brand : ABB</li><li>Model : NKPL01-3</li><li>MPN : NKPL01-15</li><li>Model Number : NKPL01-3</li></ul>",253.48,129.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/vG8AAOSw5ItjzDQi/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/304778108260_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/304778108260_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"fa14015a - square d 15a amp 1p pole 277v i-line fa circuit breaker",P,GLLN130," "," "," ",Right,"<ul><li> Condition : New  </li><li>Voltage Rating (AC) : 277 VAC</li><li>Current Rating : 15 A</li><li>Number of Poles : 1</li><li>MPN : FA14015A</li><li>Brand : Square D</li></ul>",253.48,129.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/1DEAAOSwgn5fSnGo/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/303668876339_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/303668876339_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"trimble db9 gps frequency modulation cable 59046 rev c1 5700/5800/r7/r8/tsc1",P,GLLN156," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : GPS 5700 5800 R8 TSCE TSC1 TSC2 TDS PRO XR XRS XT</li><li>Product : Data Cable</li><li>MPN : 59046</li><li>Brand : Trimble</li></ul>",272.98,139.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/fsMAAOSwNv5iHOIf/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/304377115107_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/304377115107_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"beckhoff kl3042 | bus terminal, 2-channel analog input module",P,GLLN128," ",Beckhoff," ",Right,"<ul><li> Condition : New  </li><li>Brand : Beckhoff</li><li>Analog/Digital : Analog</li><li>Model : Beckhoff KL3042</li><li>MPN : KL3042</li></ul>",292.48,149.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/ZuQAAOSwlxljzHgr/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/304778283870_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/304778283870_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"high voltage diode solid state controls 07-600101-00 - nuclear plant",P,GLLN131," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : 07-600101-00</li><li>Modified Item : No</li><li>MPN : 07-600101-00</li><li>Brand : SOLID STATE CONTROLS</li></ul>",292.48,149.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/k7cAAOSw3N9fSsVa/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/303669075912_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/303669075912_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"magnetek 10-button sbi crane hoist pendant station sbi-10-wbt sbi-10-w type bt",P,GLLN136," ",Magnetek," ",Right,"<ul><li> Condition : New  </li><li>Model : SBI-10-WBT</li><li>MPN : SBI-10-WBT</li><li>Brand : Magnetek</li></ul>",292.48,149.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/jWUAAOSwUDFfkiHR/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/303737537110_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/303737537110_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"beckhoff kl1809 module 16 digital input 24vdc",P,GLLN127," ",Beckhoff," ",Right,"<ul><li> Condition : New  </li><li>Brand : BECKHOFF</li><li>Model : KL1809</li><li>MPN : KL1809</li></ul>",389.98,199.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/VegAAOSw2eRjzHek/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/304778282298_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/304778282298_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"magnetek 12-button sbi crane hoist pendant station sbi-12-wh sbi-12-w type h",P,GLLN137," ",Magnetek," ",Right,"<ul><li> Condition : New  </li><li>Model : SBI-12-WH</li><li>MPN : SBI-12-WH</li><li>Brand : Magnetek</li></ul>",389.98,199.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/56sAAOSwdrtfkiJS/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/303737538021_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/303737538021_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"magnetek 12-button sbn pendant station sbi-12-w a300 250vac type b 3a",P,GLLN138," ",Magnetek," ",Right,"<ul><li> Condition : New  </li><li>Model : SBI-12-W</li><li>MPN : SBI-12-W</li><li>Brand : Magnetek</li></ul>",389.98,199.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/DsUAAOSwLFJfY5eE/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/303390832619_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/303390832619_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
