"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Siemens Hlxd63B600 600 Amp 600V 65Ka@480V Circuit Breaker",P,WH2237," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : HLXD63B600</li><li>Brand : Siemens</li></ul>",2632.08,1994,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/e8wAAOSwR2liXXc2/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/255494724624_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/255494724624_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Square D Lap36300 300 Amp 600 Volt 3 Pole Lal Lap Panel Mount Breaker",P,WH2348," ","Square D"," ",Right,"<ul><li> Condition : New  </li><li>Mounting Style : Panel</li><li>MPN : LAP36300</li><li>Brand : Square D</li></ul>",2633.40,1995,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/hgAAAOSwhstixbe0/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/255617996243_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bayham Limited E975/1/Bd Vacuum Tank Oil Level Gauge With Float Switch, -6 - +6",P,WH1438," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Bayham Limited</li><li>Model : E975/1/BD</li><li>MPN : E975/1/BD</li></ul>",2639.84,1999.88,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/Zz0AAOSw0jJf5~Qb/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/402623747032_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/402623747032_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Honeywell 51404127-200 Rev C Fw-04-05 Process Manager Hpw 15-Slot File Chassis",P,WH1858," ",Honeywell," ",Right,"<ul><li> Condition : New  </li><li>Brand : Honeywell</li><li>Model : 51404127-200 Rev C</li><li>MPN : 51404127-200 Rev C</li></ul>",2639.84,1999.88,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/BAQAAOSwzEpf5~hy/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/402623759794_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Platon Igu/29/Ed Gap Meter",P,WH2099," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Platon</li><li>Model : IGU/29/ED</li><li>MPN : IGU/29/ED</li></ul>",2639.84,1999.88,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/4KwAAOSwFdNf5~r-/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/402623767069_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/402623767069_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Target Rock Curtiss-Wright 84Ff-005 1/2"" Solenoid Valve",P,WH2426," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Target Rock</li><li>Model : 84FF-005</li><li>MPN : 84FF-005</li></ul>",2639.84,1999.88,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/ghsAAOSwsFdf5~0K/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/402623772009_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/402623772009_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"O'Brien 1017 Series Controller With Dual Digitrace 910 Controllers In Strong Cas",P,WH2059," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Digi</li><li>Model : Obriens 1017 Controller</li><li>Type : heat tracing controller</li><li>Country/Region of Manufacture : United States</li><li>MPN : Does Not Apply</li></ul>",2639.99,1999.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/j8MAAOSwxrFgVXjz/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/174694143106_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/174694143106_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens Elevator Motor Starter 72Kg34Afp",P,WH2226," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Undisclosed</li><li>MPN : Does not apply</li></ul>",2640.00,2000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/134AAOSwt9Je8XXM/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens Safety Monitor Relay 3Rk1105-1Be04-2Ca0",P,WH2247," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : 3RK1105-1BE04-2CA0</li><li>Brand : Siemens</li><li>Model : 3RK1105-1BE04-2CA0</li></ul>",2640.00,2000,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/VVQAAOSw5dNWnpjr/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/272110129435_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rosemount Analytical Inc 1M032505G01 Power Supply Control Board, With Eeproms",P,WH2143," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Rosemount Analytical</li><li>Model : 1M032505G01</li><li>MPN : 1M032505G01</li></ul>",2692.64,2039.88,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Electrical Equipment /parts",https://i.ebayimg.com/images/g/R7oAAOSwUk5f5~rh/s-l500.jpg," ",https://galleryplus.ebayimg.com/ws/web/402623766780_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/402623766780_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
