"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Banner Slsce30-1200P8",P,SENC707," ","Banner "," ",Right,"<ul><li> Condition : New  </li><li>MPN : SLSCE30-1200P8</li><li>Brand : BANNER</li></ul>",1229.88,831,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/6iUAAOSw7RteTwDh/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 845H-Sjdz13Cyj2C Encoder B-296",P,SENC285," ","Allen Bradley "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Allen-Bradley</li><li>Current Type : DC</li><li>Termination Type : Cable</li><li>Encoding Type : Incremental</li><li>Actuator Type : Shaft</li><li>MPN : 845H-SJDZ13CJY2C</li><li>Sensing Technology : Optical</li></ul>",1243.2,840,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/qD8AAOSwyS1jOg8Z/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Banner Mgr3016A Light Curtain Receiver",P,SENC652," ","Banner "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Banner Engineering</li><li>Model : MGR3016A</li><li>MPN : MGR3016A</li><li>Country/Region of Manufacture : Unknown</li><li>Country of Manufacture : Unknown</li></ul>",1246.16,842,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/pK0AAOSwhspcLhHk/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Balluff Bod 66M-Lb04-S92-C Photoelectric Proximity Sensor 200-2000Mm",P,SENC514," ","Balluf "," ",Right,"<ul><li> Condition : New  </li><li>UPC : Does Not Apply</li><li>Brand : Balluff</li><li>Model : BOD 66M-LB04-S92-C</li><li>MPN : B0D 66M-LB04-S92-C</li><li>Size : Length: 8 in. Width: 6 in. Height: 6 in.</li></ul>",1257.9852,849.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/1BEAAOSw6~Bix4B8/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb 10A6131Nb1B2A Global Purge Master Unit",P,SENC191," ",Abb," ",Right,"<ul><li> Condition : New  </li><li>MPN : 10A6131NB1B2A00AAEXBBA07</li><li>Brand : ABB</li><li>Model : 10A6131NB1B2A</li><li>Bundle Listing : No</li><li>Country/Region of Manufacture : United States</li></ul>",1258,850,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/po8AAOSw0W5Z65cL/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Abb 2600T Pressure Transmitter Model 266Hsh",P,SENC194," ",Abb," ",Right,"<ul><li> Condition : New  </li><li>Compatible Mounting Type : Type Tipo</li><li>Modified Item : No</li><li>Country/Region of Manufacture : United States</li><li>Custom Bundle : No</li><li>Sensor Type : Semiautomatic Configuration DiPros2</li><li>Shield : Multimeter Type</li><li>Pressure Type : W/Surge, SCR, Key AH</li><li>Output Type : Linear</li><li>Sensing Technology : 22.63</li><li>MPN : 266HSH</li><li>Brand : ABB</li><li>Termination Type : Connector</li></ul>",1258,850,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/ExgAAOSwXMNiYCd9/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 46Clr-D5Lac2-D5 Photoswitch True Color Sensor 18-60Mm",P,SENC336," ","Allen Bradley "," ",Right,"<ul><li> Condition : New  </li><li>Sensor Type : PhotoSwitch True Color Sensor 18-60mm</li><li>MPN : 46CLR-D5LAC2-D5</li><li>Brand : Allen-Bradley</li></ul>",1259.48,851,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/EIEAAOSwXh5gTBFX/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omron E4Pa-Ls400-M1 / E4Pals400M1 Ultrasonic Sensor",P,SENC776," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : E4PA-LS400-M1</li><li>Brand : OMRON</li></ul>",1277.5656,863.22,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/hEAAAOSwoKZjNmsW/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 61Lj2-1000M Photoswitch Dual Probe",P,SENC272," ","Allen Bradley "," ",Right,"<ul><li> Condition : New  </li><li>Brand : ALLEN BRADLEY</li><li>Model : 61LJ2-1000M</li><li>MPN : 61LJ2-1000M</li><li>Product Brand : ALLEN BRADLEY</li><li>Product Condition : New with Factory Packaging</li><li>Model Number : 61LJ2-1000M</li><li>Model Line : PHOTOSWITCH</li></ul>",1286.9044,869.53,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/96EAAOSwEE5gxU2d/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 450L-E4Hl0900Yd Ser A, Transceiver Safety Light Curtain",P,SENC270," ","Allen Bradley "," ",Right,"<ul><li> Condition : New  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : 450L-E4HL0900YD</li></ul>",1287.23,869.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion controls/component sensors",https://i.ebayimg.com/images/g/GuMAAOSw1JViWFFq/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
