"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Finder 40.52 Power Relay 95.05 Base 999.02.9.024.99 Socket  ",P,MAY248," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : FINDER</li><li>MPN : 40.52</li><li>EBAY_MPN : 40.52</li></ul>",1450,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/cpMAAOSwQmtkApY5/s-l1200.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/314339165346_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/314339165346_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Keyence Iv-500Ca Machine Vision Sensor Camera ",P,MAY277," ",Keyence," ",Right,"<ul><li> Condition : New  </li><li>EBAY_MPN : IV500CA</li><li>MPN : IV-500CA</li><li>Brand : KEYENCE</li><li>MPN : IV500CA</li></ul>",1486.2355,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/-zUAAOSw-5dj0Bmy/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/175585519996_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Triangle Package Machinery 90Wb8009As Interface Board  ",P,MAY414," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Triangle Package Mac</li><li>MPN : 90WB8009AS</li><li>EBAY_MPN : 90WB8009AS</li></ul>",1493.7755,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",," ",https://origin-galleryplus.ebayimg.com/ws/web/314338954115_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/314338954115_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Demag Mannesmann Mu9-200/1 Air Motor 0.11 Kw - Right/Left ",P,MAY100," ","Demag "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Mannesmann Demag</li><li>MPN : MU9-200/1</li><li>EBAY_MPN : MU9-200/1</li></ul>",1496.342,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/cMEAAOSwWrpjyzwB/s-l640.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/155370133939_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/155370133939_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Bihl+Wiedemann Bwu2267 Plc Processor",P,MAY210," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : BIHL+WIEDEMANN</li><li>MPN : BWU2267</li></ul>",1496.3855,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/WIAAAOSw05JkHHRa/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/314479976052_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/314479976052_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 290E-Fbp-G2 Armorstart Lt Series A 480Y/277 1.1-7.6A Ip66 ",P,MAY185," ","Allen Bradley"," ",Right,"<ul><li> Condition : New  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : 290E-FBP-G2</li><li>EBAY_MPN : 290E-FBP-G2</li></ul>",1499.2275,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/Lh0AAOSwj0xjy39F/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens 6Gk7343-5Fa00-0Xe0 Profibus Communications Processor 24Vdc 0.25A ",P,MAY381," ",Siemens," ",Right,"<ul><li> Condition : New  </li><li>EBAY_MPN : 6GK73435FA000XE0</li><li>MPN : 6GK7343-5FA00-0XE0</li><li>Brand : Siemens</li><li>MPN : 6GK73435FA000XE0</li></ul>",1522.384,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/rysAAOSwyvRkApgt/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/175581152054_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 1734-Aentr Ser B Fw 4.005 I/O Dual Port Network Adapter Module",P,MAY156," ","Allen Bradley"," ",Right,"<ul><li> Condition : New  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : 1734-AENTR SER B FW 4.005</li><li>EBAY_MPN : 1734-AENTR SER B FW 4.005</li></ul>",1522.4855,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/2~4AAOSw46Vj0BcB/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/155375670527_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen-Bradley 17710A Ser B Output Module ",P,MAY165," ","Allen Bradley"," ",Right,"<ul><li> Condition : New  </li><li>Brand : ALLEN BRADLEY</li><li>MPN : 17710A SER B</li><li>EBAY_MPN : 17710A SER B</li></ul>",1522.4855,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/k04AAOSw7M1jy0nW/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/155370199987_2_0_1/225x225.jpg,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omron Cs1W-Id261 Input Module. ",P,MAY306," ","Omron "," ",Right,"<ul><li> Condition : New  </li><li>EBAY_MPN : CS1WID261</li><li>MPN : CS1W-ID261</li><li>Brand : Omron</li><li>MPN : CS1WID261</li></ul>",1522.4855,0,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-3 Business Days, call us for over-night availability ",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/HY4AAOSw4Rdj0BhO/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/155375676605_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/155375676605_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
