"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Groover Machine Argo Agm3004-Iii W/Spares 110 V For Poly / Cr39 / Glass",P,LABVF32," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Argo</li><li>Model : AGM3004-I</li><li>MPN : AGM3004-I</li><li>Country/Region of Manufacture : China</li></ul>",302.25,155,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/56UAAOSw2xRYk6IR/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Lens Drilling And Notch Cutting Machine Argo (Ald3003-1) 110V",P,LABVF36," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : ALD-3001-I</li><li>MPN : ALD3003-I</li><li>Brand : Argo</li></ul>",302.25,155,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/mScAAOSwo4pYk6TD/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Welch Allyn/ Hill Rom 3.5V Lithium Ion Replacement Rechargeable Battery 71960",P,LABVF111," ","Welch Allyn"," ",Right,"<ul><li> Condition : New  </li><li>Model : 71960</li><li>Type : Power Handle - For Desk Charger</li><li>MPN : Does Not Apply</li><li>Brand : Welch Allyn</li><li>Intended Use/Discipline : Optometry</li></ul>",311.9805,159.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/7sIAAOSw4J1hol5D/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Welch Allyn 71670 Rechargeable Nicad Handle For Desk/Well Chargers",P,LABVF89," ","Welch Allyn"," ",Right,"<ul><li> Condition : New  </li><li>Model : 71670</li><li>MPN : 71670</li><li>Brand : Welch Allyn</li><li>Intended Use/Discipline : Optometry</li></ul>",347.1,178,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/zNwAAOSwnCFaBNZ8/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Welch Allyn 3.5 Volt Diagnostic Fiber-Optic Otoscope Model # 25020A",P,LABVF83," ","Welch Allyn"," ",Right,"<ul><li> Condition : New  </li><li>Country/Region of Manufacture : United States</li><li>Intended Use/Discipline : Ophthalmology</li><li>MPN : 25020</li><li>Brand : Welch Allyn</li><li>Type : Full-Size/Standard Otoscope</li><li>Model : Welch Allyn 25020</li><li>MPN : 25020</li></ul>",349.05,179,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/f5MAAOSw1bFe1UVD/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Welch Allyn 71000-A Direct Plug-In Rechargeable Handle, 3.5V",P,LABVF86," ","Welch Allyn"," ",Right,"<ul><li> Condition : New  </li><li>Model : 71000-A</li><li>NumberOfItems : 1</li><li>MPN : 71000-A</li><li>Brand : Welch Allyn</li><li>Intended Use/Discipline : Optometry</li></ul>",360.75,185,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/zDUAAOSwnehc~n35/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hans Heiss 30D Crystal Lens",P,LABVF33," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Hans Heiss</li><li>MPN : 30D</li><li>Model : 30D</li><li>Country/Region of Manufacture : China</li></ul>",380.25,195,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/-ZcAAOSwuxFYwuR~/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Hans Heiss 78D Crystal Retina Lens",P,LABVF34," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Hans Heiss</li><li>Model : 78D</li><li>MPN : Does Not Apply</li><li>Country/Region of Manufacture : China</li></ul>",380.25,195,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/cbsAAOSwTM5Ywrus/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Welch Allyn Convertible Handle Power Source Welch Allyn 110V 71000-C",P,LABVF93," ","Welch Allyn"," ",Right,"<ul><li> Condition : New  </li><li>Non-Domestic Product : No</li><li>Modified Item : No</li><li>Custom Bundle : No</li><li>MPN : 71000C</li><li>Intended Use/Discipline : Pediatrics</li><li>Brand : Welch Allyn</li><li>Type : Rechargeable Power Handle</li><li>Model : 71000-C</li><li>MPN : 71000C</li></ul>",380.25,195,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/lm4AAOSwo4pYi3oN/s-l960.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Welch Allyn 04900-U6 3.5V Halogen Lamp (Box Of 6)",P,LABVF67," ","Welch Allyn"," ",Right,"<ul><li> Condition : New  </li><li>Intended Use/Discipline : Optometry</li><li>MPN : 04900-U6</li><li>Brand : Welch Allyn</li><li>Model : Welch Allyn 04900-U6</li><li>MPN : 04900U6</li></ul>",388.05,199,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Lab 2",https://i.ebayimg.com/images/g/wK8AAOSwPBNhjbiW/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
