"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Smc Mhc2-20D Pneumatic Angular Air Gripper Cylinder",P,RYL1862," ","Smc "," ",Right,"<ul><li> Condition : New  </li><li>Brand : SMC</li><li>Model : MHC2-20D</li><li>MPN : MHC2-20D</li></ul>",225.50,102.5,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/d-sAAOSwsCNixAHw/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Wenglor Ib040Bm70Va3 Inductive Proximity Switch Sensor Flush 10~30Vdc 200Ma",P,RYL1922," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Wenglor</li><li>Model : IB040BM70VA3</li><li>MPN : IB040BM70VA3</li></ul>",226.42,102.92,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/XGoAAOSwyWNjP-vN/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Turck Bi20R-W30-Dap6X-H1141 Proximity Switch Sensor",P,RYL1905," ",Turck," ",Right,"<ul><li> Condition : New  </li><li>Brand : TURCK</li><li>Model : BI20R-W30-DAP6X-H1141</li><li>MPN : BI20R-W30-DAP6X-H1141</li></ul>",227.37,103.35,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/DV4AAOSwgaVjWPxU/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Yaskawa Jzsp-Cvp01-20-E Plc Cable",P,RYL1929," ",Yaskawa," ",Right,"<ul><li> Condition : New  </li><li>Brand : YASKAWA</li><li>Model : JZSP-CVP01-20-E</li><li>MPN : JZSP-CVP01-20-E</li></ul>",228.54,103.88,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/nEEAAOSwLPxjUO7Z/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Weiguang Yzf25-40 220/240V 25/95W Refrigerator Cooling Fan",P,RYL1916," ",Weiguang," ",Right,"<ul><li> Condition : New  </li><li>Brand : WEIGUANG</li><li>Model : YZF25-40 220/240V</li><li>MPN : YZF25-40 220/240V</li></ul>",230.36,104.71,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/nMMAAOSwQMxjUgPX/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Taian Cl-4L Ac Contactor 380V",P,RYL1887," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : TAIAN</li><li>Model : CL-4L</li><li>MPN : CL-4L</li></ul>",232.65,105.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/nIYAAOSwjjljT3X5/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Tonghui Th26001A 4-Terminal Lcr Meter Test Fixture",P,RYL1897," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : TONGHUI</li><li>Model : TH26001A</li><li>MPN : TH26001A</li></ul>",232.65,105.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/ndsAAOSwDrdjVd6O/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Siemens Cable 6Fx3002-5Ck01-1Ad0 6Fx30025Ck011Ad0",P,RYL1820," ",Siemens," ",Right,"<ul><li> Condition : New  </li><li>Brand : SIEMENS</li><li>Model : 6FX3002-5CK01-1AD0</li><li>MPN : 6FX3002-5CK01-1AD0</li></ul>",239.25,108.75,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/IV0AAOSwRz9jPjnI/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Smc Mhc2-16S Pneumatic Mhc/Mhc2 Angular Gripper Actuator Auto-Sw Sgl-Act",P,RYL1861," ","Smc "," ",Right,"<ul><li> Condition : New  </li><li>Brand : SMC</li><li>Model : MHC2-16S</li><li>MPN : MHC2-16S</li></ul>",239.58,108.9,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/fJAAAOSwfmBixCPY/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Yuken Dsg-01-3C4-D24-50 Solenoid Valve",P,RYL1949," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Yuken</li><li>Model : DSG-01-3C4-D24-50</li><li>MPN : DSG-01-3C4-D24-50</li></ul>",243.10,110.5,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ PLCs & HMIs",https://i.ebayimg.com/images/g/ZR0AAOSwU~FjQM-9/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
