"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Omax 40X-2000X Binocular Laboratory Medical Reversed Led Microscope+10Mp Camera",P,MICRO734," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M8211-C100U</li><li>Model : M8211-C100U</li><li>Viewer : Binocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 10MP</li><li>Microscope Type : Compound Microscope</li></ul>",852.59,587.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/kwEAAOSwCV5cXiWo/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/171754420491_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171754420491_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X Biological Compound Trinocular Microscope W 14Mp Digital Camera",P,MICRO952," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>Microscope Structure : Upright</li><li>Magnification Range : 40X-2500X</li><li>Microscope Type : Compound Microscope</li><li>Model : M837Z-C140U</li><li>MPN : M837Z-C140U</li><li>Viewer : Trinocular</li><li>Camera Resolution : 14MP</li><li>Intended Use/Discipline : Biological Laboratory</li></ul>",852.59,587.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/naYAAOSwcFJcXm91/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/175239157163_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/175239157163_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X Built-In 3Mp Digital Camera Compound Microscope+Aluminum Case",P,MICRO965," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Camera Resolution : 3MP</li><li>Model : MD827Z30-A185A</li><li>Microscope Type : Compound Microscope</li><li>Magnification Range : 40X-2500X</li><li>MPN : MD827Z30-A185A</li><li>Viewer : Binocular</li><li>Brand : OMAX</li></ul>",852.59,587.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/6IYAAOSwcIxdB~i2/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/171910586532_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171910586532_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Binocular 10X-20X-30X-60X 720P Wifi Stereo Boom Microscope+56 Led Light",P,MICRO227," ",AmScope," ",Right,"<ul><li> Condition : New  </li><li>Brand : AmScope</li><li>MPN : W13B-X2-L56S-C720WF</li><li>Model : W13B-X2-L56S-C720WF</li><li>Viewer : Binocular</li><li>Magnification Range : 10X-20X-30X-60X</li><li>Microscope Type : Stereo Microscope</li></ul>",856.94,590.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/Mq0AAOSw19dcXoLd/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/123329806795_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/123329806795_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Binocular 10X-20X-30X-60X 720P Wifi Stereo Boom Microscope+56 Led Light",P,MICRO228," ",AmScope," ",Right,"<ul><li> Condition : New  </li><li>Brand : AmScope</li><li>MPN : W13B-X2-L56S-C720WF</li><li>Model : W13B-X2-L56S-C720WF</li><li>Viewer : Binocular</li><li>Magnification Range : 10X-20X-30X-60X</li><li>Microscope Type : Stereo Microscope</li></ul>",856.94,590.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/Mq0AAOSw19dcXoLd/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/123329806795_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/123329806795_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"40X-1600X Advanced Darkfield Trinocular Compound Led Microscope+2Mp Usb Camera",P,MICRO89," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M837TL-A191BD-C20U</li><li>Model : M837TL-A191BD-C20U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-1600X</li><li>Camera Resolution : 2MP</li><li>Microscope Type : Compound Microscope</li></ul>",864.19,595.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/rzUAAOSw1~NcXmyt/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/172299211976_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/172299211976_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X Built-In 3Mp Digital Camera Compound Led Microscope+Aluminum Case",P,MICRO755," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : MD827S30L-A189A</li><li>Microscope Type : Compound Microscope</li><li>Viewer : USB/Camera Output</li><li>Microscope Structure : Upright</li><li>Intended Use/Discipline : Pediatrics</li><li>Model : MD827S30L-A189A</li><li>Magnification Range : 40X-2000X</li><li>Custom Bundle : Yes</li><li>Bundle Description : Microscope + Aluminum Case</li><li>Camera Resolution : 3MP</li><li>UPC : 670541471623</li></ul>",868.54,598.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/thgAAOSwSEhgYk87/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/171803070990_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171803070990_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X Built-In 3Mp Digital Camera Compound Led Microscope+Aluminum Case",P,MICRO756," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : MD827S30L-A189A</li><li>Microscope Type : Compound Microscope</li><li>Viewer : USB/Camera Output</li><li>Microscope Structure : Upright</li><li>Intended Use/Discipline : Pediatrics</li><li>Model : MD827S30L-A189A</li><li>Magnification Range : 40X-2000X</li><li>Custom Bundle : Yes</li><li>Bundle Description : Microscope + Aluminum Case</li><li>Camera Resolution : 3MP</li><li>UPC : 670541471623</li></ul>",868.54,598.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/thgAAOSwSEhgYk87/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/171803070990_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171803070990_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X Built-In 3Mp Digital Camera Compound Microscope+Carrying Case",P,MICRO757," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Model : MD827S30-A189A</li><li>Microscope Type : Compound Microscope</li><li>Magnification Range : 40X-2000X</li><li>MPN : MD827S30-A189A</li><li>Viewer : Binocular</li><li>Brand : OMAX</li><li>Camera Resolution : 3MP</li></ul>",868.54,598.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/KHwAAOSw~w9dAqzT/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/171803070952_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171803070952_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X Darkfield Biological Trinocular Microscope + 9Mp Digital Camera",P,MICRO982," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M837Z-A191-C90U</li><li>Model : M837Z-A191-C90U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 9MP</li><li>Microscope Type : Compound Microscope</li></ul>",868.54,598.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/xyEAAOSwzOxcXm8Q/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401571503566_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401571503566_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
