"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Handheld Digital Oscilloscope Multimeter Diy Portable Automotive Diagnostic",P,AAQ105," "," "," ",Right,"<ul><li> Condition : New  </li><li>Binding : Misc.</li><li>Brand : Does Not Apply</li><li>Color : Blue</li><li>Label : Zhangzhou Haimao Dianzi Keji Co., LTD</li><li>Manufacturer : Zhangzhou Haimao Dianzi Keji Co., LTD</li><li>MaterialType : ABS</li><li>ProductGroup : BISS Basic</li><li>ProductTypeName : PRECISION_MEASURING</li><li>Publisher : Zhangzhou Haimao Dianzi Keji Co., LTD</li><li>Studio : Zhangzhou Haimao Dianzi Keji Co., LTD</li><li>MPN : Does Not Apply</li><li>UPC : Does Not Apply</li><li>EAN : Does Not Apply</li></ul>",561.27,303.39,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/9UUAAOSw8KRiLbn9/s-l640.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Testo 175T3 (0572 1753) Temperature Data Logger W/ Type K/Type T Ports",P,AAQ106," ","Testo "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Testo</li><li>MPN : 0572 1753</li></ul>",562.97,304.31,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/TwEAAOSwWsNcop2D/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Fnirsi-1014D Dual-Channel Digital Oscilloscope Includes Signal Generator Functio",P,AAQ110," "," "," ",Right,"<ul><li> Condition : New  </li><li>Color : White</li><li>MPN : Does not apply</li><li>Model : Does not apply</li><li>Brand : FNIRSI</li></ul>",568.80,307.46,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/BZMAAOSwJMJi5Qcz/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Robinair Tif8900-E Combustible Gas Detector, 5 Ppm, Gas Detector, 230V",P,AAQ111," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Robinair</li><li>MPN : TIF8900-E</li><li>UPC : 687744601580</li></ul>",569.25,307.7,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/WuYAAOSwygFeXWIZ/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Ex800 Exstik 3In1 Chlorine Ph Temperature Kit",P,AAQ112," "," "," ",Right,"<ul><li> Condition : New  </li><li>SHIPPING : FREE FAST SHIPPING WITHIN US</li><li>TAX : TAX FREE</li><li>Customer Service : Professional Service, We Will Solve Any Problem</li><li>Returns : 30 Day Money-Back Guarantee Handling</li><li>Handling Time: : Up to 5 Business Days (Usually same day)</li><li>Location : USA</li><li>Questions : ASK SELLER</li><li>Type1 : Type1</li><li>Type2 : Type2</li><li>MPN : Does not apply</li><li>Model : Does not apply</li><li>Brand : Extech</li></ul>",569.87,308.04,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/72sAAOSwb8VjA-gT/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Pelican 1450 Case For Graphtec Gl240 B-536Us-240R",P,AAQ113," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : B-536US-240R</li><li>Brand : Graphtec</li></ul>",571.65,309,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/q8AAAOSwX39elcLo/s-l500.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Temlog 20H Temperature Humidity Data Logger Monitor Recorder Pdf Report Usb",P,AAQ119," "," "," ",Right,"<ul><li> Condition : New  </li><li>MPN : Temlog 20H</li><li>Interface : USB</li><li>Battery : Inside</li><li>Sofwatre : Generate software automatically</li><li>Country/Region of Manufacture : China</li><li>Bundle Listing : No</li><li>UPC : 693614814196</li><li>Model : Temlog 20H</li><li>Brand : Elitech</li><li>Parameter(s) Measured : Humidity</li><li>Capacity : 32000 points</li></ul>",577.18,311.99,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/ffwAAOSwCTNg0vln/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Supco Temperature/Humidity Logger With Display",P,AAQ120," "," "," ",Right,"<ul><li> Condition : New  </li><li>Product Lot Quantity : 1</li><li>Size : 3.05""L x 4""W x 1.5""H</li><li>MPN : DVTH</li><li>Parameter(s) Measured : Temperature</li><li>Number of Channels : 1</li><li>Brand : SUPCO</li><li>Model : DVTH</li><li>Interface : USB</li><li>MPN : DVTH</li></ul>",585.01,316.22,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/O7gAAOSw4ChjMX2T/s-l300.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Agilent 82350B 82350-66511 Pci-Gpib Interface Card",P,AAQ122," ",Agilent," ",Right,"<ul><li> Condition : New  </li><li>Model : 82350-66511</li><li>Modified Item : No</li><li>Country/Region of Manufacture : Malaysia</li><li>Product : PCI-GPIB Interface Card</li><li>Custom Bundle : No</li><li>MPN : Does Not Apply</li><li>Brand : Agilent</li></ul>",589.41,318.6,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/riEAAOSwK7BjGOMu/s-l1600.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"In Pack Hp Agilent 82350B Pci-Gpib Interface Card Test And Measurement",P,AAQ123," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : 82350B</li><li>MPN : Does Not Apply</li><li>Brand : HP</li><li>Type : PLC</li></ul>",589.74,318.78,0,0,0,Y,"Six Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Industrial Automation & Motion Controls/ Analyzers",https://i.ebayimg.com/images/g/Ur0AAOSwNSxVWvNO/s-l1200.jpg," ",,Y,," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
