"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Plast-O-Matic Rvdt025V-Pp Diaphragm Valve, 1/4"" Npt Ports, 1Gpm, 150Psi Max",P,NXTN589," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Plast-O-Matic, Plast O Matic, PlastOMatic</li><li>MPN : RVDT025V-PP</li><li>Model : RVDT025V-PP</li></ul>",542.50,350,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/4AsAAOSw6Iti2V6d/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/401422608505_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/401422608505_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Rdp Electronics E725/230/Dc1/0/0/0 Transducer Indicator Panel 230Vac 30Ma",P,NXTN606," ","Rdp Electronics"," ",Right,"<ul><li> Condition : New  </li><li>Brand : RDP Electronics</li><li>Model : E725/230/DC1/0/0/0</li><li>MPN : E725/230/DC1/0/0/0</li><li>UPC : Does Not Apply</li></ul>",542.50,350,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/ooYAAOSwkNReDnGE/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/310386317219_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/310386317219_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Skf F2Bss 100-Ytpss Flanged Stainless Steel Ball Bearing Bore 1"" Rating 2675 Lbf",P,NXTN672," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : SKF</li><li>MPN : 100YTPSS, YAR 205-100-2LPW/SS 3809151T</li><li>Model : 100YTPSS, YAR 205-100-2LPW/SS 3809151T</li></ul>",542.50,350,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/VcYAAOSwbGpixvET/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/334496663858_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/334496663858_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Thomson Lead Screw, 60-5/8""L, 25Mm Dia Ends, 1.25"" Thread, 0.20"" Lead",P,NXTN761," ",Thomson," ",Right,"<ul><li> Condition : New  </li><li>Brand : Thomson</li><li>MPN : Unknown</li><li>Model : Unknown</li><li>UPC : Does Not Apply</li></ul>",542.50,350,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/6gEAAOSwnuhfMvgl/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/331595143982_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/331595143982_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Turck Ckwm 19-19-10/S101 Single Ended Cordset Right Angle M23 Female, 10 Meter",P,NXTN776," ",Turck," ",Right,"<ul><li> Condition : New  </li><li>Brand : Turck</li><li>MPN : U0956-59</li></ul>",542.50,350,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/r5sAAOSw1mJjm4HW/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/314276387053_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/314276387053_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Leeson D3 Pump System 98Gal/Hr 115/208-230Vac 1Ph 1/3Hp",P,NXTN445," ",Leeson," ",Right,"<ul><li> Condition : New  </li><li>Brand : Leeson</li><li>Model : D3</li><li>MPN : D3</li><li>UPC : Does Not Apply</li></ul>",550.25,355,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/OsEAAOSw5B9ewqX8/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/331149913990_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/331149913990_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Misumi Zsg50 Z-Axis Manual Positioner Stage 20Mm Travel 50Mm X 50Mm W/ Lock Nut",P,NXTN480," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Misumi</li><li>MPN : ZSG50, ZSG, Positioning, Actuator</li></ul>",558.00,360,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/CJ8AAOSwd0pjNuvF/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/334577492362_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/334577492362_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Plast-O-Matic Easmt5Ep16W20-Pv N.C Solenoid Valve 120/60Vac 20W 3/4 Npt",P,NXTN587," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Plast-O-Matic</li><li>MPN : EASMT5EP16W20-PV</li><li>Model : EASMT5EP16W20-PV</li></ul>",558.00,360,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/eJQAAOSwoXNi-9I6/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/314110237521_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/314110237521_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Zebra 43470-013 Power Supply Board, For Zebra Xiiii+ Series Printers",P,NXTN816," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : Zebra</li><li>Model : 43470-013</li><li>MPN : 43470-013</li></ul>",558.00,360,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/qNUAAOSwzoJfhyL7/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/311774997038_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/311774997038_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omega Os136-1-K Non-Contact Infrared Temperature Sensor, 0-400°F, 12-24Vdc",P,NXTN510," ",Omega," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMEGA</li><li>MPN : OS136-1-K</li></ul>",561.10,362,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/g0AAAOSwJyxjyprM/s-l1600.jpg," ",https://origin-galleryplus.ebayimg.com/ws/web/314337388384_2_0_1/225x225.jpg,Y,https://origin-galleryplus.ebayimg.com/ws/web/314337388384_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
