"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Ade Technologies Pdb-Euro Osc Module With Sensor Probe 2537",P,NXU133," "," "," ",Right,"<ul><li> Condition : Used  </li><li>Brand : ADE Technologies / Microsense</li><li>MPN : PDB-EURO</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/CHMAAOSwEx5fhyhi/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adept 10330-0400 Rev-E Interface Board 4-Axis",P,NXU149," ",Adept," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Adept</li><li>MPN : 10330-0400</li><li>Model : 10330-0400</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/EycAAOSw25VeD5tN/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Adept 30332-00395 Scara Robot Operator/Control Panel E-Stop Key Switch Buttons",P,NXU171," ",Adept," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Adept</li><li>MPN : 3033200395 ,  VFP Category 1</li><li>Model : 10330-00375</li><li>UPC : Does Not Apply</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/IZ0AAOSwLMZfaQy2/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advanced Energy 2302012 Pe Main Display Pcb Board Rf Generator Power Supply",P,NXU185," ","Advanced Energy"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Energy</li><li>MPN : 2302012 , AE2091C, 1302091G</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/Z3cAAOSwTspdLLYn/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advanced Illumination Bl0202-880 Machine Vision Infrared Led Backlight, 2"" X 2""",P,NXU193," ","Advanced Illumination"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Illumination</li><li>MPN : BL0202-880 24</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/SXMAAOSwlddg3dln/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Advanced Illumination Bl1520-880 Machine Vision Infrared Led Backlight 50 X 50Mm",P,NXU195," ","Advanced Illumination"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Advanced Illumination</li><li>MPN : IR</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/-1UAAOSw615g3eOL/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Aerotech Ats202 Linear Actuator Ballscrew Positioner, 50Mm Travel, 6 X 6"" Stage",P,NXU258," ",Aerotech," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Aerotech</li><li>MPN : ATS202</li><li>Model : ATS202</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/VC8AAOSwxFVeD8ak/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Air Products E13 Cp445D Automatic Changeover Module Max In: 3000Psi Out: 100Psi",P,NXU292," ","Air Products"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Air Products</li><li>MPN : E13 CP445D, E13CP445D, E13-CP445D, 44100236</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/SMIAAOSwVW9ioK3Q/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 100S-C43Dj14C Guardmaster Safety Contactor 600Vac 75A, 24Vdc Coil",P,NXU296," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen-Bradley</li><li>MPN : 100-C43D*00</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/uMgAAOSwxUpi~lsP/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Allen Bradley 1398-Ddm-005 Servo Drive, 120/240Vac 2.5/7.5A 400Hz Output, Rs-232",P,NXU300," ","Allen Bradley"," ",Right,"<ul><li> Condition : Used  </li><li>Brand : Allen Bradley</li><li>MPN : 1398-DDM-005, 1398DDM005, 9101-1531, 91011531</li><li>Type : Servo Drive</li><li>Amperage Rating : 5 FLA</li><li>Voltage Rating : 120/240 VAC AC</li></ul>",549.00,300,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/aYsAAOSwu8FjLIJO/s-l1600.jpg," ",,Y,," "," "," "," "," ",USED,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
